Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.072 0.094 1.686 12.726 0.010 61.585 1.000 7.000 1.374 
0.072 0.095 12.825 21.438 0.010 100.000 1.000 10.000 2.990 
0.072 0.095 21.464 31.596 0.010 61.585 1.000 10.000 4.945 
0.072 0.094 31.717 42.063 0.010 100.000 1.000 20.000 5.721 
0.072 0.095 42.225 54.477 0.010 100.000 2.000 30.000 7.627 
0.072 0.095 54.632 68.936 0.010 61.585 3.000 40.000 11.798 
0.072 0.095 69.017 86.489 0.010 61.585 3.000 40.000 15.329 
0.072 0.094 86.640 113.041 0.010 100.000 3.000 60.000 18.706 
0.072 0.095 113.189 147.046 0.010 61.585 6.000 70.000 24.169 
0.072 0.095 147.513 206.234 0.010 61.585 6.000 100.000 34.039 
0.072 0.094 206.436 296.834 0.010 61.585 9.000 100.000 47.855 
0.072 0.094 297.530 393.365 0.010 61.585 20.000 200.000 63.813 
0.072 0.094 393.547 507.013 0.010 61.585 20.000 200.000 82.916 
0.072 0.095 507.485 654.612 0.010 61.585 30.000 300.000 123.022 
0.072 0.094 655.628 865.974 0.010 100.000 40.000 500.000 145.782 
0.072 0.095 869.748 1248.219 0.010 100.000 40.000 700.000 212.111 
0.072 0.095 1250.416 1775.238 0.010 100.000 50.000 900.000 229.841 
0.072 0.095 1779.924 2710.975 0.010 100.000 70.000 1000.000 396.551 
0.072 0.095 2719.452 3763.070 0.010 100.000 70.000 1000.000 591.499 
0.072 0.095 3773.814 4997.989 0.010 61.585 200.000 1000.000 845.099 
0.095 0.121 1.989 13.510 0.010 37.927 1.000 7.000 2.177 
0.095 0.121 13.548 23.699 0.010 37.927 1.000 10.000 4.119 
0.095 0.121 23.722 34.691 0.010 61.585 2.000 20.000 7.364 
0.095 0.121 34.821 47.680 0.010 37.927 2.000 20.000 9.537 
0.095 0.121 47.790 61.834 0.010 100.000 2.000 30.000 12.230 
0.095 0.121 61.861 75.360 0.010 61.585 3.000 40.000 16.429 
0.095 0.121 75.411 90.435 0.010 61.585 4.000 40.000 19.305 
0.095 0.121 90.585 108.656 0.010 61.585 2.000 60.000 22.636 
0.095 0.121 108.773 129.926 0.010 37.927 5.000 70.000 24.091 
0.095 0.121 130.182 163.274 0.010 37.927 7.000 90.000 27.826 
0.095 0.120 163.611 250.386 0.010 37.927 8.000 100.000 44.718 
0.095 0.121 250.559 323.484 0.010 37.927 20.000 100.000 53.241 
0.095 0.121 324.227 420.687 0.010 37.927 20.000 200.000 84.132 
0.095 0.121 421.620 537.770 0.010 37.927 30.000 200.000 89.991 
0.095 0.121 538.113 723.411 0.010 37.927 30.000 300.000 138.407 
