Ice-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.384 0.405 2.493 15.834 0.010 23.357 1.000 5.000 12.296 
0.384 0.405 16.037 27.112 0.010 61.585 1.000 10.000 31.163 
0.384 0.405 27.227 39.307 0.010 100.000 1.000 10.000 42.217 
0.384 0.405 39.352 53.228 0.010 100.000 1.000 20.000 61.397 
0.384 0.405 53.315 70.276 0.010 100.000 1.000 20.000 79.672 
0.384 0.405 70.562 93.303 0.010 100.000 1.000 40.000 113.090 
0.384 0.405 93.497 125.111 0.010 100.000 1.000 50.000 142.964 
0.384 0.405 125.338 171.331 0.010 100.000 1.000 70.000 211.978 
0.384 0.405 171.912 232.444 0.010 100.000 2.000 90.000 268.181 
0.384 0.405 232.565 310.743 0.010 100.000 2.000 100.000 364.177 
0.384 0.405 310.915 407.994 0.010 100.000 3.000 100.000 476.741 
0.384 0.405 408.970 527.827 0.010 100.000 4.000 200.000 529.656 
0.384 0.405 529.975 682.229 0.010 100.000 5.000 200.000 801.431 
0.384 0.405 682.502 884.997 0.010 100.000 6.000 300.000 899.006 
0.384 0.404 885.699 1173.378 0.010 100.000 8.000 400.000 1208.853 
0.384 0.405 1173.827 1601.031 0.010 100.000 20.000 600.000 1532.689 
0.384 0.405 1604.366 2173.707 0.010 100.000 20.000 900.000 2410.060 
0.384 0.405 2176.529 2918.432 0.010 100.000 30.000 1000.000 3170.711 
0.384 0.405 2929.613 3839.982 0.010 100.000 30.000 1000.000 4599.540 
0.384 0.405 3857.253 4995.808 0.010 100.000 40.000 1000.000 5130.929 
0.405 0.424 2.499 16.031 0.010 14.384 1.000 6.000 10.891 
0.405 0.424 16.048 27.012 0.010 37.927 1.000 10.000 26.172 
0.405 0.424 27.056 39.081 0.010 61.585 1.000 10.000 43.773 
0.405 0.423 39.107 53.125 0.010 61.585 1.000 20.000 58.812 
0.405 0.423 53.335 70.010 0.010 100.000 1.000 20.000 83.696 
0.405 0.423 70.056 91.748 0.010 100.000 1.000 30.000 104.502 
0.405 0.424 91.858 124.441 0.010 100.000 1.000 40.000 136.589 
0.405 0.423 124.595 170.445 0.010 100.000 2.000 60.000 186.602 
0.405 0.423 171.120 233.314 0.010 100.000 2.000 80.000 252.411 
0.405 0.423 233.389 312.737 0.010 100.000 3.000 100.000 344.487 
0.405 0.424 313.288 410.481 0.010 100.000 3.000 100.000 466.159 
0.405 0.424 411.917 531.859 0.010 100.000 4.000 100.000 679.480 
0.405 0.424 532.217 681.496 0.010 100.000 5.000 300.000 818.855 
0.405 0.423 684.910 876.874 0.010 100.000 7.000 300.000 1002.500 
0.405 0.423 877.094 1153.648 0.010 100.000 9.000 400.000 1163.854 
0.405 0.423 1154.810 1570.181 0.010 100.000 10.000 600.000 1514.146 
0.405 0.424 1570.560 2139.324 0.010 100.000 20.000 900.000 2383.302 
0.405 0.423 2139.752 2863.193 0.010 100.000 30.000 1000.000 2825.749 
0.405 0.424 2870.633 3815.057 0.010 100.000 30.000 1000.000 3740.484 
0.405 0.424 3821.227 4992.633 0.010 100.000 40.000 1000.000 5097.872 
0.424 0.441 2.615 15.775 0.010 14.384 1.000 6.000 11.460 
0.424 0.441 15.795 26.682 0.010 37.927 1.000 10.000 25.485 
0.424 0.441 26.729 38.680 0.010 100.000 1.000 10.000 41.066 
0.424 0.441 38.706 52.301 0.010 61.585 1.000 20.000 57.121 
0.424 0.441 52.479 68.586 0.010 100.000 1.000 30.000 80.150 
0.424 0.441 68.871 89.517 0.010 100.000 1.000 30.000 101.916 
0.424 0.441 89.755 119.639 0.010 100.000 1.000 50.000 129.866 
0.424 0.441 120.019 164.336 0.010 100.000 2.000 70.000 157.082 
0.424 0.441 164.655 224.379 0.010 100.000 2.000 90.000 247.605 
0.424 0.441 224.691 303.411 0.010 100.000 2.000 100.000 332.701 
0.424 0.441 303.675 402.457 0.010 100.000 3.000 100.000 439.870 
0.424 0.441 403.126 519.111 0.010 100.000 5.000 200.000 521.113 
0.424 0.441 520.377 666.738 0.010 100.000 5.000 200.000 673.448 
0.424 0.441 667.181 857.760 0.010 100.000 7.000 300.000 877.728 
0.424 0.441 857.840 1136.854 0.010 100.000 9.000 400.000 1345.304 
0.424 0.441 1137.586 1537.119 0.010 100.000 20.000 600.000 1683.327 
0.424 0.441 1542.564 2103.480 0.010 100.000 20.000 700.000 2278.426 
0.424 0.441 2114.464 2876.303 0.010 100.000 20.000 1000.000 2728.458 
0.424 0.441 2880.160 3834.263 0.010 100.000 30.000 1000.000 4534.895 
0.424 0.441 3855.693 4999.428 0.010 100.000 40.000 1000.000 6373.236 
0.441 0.458 2.365 15.570 0.010 37.927 1.000 6.000 14.425 
0.441 0.458 15.654 26.585 0.010 37.927 1.000 10.000 25.744 
0.441 0.458 26.627 38.594 0.010 61.585 1.000 10.000 40.893 
0.441 0.457 38.669 52.287 0.010 100.000 1.000 20.000 56.402 
0.441 0.458 52.410 68.548 0.010 100.000 1.000 30.000 67.446 
0.441 0.458 68.647 88.986 0.010 100.000 1.000 30.000 103.133 
0.441 0.458 89.100 118.657 0.010 100.000 1.000 50.000 129.035 
0.441 0.458 118.921 162.075 0.010 100.000 2.000 70.000 182.226 
0.441 0.457 162.449 223.201 0.010 100.000 2.000 90.000 229.196 
0.441 0.458 223.848 303.898 0.010 100.000 2.000 100.000 325.900 
0.441 0.458 304.371 404.994 0.010 100.000 4.000 100.000 464.951 
0.441 0.458 405.547 523.878 0.010 100.000 4.000 200.000 516.330 
0.441 0.458 524.236 669.717 0.010 100.000 5.000 200.000 752.382 
0.441 0.458 669.951 857.368 0.010 100.000 7.000 300.000 853.221 
0.441 0.458 857.773 1126.432 0.010 100.000 8.000 400.000 1206.383 
0.441 0.458 1129.007 1538.182 0.010 100.000 9.000 600.000 1750.468 
0.441 0.458 1541.011 2114.052 0.010 100.000 20.000 900.000 1964.963 
0.441 0.458 2114.647 2865.767 0.010 100.000 20.000 1000.000 2725.083 
0.441 0.458 2874.012 3831.796 0.010 100.000 40.000 1000.000 3733.564 
0.441 0.458 3834.485 4995.572 0.010 100.000 40.000 1000.000 5941.531 
0.458 0.474 2.363 15.810 0.010 23.357 1.000 7.000 13.420 
0.458 0.474 15.912 26.651 0.010 100.000 1.000 10.000 24.779 
0.458 0.474 26.685 38.900 0.010 61.585 1.000 10.000 41.039 
0.458 0.474 38.922 52.499 0.010 100.000 1.000 20.000 58.797 
0.458 0.474 52.613 68.330 0.010 100.000 1.000 20.000 78.263 
0.458 0.474 68.461 88.632 0.010 100.000 1.000 30.000 87.616 
0.458 0.474 88.700 117.234 0.010 100.000 1.000 50.000 128.396 
0.458 0.474 117.288 159.891 0.010 100.000 2.000 60.000 168.846 
0.458 0.474 160.432 220.486 0.010 100.000 2.000 90.000 206.560 
0.458 0.474 220.952 299.351 0.010 100.000 3.000 100.000 338.791 
0.458 0.474 300.690 402.447 0.010 100.000 3.000 100.000 433.453 
0.458 0.474 403.572 520.639 0.010 100.000 4.000 200.000 519.971 
0.458 0.474 521.537 665.681 0.010 100.000 5.000 200.000 643.145 
0.458 0.474 666.320 850.541 0.010 100.000 7.000 300.000 951.545 
0.458 0.474 850.922 1110.675 0.010 100.000 8.000 400.000 1080.868 
0.458 0.474 1112.822 1511.878 0.010 100.000 20.000 500.000 1418.862 
0.458 0.474 1519.925 2079.292 0.010 100.000 20.000 800.000 2205.254 
0.458 0.474 2080.446 2854.163 0.010 100.000 20.000 1000.000 3135.737 
0.458 0.474 2865.158 3819.382 0.010 100.000 30.000 1000.000 3650.154 
0.458 0.474 3827.112 4997.532 0.010 100.000 40.000 1000.000 5236.059 
0.474 0.490 2.683 15.697 0.010 23.357 1.000 6.000 11.853 
0.474 0.490 15.715 26.449 0.010 37.927 1.000 10.000 26.118 
0.474 0.490 26.535 38.960 0.010 61.585 1.000 10.000 41.765 
0.474 0.490 38.975 52.709 0.010 100.000 1.000 20.000 56.982 
0.474 0.490 52.787 68.709 0.010 100.000 1.000 30.000 74.850 
0.474 0.490 68.873 88.216 0.010 100.000 1.000 30.000 85.671 
0.474 0.490 88.295 115.842 0.010 100.000 1.000 50.000 124.016 
0.474 0.490 115.912 158.608 0.010 100.000 2.000 60.000 145.501 
0.474 0.490 159.215 217.310 0.010 100.000 2.000 80.000 226.754 
0.474 0.490 217.738 298.106 0.010 100.000 3.000 100.000 315.879 
0.474 0.490 298.984 399.382 0.010 100.000 3.000 100.000 431.648 
0.474 0.490 399.738 517.772 0.010 100.000 3.000 200.000 562.248 
0.474 0.490 518.552 661.363 0.010 100.000 5.000 200.000 653.649 
0.474 0.490 661.925 839.754 0.010 100.000 6.000 300.000 834.371 
0.474 0.490 840.327 1096.341 0.010 100.000 7.000 400.000 1182.721 
0.474 0.490 1098.006 1485.649 0.010 100.000 10.000 700.000 1515.554 
0.474 0.490 1495.666 2050.356 0.010 100.000 20.000 800.000 1906.620 
0.474 0.490 2050.407 2810.445 0.010 100.000 30.000 1000.000 2864.413 
0.474 0.490 2815.105 3805.492 0.010 100.000 30.000 1000.000 3475.990 
0.474 0.490 3810.382 4990.875 0.010 100.000 40.000 1000.000 5257.878 
0.490 0.506 2.357 15.616 0.010 23.357 1.000 6.000 13.066 
0.490 0.506 15.633 26.604 0.010 37.927 1.000 10.000 24.556 
0.490 0.506 26.694 39.037 0.010 100.000 1.000 10.000 41.535 
0.490 0.506 39.090 52.654 0.010 61.585 1.000 20.000 49.194 
0.490 0.506 52.834 68.542 0.010 100.000 1.000 30.000 74.414 
0.490 0.506 68.600 88.046 0.010 100.000 1.000 30.000 85.659 
0.490 0.506 88.063 115.574 0.010 100.000 1.000 40.000 123.633 
0.490 0.505 115.656 157.438 0.010 100.000 2.000 60.000 169.903 
0.490 0.506 158.859 216.299 0.010 100.000 2.000 90.000 225.715 
0.490 0.506 217.104 297.049 0.010 100.000 3.000 100.000 323.403 
0.490 0.506 298.237 400.970 0.010 100.000 3.000 100.000 410.460 
0.490 0.506 401.474 519.313 0.010 100.000 4.000 200.000 566.390 
0.490 0.506 520.965 664.963 0.010 100.000 5.000 300.000 733.409 
0.490 0.506 666.005 844.663 0.010 100.000 7.000 300.000 956.128 
0.490 0.506 846.657 1110.440 0.010 100.000 8.000 400.000 1305.641 
0.490 0.506 1112.459 1510.501 0.010 100.000 20.000 600.000 1379.005 
0.490 0.506 1512.403 2064.064 0.010 100.000 20.000 800.000 1903.445 
0.490 0.506 2068.566 2814.684 0.010 100.000 20.000 1000.000 3136.977 
0.490 0.506 2818.763 3794.660 0.010 100.000 30.000 1000.000 3577.744 
0.490 0.506 3796.330 4997.278 0.010 100.000 40.000 1000.000 5534.615 
0.506 0.522 2.337 15.799 0.010 23.357 1.000 7.000 12.731 
0.506 0.522 15.927 26.513 0.010 100.000 1.000 10.000 24.537 
0.506 0.522 26.638 39.038 0.010 61.585 1.000 10.000 38.297 
0.506 0.522 39.068 52.660 0.010 61.585 1.000 20.000 55.257 
0.506 0.522 52.792 68.485 0.010 100.000 1.000 30.000 76.090 
0.506 0.522 68.519 87.511 0.010 100.000 1.000 30.000 93.688 
0.506 0.522 87.586 113.187 0.010 100.000 1.000 40.000 123.338 
0.506 0.522 113.609 154.734 0.010 100.000 2.000 70.000 158.383 
0.506 0.522 155.229 214.487 0.010 100.000 2.000 90.000 224.735 
0.506 0.522 215.352 296.850 0.010 100.000 2.000 100.000 307.584 
