Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.424 0.441 15.830 26.666 0.010 37.927 1.000 10.000 33.362 
0.424 0.441 26.695 38.652 0.010 61.585 1.000 10.000 48.219 
0.424 0.441 38.739 52.358 0.010 61.585 1.000 20.000 67.329 
0.424 0.441 52.404 68.765 0.010 100.000 1.000 20.000 87.764 
0.424 0.441 68.834 89.473 0.010 100.000 1.000 30.000 113.417 
0.424 0.441 89.611 119.514 0.010 100.000 1.000 50.000 151.436 
0.424 0.441 119.782 164.268 0.010 100.000 2.000 60.000 204.178 
0.424 0.441 164.620 224.493 0.010 100.000 2.000 80.000 289.025 
0.424 0.441 224.556 303.474 0.010 100.000 3.000 100.000 380.723 
0.424 0.441 304.205 401.802 0.010 100.000 3.000 100.000 514.674 
0.424 0.441 403.380 518.812 0.010 100.000 4.000 100.000 671.937 
0.424 0.441 521.377 666.449 0.010 100.000 5.000 200.000 865.446 
0.424 0.441 666.949 856.770 0.010 100.000 6.000 300.000 1130.116 
0.424 0.441 860.161 1136.712 0.010 100.000 7.000 400.000 1382.388 
0.424 0.441 1139.087 1538.232 0.010 100.000 20.000 500.000 1935.387 
0.424 0.441 1539.311 2106.627 0.010 100.000 20.000 900.000 2664.439 
0.424 0.441 2111.715 2874.860 0.010 100.000 20.000 1000.000 3682.707 
0.424 0.441 2876.401 3838.999 0.010 100.000 30.000 1000.000 4837.352 
0.424 0.441 3847.994 4999.088 0.010 100.000 40.000 1000.000 6317.445 
0.441 0.458 2.363 15.579 0.010 23.357 1.000 6.000 15.168 
0.441 0.458 15.647 26.599 0.010 61.585 1.000 10.000 31.411 
0.441 0.457 26.652 38.597 0.010 61.585 1.000 10.000 49.642 
0.441 0.458 38.665 52.331 0.010 100.000 1.000 20.000 67.137 
0.441 0.458 52.426 68.590 0.010 100.000 1.000 20.000 85.789 
0.441 0.458 68.738 88.886 0.010 100.000 1.000 30.000 110.265 
0.441 0.458 89.075 118.558 0.010 100.000 1.000 50.000 148.531 
0.441 0.458 118.688 162.256 0.010 100.000 2.000 70.000 199.457 
0.441 0.458 162.477 223.496 0.010 100.000 2.000 100.000 276.628 
0.441 0.458 223.733 304.190 0.010 100.000 3.000 100.000 388.840 
0.441 0.458 305.116 405.166 0.010 100.000 3.000 100.000 520.528 
0.441 0.458 405.732 523.797 0.010 100.000 4.000 100.000 672.578 
0.441 0.458 524.273 669.091 0.010 100.000 5.000 200.000 853.781 
0.441 0.458 671.292 856.792 0.010 100.000 7.000 300.000 1062.368 
0.441 0.458 858.366 1127.342 0.010 100.000 7.000 400.000 1388.389 
0.441 0.458 1129.259 1540.451 0.010 100.000 10.000 600.000 1907.701 
0.441 0.458 1541.926 2114.052 0.010 100.000 20.000 800.000 2725.990 
0.441 0.457 2115.809 2868.781 0.010 100.000 20.000 1000.000 3638.638 
0.441 0.458 2873.328 3833.935 0.010 100.000 30.000 1000.000 4810.403 
0.441 0.458 3836.421 4993.492 0.010 100.000 40.000 1000.000 6182.794 
0.458 0.474 2.518 15.842 0.010 23.357 1.000 6.000 15.797 
0.458 0.474 15.870 26.626 0.010 37.927 1.000 10.000 32.963 
0.458 0.474 26.687 38.881 0.010 61.585 1.000 10.000 47.007 
0.458 0.474 38.973 52.508 0.010 100.000 1.000 20.000 64.820 
0.458 0.474 52.560 68.315 0.010 61.585 1.000 30.000 86.066 
0.458 0.474 68.445 88.574 0.010 100.000 1.000 30.000 110.253 
0.458 0.474 88.653 117.238 0.010 100.000 1.000 40.000 142.281 
0.458 0.474 117.542 159.797 0.010 100.000 1.000 60.000 197.325 
0.458 0.474 160.146 220.745 0.010 100.000 2.000 80.000 275.486 
0.458 0.474 221.113 298.742 0.010 100.000 3.000 100.000 374.344 
0.458 0.474 299.824 401.749 0.010 100.000 3.000 100.000 497.870 
0.458 0.474 402.722 520.689 0.010 100.000 4.000 200.000 657.624 
0.458 0.474 521.707 665.861 0.010 100.000 5.000 200.000 827.839 
