Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.383 0.404 2.095 15.903 0.010 23.357 1.000 5.000 16.348 
0.383 0.404 15.903 27.108 0.010 61.585 1.000 10.000 33.690 
0.383 0.404 27.108 39.291 0.010 100.000 1.000 10.000 50.537 
0.383 0.404 39.291 53.272 0.010 100.000 1.000 20.000 69.567 
0.383 0.404 53.272 70.589 0.010 100.000 1.000 20.000 91.018 
0.383 0.404 70.589 93.429 0.010 100.000 1.000 40.000 122.154 
0.383 0.404 93.429 125.385 0.010 100.000 1.000 50.000 160.261 
0.383 0.404 125.385 171.820 0.010 100.000 1.000 70.000 222.267 
0.383 0.404 171.820 232.652 0.010 100.000 2.000 90.000 304.217 
0.383 0.404 232.652 310.746 0.010 100.000 2.000 100.000 408.901 
0.383 0.404 310.746 408.728 0.010 100.000 3.000 100.000 525.799 
0.383 0.404 408.728 528.704 0.010 100.000 4.000 200.000 690.070 
0.383 0.404 528.704 682.857 0.010 100.000 5.000 200.000 897.919 
0.383 0.404 682.857 885.900 0.010 100.000 6.000 300.000 1148.155 
0.383 0.404 885.900 1174.215 0.010 100.000 8.000 400.000 1535.367 
0.383 0.404 1174.215 1602.367 0.010 100.000 20.000 600.000 2067.630 
0.383 0.404 1602.367 2174.903 0.010 100.000 20.000 900.000 2804.387 
0.383 0.404 2174.903 2929.521 0.010 100.000 30.000 1000.000 3703.864 
0.383 0.404 2929.521 3850.135 0.010 100.000 30.000 1000.000 5096.145 
0.383 0.404 3850.135 4999.840 0.010 100.000 40.000 1000.000 6359.596 
0.404 0.423 2.121 16.050 0.010 14.384 1.000 6.000 15.956 
0.404 0.423 16.050 27.084 0.010 37.927 1.000 10.000 32.223 
0.404 0.423 27.084 39.191 0.010 61.585 1.000 10.000 48.442 
0.404 0.423 39.191 53.257 0.010 61.585 1.000 20.000 66.832 
0.404 0.423 53.257 70.078 0.010 100.000 1.000 20.000 88.243 
0.404 0.423 70.078 91.908 0.010 100.000 1.000 30.000 117.620 
0.404 0.423 91.908 124.450 0.010 100.000 1.000 40.000 156.590 
0.404 0.423 124.450 170.540 0.010 100.000 2.000 60.000 214.012 
0.404 0.423 170.540 233.399 0.010 100.000 2.000 80.000 298.803 
0.404 0.423 233.399 312.799 0.010 100.000 3.000 100.000 405.405 
0.404 0.423 312.799 410.592 0.010 100.000 3.000 100.000 531.810 
0.404 0.423 410.592 531.943 0.010 100.000 4.000 100.000 683.516 
0.404 0.423 531.943 682.277 0.010 100.000 5.000 300.000 889.163 
0.404 0.423 682.277 877.275 0.010 100.000 7.000 300.000 1116.456 
0.404 0.423 877.275 1155.482 0.010 100.000 9.000 400.000 1452.367 
0.404 0.423 1155.482 1571.027 0.010 100.000 10.000 600.000 1975.889 
0.404 0.423 1571.027 2141.398 0.010 100.000 20.000 900.000 2751.834 
0.404 0.423 2141.398 2867.821 0.010 100.000 30.000 1000.000 3655.307 
0.404 0.423 2867.821 3819.701 0.010 100.000 30.000 1000.000 4835.705 
0.404 0.423 3819.701 4999.925 0.010 100.000 40.000 1000.000 6455.792 
0.423 0.441 2.163 15.812 0.010 14.384 1.000 6.000 15.174 
0.423 0.441 15.812 26.684 0.010 37.927 1.000 10.000 31.774 
0.423 0.441 26.684 38.697 0.010 100.000 1.000 10.000 48.646 
0.423 0.441 38.697 52.428 0.010 61.585 1.000 20.000 66.306 
0.423 0.441 52.428 68.874 0.010 100.000 1.000 30.000 86.735 
0.423 0.441 68.874 89.649 0.010 100.000 1.000 30.000 110.597 
0.423 0.441 89.649 119.662 0.010 100.000 1.000 50.000 148.086 
0.423 0.441 119.662 164.552 0.010 100.000 2.000 70.000 199.484 
0.423 0.441 164.552 224.612 0.010 100.000 2.000 90.000 286.479 
0.423 0.441 224.612 303.661 0.010 100.000 2.000 100.000 386.988 
0.423 0.441 303.661 402.697 0.010 100.000 3.000 100.000 503.461 
0.423 0.441 402.697 520.427 0.010 100.000 5.000 200.000 662.433 
0.423 0.441 520.427 666.785 0.010 100.000 5.000 200.000 850.439 
