Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.384 0.405 2.328 15.902 0.010 23.357 1.000 6.000 14.275 
0.384 0.405 15.948 27.114 0.010 100.000 1.000 10.000 26.178 
0.384 0.405 27.156 39.298 0.010 100.000 1.000 10.000 48.074 
0.384 0.405 39.430 53.158 0.010 100.000 1.000 20.000 58.218 
0.384 0.405 53.267 70.322 0.010 100.000 1.000 20.000 81.368 
0.384 0.405 70.685 93.167 0.010 100.000 1.000 30.000 104.491 
0.384 0.405 93.401 125.056 0.010 100.000 1.000 50.000 140.839 
0.384 0.405 125.359 171.050 0.010 100.000 1.000 80.000 193.356 
0.384 0.405 171.679 232.071 0.010 100.000 2.000 80.000 271.246 
0.384 0.404 232.801 310.705 0.010 100.000 2.000 100.000 342.712 
0.384 0.405 310.823 408.366 0.010 100.000 3.000 100.000 417.303 
0.384 0.404 408.715 527.630 0.010 100.000 4.000 200.000 645.173 
0.384 0.405 528.394 681.573 0.010 100.000 5.000 200.000 701.886 
0.384 0.405 682.841 883.840 0.010 100.000 6.000 300.000 1112.092 
0.384 0.405 885.545 1173.765 0.010 100.000 7.000 400.000 1132.612 
0.384 0.405 1174.079 1601.328 0.010 100.000 20.000 600.000 1765.233 
0.384 0.405 1602.585 2172.886 0.010 100.000 20.000 900.000 2141.126 
0.384 0.405 2175.433 2927.653 0.010 100.000 20.000 1000.000 3420.257 
0.384 0.405 2928.462 3838.295 0.010 100.000 30.000 1000.000 4995.604 
0.384 0.405 3850.632 4987.513 0.010 100.000 40.000 1000.000 5960.035 
0.405 0.424 2.614 15.946 0.010 23.357 1.000 7.000 14.346 
0.405 0.423 16.048 27.035 0.010 23.357 1.000 10.000 26.424 
0.405 0.424 27.104 38.980 0.010 37.927 1.000 10.000 41.552 
0.405 0.424 39.143 53.027 0.010 100.000 1.000 20.000 57.001 
0.405 0.424 53.195 70.003 0.010 100.000 1.000 20.000 79.405 
0.405 0.423 70.050 91.759 0.010 100.000 1.000 40.000 90.695 
0.405 0.423 91.856 124.305 0.010 100.000 1.000 50.000 144.463 
0.405 0.424 124.656 170.661 0.010 100.000 2.000 60.000 183.786 
0.405 0.424 170.730 233.269 0.010 100.000 2.000 90.000 255.702 
0.405 0.423 233.505 312.557 0.010 100.000 2.000 100.000 344.262 
0.405 0.423 312.985 410.655 0.010 100.000 3.000 100.000 458.609 
0.405 0.423 410.764 531.779 0.010 100.000 4.000 200.000 635.682 
