Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.273 0.327 3866.037 4999.992 0.010 100.000 40.000 1000.000 5574.989 
0.327 0.359 2.245 16.439 0.010 37.927 1.000 6.000 15.125 
0.327 0.359 16.439 28.135 0.010 61.585 1.000 10.000 32.415 
0.327 0.359 28.135 40.455 0.010 100.000 1.000 10.000 46.729 
0.327 0.359 40.455 54.683 0.010 100.000 1.000 20.000 63.282 
0.327 0.359 54.683 72.535 0.010 100.000 1.000 20.000 86.889 
0.327 0.359 72.535 96.311 0.010 100.000 1.000 30.000 112.786 
0.327 0.359 96.311 130.900 0.010 100.000 1.000 50.000 133.766 
0.327 0.359 130.900 178.517 0.010 100.000 2.000 60.000 213.242 
0.327 0.359 178.517 241.948 0.010 100.000 2.000 90.000 288.151 
0.327 0.359 241.948 318.552 0.010 100.000 2.000 100.000 400.796 
0.327 0.359 318.552 413.040 0.010 100.000 3.000 100.000 554.936 
0.327 0.359 413.040 529.438 0.010 100.000 4.000 100.000 555.400 
0.327 0.359 529.438 683.702 0.010 100.000 5.000 200.000 894.716 
0.327 0.359 683.702 891.891 0.010 100.000 7.000 300.000 1114.241 
0.327 0.359 891.891 1192.181 0.010 100.000 9.000 400.000 1238.352 
0.327 0.359 1192.181 1614.767 0.010 100.000 20.000 600.000 1983.729 
0.327 0.359 1614.767 2190.391 0.010 100.000 20.000 800.000 2730.654 
0.327 0.359 2190.391 2931.292 0.010 100.000 20.000 1000.000 3011.515 
0.327 0.359 2931.292 3853.969 0.010 100.000 40.000 1000.000 4863.309 
0.327 0.359 3853.969 4999.905 0.010 100.000 40.000 1000.000 5220.767 
0.359 0.384 2.107 16.131 0.010 14.384 1.000 6.000 15.043 
0.359 0.384 16.131 27.712 0.010 61.585 1.000 10.000 31.300 
0.359 0.384 27.712 39.985 0.010 61.585 1.000 10.000 43.400 
0.359 0.384 39.985 54.297 0.010 100.000 1.000 20.000 66.840 
0.359 0.384 54.297 71.610 0.010 100.000 1.000 20.000 72.863 
0.359 0.384 71.610 94.928 0.010 100.000 1.000 30.000 119.527 
0.359 0.384 94.928 128.038 0.010 100.000 1.000 40.000 145.318 
0.359 0.384 128.038 174.169 0.010 100.000 2.000 70.000 194.035 
0.359 0.384 174.169 235.493 0.010 100.000 2.000 100.000 240.630 
0.359 0.384 235.493 314.256 0.010 100.000 2.000 100.000 315.839 
0.359 0.384 314.256 410.336 0.010 100.000 3.000 100.000 507.278 
0.359 0.384 410.336 528.783 0.010 100.000 4.000 200.000 612.374 
0.359 0.384 528.783 683.371 0.010 100.000 6.000 200.000 845.966 
0.359 0.384 683.371 894.571 0.010 100.000 7.000 300.000 1031.325 
0.359 0.384 894.571 1192.865 0.010 100.000 8.000 400.000 1191.404 
0.359 0.384 1192.865 1623.361 0.010 100.000 20.000 500.000 2021.105 
0.359 0.384 1623.361 2208.123 0.010 100.000 20.000 800.000 2464.909 
0.359 0.384 2208.123 2957.549 0.010 100.000 20.000 1000.000 2952.821 
0.359 0.384 2957.549 3871.942 0.010 100.000 40.000 1000.000 4467.514 
0.359 0.384 3871.942 4999.849 0.010 100.000 40.000 1000.000 5909.187 
0.384 0.405 2.095 15.942 0.010 23.357 1.000 6.000 14.275 
0.384 0.405 15.942 27.139 0.010 100.000 1.000 10.000 26.178 
0.384 0.405 27.139 39.331 0.010 100.000 1.000 10.000 48.074 
0.384 0.405 39.331 53.263 0.010 100.000 1.000 20.000 58.218 
0.384 0.405 53.263 70.509 0.010 100.000 1.000 20.000 81.368 
0.384 0.405 70.509 93.368 0.010 100.000 1.000 30.000 104.491 
0.384 0.405 93.368 125.305 0.010 100.000 1.000 50.000 140.839 
0.384 0.405 125.305 171.622 0.010 100.000 1.000 80.000 193.356 
0.384 0.405 171.622 232.549 0.010 100.000 2.000 80.000 271.246 
0.384 0.405 232.549 310.746 0.010 100.000 2.000 100.000 342.712 
0.384 0.405 310.746 408.494 0.010 100.000 3.000 100.000 417.303 
0.384 0.405 408.494 528.297 0.010 100.000 4.000 200.000 645.173 
0.384 0.405 528.297 682.485 0.010 100.000 5.000 200.000 701.886 
0.384 0.405 682.485 885.199 0.010 100.000 6.000 300.000 1112.092 
0.384 0.405 885.199 1173.790 0.010 100.000 7.000 400.000 1132.612 
0.384 0.405 1173.790 1602.361 0.010 100.000 20.000 600.000 1765.233 
0.384 0.405 1602.361 2175.161 0.010 100.000 20.000 900.000 2141.126 
0.384 0.405 2175.161 2927.756 0.010 100.000 20.000 1000.000 3420.257 
0.384 0.405 2927.756 3844.753 0.010 100.000 30.000 1000.000 4995.604 
0.384 0.405 3844.753 4999.840 0.010 100.000 40.000 1000.000 5960.035 
0.405 0.424 2.121 16.044 0.010 23.357 1.000 7.000 14.346 
0.405 0.424 16.044 27.042 0.010 23.357 1.000 10.000 26.424 
0.405 0.424 27.042 39.104 0.010 37.927 1.000 10.000 41.552 
0.405 0.424 39.104 53.181 0.010 100.000 1.000 20.000 57.001 
0.405 0.424 53.181 70.026 0.010 100.000 1.000 20.000 79.405 
0.405 0.424 70.026 91.833 0.010 100.000 1.000 40.000 90.695 
0.405 0.424 91.833 124.442 0.010 100.000 1.000 50.000 144.463 
0.405 0.424 124.442 170.696 0.010 100.000 2.000 60.000 183.786 
0.405 0.424 170.696 233.380 0.010 100.000 2.000 90.000 255.702 
0.405 0.424 233.380 312.896 0.010 100.000 2.000 100.000 344.262 
0.405 0.424 312.896 410.762 0.010 100.000 3.000 100.000 458.609 
0.405 0.424 410.762 531.906 0.010 100.000 4.000 200.000 635.682 
0.405 0.424 531.906 681.625 0.010 100.000 5.000 200.000 702.045 
0.405 0.424 681.625 876.926 0.010 100.000 6.000 300.000 982.985 
0.405 0.424 876.926 1154.657 0.010 100.000 7.000 400.000 1131.935 
0.405 0.424 1154.657 1570.490 0.010 100.000 20.000 600.000 1700.127 
0.405 0.424 1570.490 2139.713 0.010 100.000 20.000 700.000 2323.013 
0.405 0.424 2139.713 2866.855 0.010 100.000 20.000 1000.000 3391.685 
0.405 0.424 2866.855 3820.840 0.010 100.000 30.000 1000.000 4554.983 
0.405 0.424 3820.840 4999.925 0.010 100.000 40.000 1000.000 5744.523 
0.424 0.441 2.089 15.794 0.010 37.927 1.000 6.000 11.076 
0.424 0.441 15.794 26.683 0.010 37.927 1.000 10.000 25.446 
0.424 0.441 26.683 38.693 0.010 61.585 1.000 10.000 44.831 
0.424 0.441 38.693 52.369 0.010 61.585 1.000 20.000 57.376 
0.424 0.441 52.369 68.832 0.010 100.000 1.000 20.000 67.797 
0.424 0.441 68.832 89.605 0.010 100.000 1.000 30.000 85.922 
0.424 0.441 89.605 119.660 0.010 100.000 1.000 50.000 130.738 
0.424 0.441 119.660 164.357 0.010 100.000 2.000 60.000 187.804 
0.424 0.441 164.357 224.512 0.010 100.000 2.000 80.000 239.925 
0.424 0.441 224.512 303.504 0.010 100.000 3.000 100.000 330.192 
0.424 0.441 303.504 402.589 0.010 100.000 3.000 100.000 510.829 
0.424 0.441 402.589 520.271 0.010 100.000 4.000 100.000 519.269 
0.424 0.441 520.271 666.840 0.010 100.000 5.000 200.000 737.990 
0.424 0.441 666.840 857.833 0.010 100.000 6.000 300.000 984.364 
0.424 0.441 857.833 1137.124 0.010 100.000 7.000 400.000 1111.166 
0.424 0.441 1137.124 1538.563 0.010 100.000 20.000 500.000 1766.932 
0.424 0.441 1538.563 2107.727 0.010 100.000 20.000 900.000 2046.411 
0.424 0.441 2107.727 2876.392 0.010 100.000 20.000 1000.000 2771.484 
0.424 0.441 2876.392 3844.031 0.010 100.000 30.000 1000.000 3698.682 
0.424 0.441 3844.031 4999.556 0.010 100.000 40.000 1000.000 5779.590 
0.441 0.458 2.073 15.599 0.010 23.357 1.000 6.000 14.006 
0.441 0.458 15.599 26.599 0.010 61.585 1.000 10.000 27.419 
0.441 0.458 26.599 38.628 0.010 61.585 1.000 10.000 40.816 
0.441 0.458 38.628 52.408 0.010 100.000 1.000 20.000 56.903 
0.441 0.458 52.408 68.646 0.010 100.000 1.000 20.000 73.896 
0.441 0.458 68.646 89.015 0.010 100.000 1.000 30.000 101.734 
0.441 0.458 89.015 118.670 0.010 100.000 1.000 50.000 130.235 
0.441 0.458 118.670 162.293 0.010 100.000 2.000 70.000 184.974 
0.441 0.458 162.293 223.568 0.010 100.000 2.000 100.000 234.987 
0.441 0.458 223.568 304.308 0.010 100.000 3.000 100.000 329.771 
0.441 0.458 304.308 405.203 0.010 100.000 3.000 100.000 482.142 
0.441 0.458 405.203 524.061 0.010 100.000 4.000 100.000 655.584 
0.441 0.458 524.061 669.908 0.010 100.000 5.000 200.000 651.816 
0.441 0.458 669.908 857.560 0.010 100.000 7.000 300.000 844.905 
0.441 0.458 857.560 1128.734 0.010 100.000 7.000 400.000 1314.399 
0.441 0.458 1128.734 1540.761 0.010 100.000 10.000 600.000 1455.432 
0.441 0.458 1540.761 2114.377 0.010 100.000 20.000 800.000 2040.043 
0.441 0.458 2114.377 2870.332 0.010 100.000 20.000 1000.000 3073.341 
0.441 0.458 2870.332 3834.171 0.010 100.000 30.000 1000.000 4083.772 
0.441 0.458 3834.171 4999.915 0.010 100.000 40.000 1000.000 5693.017 
0.458 0.474 2.065 15.842 0.010 23.357 1.000 6.000 14.333 
0.458 0.474 15.842 26.673 0.010 37.927 1.000 10.000 28.565 
