Ice-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.359 0.384 3876.681 4985.616 0.010 100.000 40.000 1000.000 2354.050 
0.384 0.405 2.328 15.902 0.010 23.357 1.000 6.000 5.886 
0.384 0.405 15.948 27.114 0.010 100.000 1.000 10.000 12.199 
0.384 0.405 27.156 39.298 0.010 100.000 1.000 10.000 18.376 
0.384 0.405 39.430 53.158 0.010 100.000 1.000 20.000 24.385 
0.384 0.405 53.267 70.322 0.010 100.000 1.000 20.000 33.723 
0.384 0.405 70.685 93.167 0.010 100.000 1.000 30.000 43.606 
0.384 0.405 93.401 125.056 0.010 100.000 1.000 50.000 60.381 
0.384 0.405 125.359 171.050 0.010 100.000 1.000 80.000 74.134 
0.384 0.405 171.679 232.071 0.010 100.000 2.000 80.000 102.545 
0.384 0.404 232.801 310.705 0.010 100.000 2.000 100.000 138.319 
0.384 0.405 310.823 408.366 0.010 100.000 3.000 100.000 182.226 
0.384 0.404 408.715 527.630 0.010 100.000 4.000 200.000 255.745 
0.384 0.405 528.394 681.573 0.010 100.000 5.000 200.000 331.433 
0.384 0.405 682.841 883.840 0.010 100.000 6.000 300.000 398.637 
0.384 0.405 885.545 1173.765 0.010 100.000 7.000 400.000 514.430 
0.384 0.405 1174.079 1601.328 0.010 100.000 20.000 600.000 735.890 
0.384 0.405 1602.585 2172.886 0.010 100.000 20.000 900.000 1051.646 
0.384 0.405 2175.433 2927.653 0.010 100.000 20.000 1000.000 1392.487 
0.384 0.405 2928.462 3838.295 0.010 100.000 30.000 1000.000 1752.163 
0.384 0.405 3850.632 4987.513 0.010 100.000 40.000 1000.000 2360.779 
0.405 0.424 2.614 15.946 0.010 23.357 1.000 7.000 6.730 
0.405 0.423 16.048 27.035 0.010 23.357 1.000 10.000 12.776 
0.405 0.424 27.104 38.980 0.010 37.927 1.000 10.000 17.049 
0.405 0.424 39.143 53.027 0.010 100.000 1.000 20.000 23.901 
0.405 0.424 53.195 70.003 0.010 100.000 1.000 20.000 33.776 
0.405 0.423 70.050 91.759 0.010 100.000 1.000 40.000 44.004 
0.405 0.423 91.856 124.305 0.010 100.000 1.000 50.000 62.167 
0.405 0.424 124.656 170.661 0.010 100.000 2.000 60.000 80.930 
0.405 0.424 170.730 233.269 0.010 100.000 2.000 90.000 113.034 
0.405 0.423 233.505 312.557 0.010 100.000 2.000 100.000 154.707 
0.405 0.423 312.985 410.655 0.010 100.000 3.000 100.000 188.802 
0.405 0.423 410.764 531.779 0.010 100.000 4.000 200.000 261.875 
0.405 0.424 531.921 679.521 0.010 100.000 5.000 200.000 335.007 
0.405 0.424 681.744 876.438 0.010 100.000 6.000 300.000 427.015 
0.405 0.424 879.566 1154.393 0.010 100.000 7.000 400.000 532.478 
0.405 0.423 1154.709 1569.761 0.010 100.000 20.000 600.000 712.477 
0.405 0.423 1570.855 2139.708 0.010 100.000 20.000 700.000 1037.231 
0.405 0.424 2140.780 2862.980 0.010 100.000 20.000 1000.000 1309.280 
0.405 0.424 2874.095 3808.737 0.010 100.000 30.000 1000.000 1881.312 
0.405 0.423 3828.191 4994.481 0.010 100.000 40.000 1000.000 2416.900 
0.424 0.441 2.197 15.662 0.010 37.927 1.000 6.000 5.803 
0.424 0.441 15.830 26.666 0.010 37.927 1.000 10.000 11.845 
0.424 0.441 26.695 38.652 0.010 61.585 1.000 10.000 18.785 
0.424 0.441 38.739 52.358 0.010 61.585 1.000 20.000 25.445 
0.424 0.441 52.404 68.765 0.010 100.000 1.000 20.000 33.505 
0.424 0.441 68.834 89.473 0.010 100.000 1.000 30.000 44.669 
0.424 0.441 89.611 119.514 0.010 100.000 1.000 50.000 56.032 
0.424 0.441 119.782 164.268 0.010 100.000 2.000 60.000 79.079 
0.424 0.441 164.620 224.493 0.010 100.000 2.000 80.000 113.271 
0.424 0.441 224.556 303.474 0.010 100.000 3.000 100.000 141.074 
0.424 0.441 304.205 401.802 0.010 100.000 3.000 100.000 200.744 
0.424 0.441 403.380 518.812 0.010 100.000 4.000 100.000 271.734 
0.424 0.441 521.377 666.449 0.010 100.000 5.000 200.000 342.543 
0.424 0.441 666.949 856.770 0.010 100.000 6.000 300.000 435.500 
0.424 0.441 860.161 1136.712 0.010 100.000 7.000 400.000 561.426 
0.424 0.441 1139.087 1538.232 0.010 100.000 20.000 500.000 762.119 
0.424 0.441 1539.311 2106.627 0.010 100.000 20.000 900.000 1023.657 
