Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.077 0.100 1.546 12.975 0.010 61.585 1.000 7.000 1.374 
0.077 0.100 12.975 21.849 0.010 100.000 1.000 10.000 2.990 
0.077 0.100 21.849 32.224 0.010 61.585 1.000 10.000 4.945 
0.077 0.100 32.224 42.979 0.010 100.000 1.000 20.000 5.721 
0.077 0.100 42.979 55.780 0.010 100.000 2.000 30.000 7.627 
0.077 0.100 55.780 70.503 0.010 61.585 3.000 40.000 11.798 
0.077 0.100 70.503 87.452 0.010 61.585 3.000 40.000 15.329 
0.077 0.100 87.452 112.179 0.010 100.000 3.000 60.000 18.706 
0.077 0.100 112.179 142.197 0.010 61.585 6.000 70.000 24.169 
0.077 0.100 142.197 193.771 0.010 61.585 6.000 100.000 34.039 
0.077 0.100 193.771 283.783 0.010 61.585 9.000 100.000 47.855 
0.077 0.100 283.783 375.359 0.010 61.585 20.000 200.000 63.813 
0.077 0.100 375.359 484.068 0.010 61.585 20.000 200.000 82.916 
0.077 0.100 484.068 626.651 0.010 61.585 30.000 300.000 123.022 
0.077 0.100 626.651 828.227 0.010 100.000 40.000 500.000 145.782 
0.077 0.100 828.227 1182.547 0.010 100.000 40.000 700.000 212.111 
0.077 0.100 1182.547 1718.277 0.010 100.000 50.000 900.000 229.841 
0.077 0.100 1718.277 2653.311 0.010 100.000 70.000 1000.000 396.551 
0.077 0.100 2653.311 3731.174 0.010 100.000 70.000 1000.000 591.499 
0.077 0.100 3731.174 4999.871 0.010 61.585 200.000 1000.000 845.099 
0.100 0.127 1.472 13.527 0.010 37.927 1.000 7.000 2.177 
0.100 0.127 13.527 24.186 0.010 37.927 1.000 10.000 4.119 
0.100 0.127 24.186 35.606 0.010 61.585 2.000 20.000 7.364 
0.100 0.127 35.606 49.005 0.010 37.927 2.000 20.000 9.537 
0.100 0.127 49.005 62.876 0.010 100.000 2.000 30.000 12.230 
0.100 0.127 62.876 75.838 0.010 61.585 3.000 40.000 16.429 
0.100 0.127 75.838 90.133 0.010 61.585 4.000 40.000 19.305 
0.100 0.127 90.133 106.729 0.010 61.585 2.000 60.000 22.636 
0.100 0.127 106.729 127.039 0.010 37.927 5.000 70.000 24.091 
0.100 0.127 127.039 157.232 0.010 37.927 7.000 90.000 27.826 
0.100 0.127 157.232 242.633 0.010 37.927 8.000 100.000 44.718 
0.100 0.127 242.633 314.032 0.010 37.927 20.000 100.000 53.241 
0.100 0.127 314.032 407.121 0.010 37.927 20.000 200.000 84.132 
0.100 0.127 407.121 515.694 0.010 37.927 30.000 200.000 89.991 
0.100 0.127 515.694 700.781 0.010 37.927 30.000 300.000 138.407 
0.100 0.127 700.781 992.072 0.010 100.000 40.000 500.000 160.016 
0.100 0.127 992.072 1528.877 0.010 100.000 40.000 700.000 277.506 
0.100 0.127 1528.877 2473.250 0.010 61.585 60.000 1000.000 439.084 
0.100 0.127 2473.250 3604.534 0.010 61.585 90.000 1000.000 721.007 
0.100 0.127 3604.534 4999.957 0.010 100.000 100.000 1000.000 1013.995 
0.127 0.157 1.550 13.707 0.010 37.927 1.000 7.000 2.363 
0.127 0.157 13.707 24.907 0.010 37.927 1.000 10.000 4.589 
0.127 0.157 24.907 37.230 0.010 37.927 2.000 20.000 8.029 
0.127 0.157 37.230 50.752 0.010 37.927 2.000 20.000 11.142 
0.127 0.157 50.752 62.500 0.010 37.927 3.000 30.000 15.838 
0.127 0.157 62.500 73.135 0.010 100.000 2.000 40.000 17.723 
0.127 0.157 73.135 84.885 0.010 100.000 2.000 40.000 21.446 
0.127 0.157 84.885 98.536 0.016 100.000 3.000 50.000 24.132 
0.127 0.157 98.536 115.844 0.016 37.927 6.000 50.000 25.320 
0.127 0.157 115.844 144.450 0.016 37.927 6.000 80.000 29.009 
0.127 0.157 144.450 218.872 0.010 100.000 4.000 100.000 47.384 
0.127 0.157 218.872 289.107 0.010 37.927 20.000 100.000 59.040 
0.127 0.157 289.107 370.769 0.010 37.927 20.000 200.000 84.674 
0.127 0.157 370.769 472.067 0.010 37.927 20.000 200.000 109.969 
0.127 0.157 472.067 648.140 0.010 37.927 30.000 300.000 142.282 
0.127 0.157 648.140 911.240 0.010 100.000 40.000 500.000 165.278 
0.127 0.157 911.240 1427.774 0.010 61.585 50.000 700.000 233.449 
