Ice-Agg collection for the flat orientation.
Mean value taken from the average across 300 aggregates.
Major axis taken as the largest axis from the fit-ellipsoid
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.077 0.100 21.849 32.224 0.010 61.585 1.000 10.000 66.484
0.077 0.100 32.224 42.979 0.010 100.000 1.000 20.000 90.133
0.077 0.100 42.979 55.780 0.010 100.000 2.000 30.000 117.062
0.077 0.100 55.780 70.503 0.010 61.585 3.000 40.000 148.608
0.077 0.100 70.503 87.452 0.010 61.585 3.000 40.000 187.152
0.077 0.100 87.452 112.179 0.010 100.000 3.000 60.000 237.188
0.077 0.100 112.179 142.197 0.010 61.585 6.000 70.000 314.234
0.077 0.100 142.197 193.771 0.010 61.585 6.000 100.000 418.921
0.077 0.100 193.771 283.783 0.010 61.585 9.000 100.000 629.228
0.077 0.100 283.783 375.359 0.010 61.585 20.000 200.000 851.394
0.077 0.100 375.359 484.068 0.010 61.585 20.000 200.000 1150.937
0.077 0.100 484.068 626.651 0.010 61.585 30.000 300.000 1414.532
0.077 0.100 626.651 828.227 0.010 100.000 40.000 500.000 1820.425
0.077 0.100 828.227 1182.547 0.010 100.000 40.000 700.000 2570.726
0.077 0.100 1182.547 1718.277 0.010 100.000 50.000 900.000 3646.001
0.077 0.100 1718.277 2653.311 0.010 100.000 70.000 1000.000 5469.036
0.077 0.100 2653.311 3731.174 0.010 100.000 70.000 1000.000 7914.876
0.077 0.100 3731.174 4999.871 0.010 61.585 200.000 1000.000 10659.464
0.100 0.127 1.472 13.527 0.010 37.927 1.000 7.000 21.659
0.100 0.127 13.527 24.186 0.010 37.927 1.000 10.000 42.064
0.100 0.127 24.186 35.606 0.010 61.585 2.000 20.000 69.214
0.100 0.127 35.606 49.005 0.010 37.927 2.000 20.000 94.806
0.100 0.127 49.005 62.876 0.010 100.000 2.000 30.000 123.388
0.100 0.127 62.876 75.838 0.010 61.585 3.000 40.000 150.974
0.100 0.127 75.838 90.133 0.010 61.585 4.000 40.000 178.597
0.100 0.127 90.133 106.729 0.010 61.585 2.000 60.000 215.361
0.100 0.127 106.729 127.039 0.010 37.927 5.000 70.000 257.379
0.100 0.127 127.039 157.232 0.010 37.927 7.000 90.000 318.339
0.100 0.127 157.232 242.633 0.010 37.927 8.000 100.000 468.111
0.100 0.127 242.633 314.032 0.010 37.927 20.000 100.000 639.797
0.100 0.127 314.032 407.121 0.010 37.927 20.000 200.000 859.396
0.100 0.127 407.121 515.694 0.010 37.927 30.000 200.000 1074.777
0.100 0.127 515.694 700.781 0.010 37.927 30.000 300.000 1433.909
0.100 0.127 700.781 992.072 0.010 100.000 40.000 500.000 1907.183
0.100 0.127 992.072 1528.877 0.010 100.000 40.000 700.000 2913.566
0.100 0.127 1528.877 2473.250 0.010 61.585 60.000 1000.000 4653.538
0.100 0.127 2473.250 3604.534 0.010 61.585 90.000 1000.000 7011.284
0.100 0.127 3604.534 4999.957 0.010 100.000 100.000 1000.000 9726.882
0.127 0.157 1.550 13.707 0.010 37.927 1.000 7.000 18.395
0.127 0.157 13.707 24.907 0.010 37.927 1.000 10.000 41.097
0.127 0.157 24.907 37.230 0.010 37.927 2.000 20.000 67.431
0.127 0.157 37.230 50.752 0.010 37.927 2.000 20.000 91.112
0.127 0.157 50.752 62.500 0.010 37.927 3.000 30.000 117.466
0.127 0.157 62.500 73.135 0.010 100.000 2.000 40.000 139.106
0.127 0.157 73.135 84.885 0.010 100.000 2.000 40.000 158.976
0.127 0.157 84.885 98.536 0.016 100.000 3.000 50.000 184.325
0.127 0.157 98.536 115.844 0.016 37.927 6.000 50.000 219.061
0.127 0.157 115.844 144.450 0.016 37.927 6.000 80.000 267.760
0.127 0.157 144.450 218.872 0.010 100.000 4.000 100.000 381.310
0.127 0.157 218.872 289.107 0.010 37.927 20.000 100.000 532.414
0.127 0.157 289.107 370.769 0.010 37.927 20.000 200.000 715.229
0.127 0.157 370.769 472.067 0.010 37.927 20.000 200.000 903.017
0.127 0.157 472.067 648.140 0.010 37.927 30.000 300.000 1206.245
0.127 0.157 648.140 911.240 0.010 100.000 40.000 500.000 1646.969
0.127 0.157 911.240 1427.774 0.010 61.585 50.000 700.000 2485.765
0.127 0.157 1427.774 2396.789 0.010 100.000 60.000 1000.000 4018.702
0.127 0.157 2396.789 3587.321 0.010 61.585 80.000 1000.000 6372.699
0.127 0.157 3587.321 4999.790 0.010 37.927 200.000 1000.000 8895.134
0.157 0.193 1.636 13.698 0.016 23.357 1.000 6.000 18.281
0.157 0.193 13.698 24.672 0.016 37.927 1.000 10.000 38.765
0.157 0.193 24.672 36.820 0.010 37.927 2.000 20.000 62.338
0.157 0.193 36.820 48.021 0.010 37.927 2.000 30.000 83.980
0.157 0.193 48.021 58.070 0.016 37.927 3.000 30.000 101.748
0.157 0.193 58.070 67.627 0.016 37.927 3.000 40.000 118.757
0.157 0.193 67.627 77.956 0.010 37.927 4.000 30.000 136.347
0.157 0.193 77.956 90.228 0.016 37.927 4.000 50.000 159.414
0.157 0.193 90.228 107.594 0.016 23.357 5.000 60.000 189.214
0.157 0.193 107.594 136.578 0.016 23.357 7.000 80.000 227.058
0.157 0.193 136.578 202.737 0.016 100.000 4.000 100.000 327.615
0.157 0.193 202.737 271.282 0.010 23.357 20.000 100.000 462.998
0.157 0.193 271.282 350.691 0.016 37.927 20.000 200.000 605.944
0.157 0.193 350.691 456.889 0.010 23.357 20.000 200.000 816.839
0.157 0.193 456.889 626.799 0.010 37.927 30.000 300.000 1054.549
0.157 0.193 626.799 881.944 0.010 61.585 40.000 400.000 1468.383
0.157 0.193 881.944 1419.254 0.010 61.585 40.000 700.000 2180.348
0.157 0.193 1419.254 2410.981 0.010 61.585 70.000 1000.000 3825.246
0.157 0.193 2410.981 3580.875 0.010 100.000 80.000 1000.000 6180.174
0.157 0.193 3580.875 4999.942 0.016 23.357 200.000 1000.000 8560.031
0.193 0.235 1.608 13.779 0.016 23.357 1.000 7.000 18.180
0.193 0.235 13.779 24.971 0.016 23.357 1.000 10.000 36.476
0.193 0.235 24.971 35.690 0.016 23.357 2.000 20.000 55.908
0.193 0.235 35.690 45.330 0.016 37.927 2.000 20.000 73.354
0.193 0.235 45.330 54.191 0.016 37.927 2.000 30.000 90.092
