Ice-Agg collection for the flat orientation.
Mean value taken from the average across 300 aggregates.
Major axis taken as the largest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.121 0.151 50.954 63.003 0.010 37.927 3.000 30.000 117.466
0.121 0.151 63.144 74.037 0.010 100.000 2.000 40.000 139.106
0.121 0.151 74.252 86.187 0.010 100.000 2.000 40.000 158.976
0.121 0.151 86.214 100.291 0.016 100.000 3.000 50.000 184.325
0.121 0.151 100.400 117.628 0.016 37.927 6.000 50.000 219.061
0.121 0.151 117.672 146.107 0.016 37.927 6.000 80.000 267.760
0.121 0.151 146.353 222.468 0.010 100.000 4.000 100.000 381.310
0.121 0.151 222.563 292.204 0.010 37.927 20.000 100.000 532.414
0.121 0.151 292.491 374.665 0.010 37.927 20.000 200.000 715.229
0.121 0.151 376.264 478.589 0.010 37.927 20.000 200.000 903.017
0.121 0.151 480.124 655.403 0.010 37.927 30.000 300.000 1206.245
0.121 0.151 656.962 919.556 0.010 100.000 40.000 500.000 1646.969
0.121 0.151 920.300 1444.442 0.010 61.585 50.000 700.000 2485.765
0.121 0.151 1447.135 2402.497 0.010 100.000 60.000 1000.000 4018.702
0.121 0.151 2405.167 3582.056 0.010 61.585 80.000 1000.000 6372.699
0.121 0.151 3585.453 4989.118 0.010 37.927 200.000 1000.000 8895.134
0.151 0.186 1.641 13.654 0.016 23.357 1.000 6.000 18.281
0.151 0.186 13.753 24.662 0.016 37.927 1.000 10.000 38.765
0.151 0.187 24.678 36.940 0.010 37.927 2.000 20.000 62.338
0.151 0.187 36.977 48.543 0.010 37.927 2.000 30.000 83.980
0.151 0.186 48.589 58.815 0.016 37.927 3.000 30.000 101.748
0.151 0.187 58.895 68.678 0.016 37.927 3.000 40.000 118.757
0.151 0.186 68.686 79.085 0.010 37.927 4.000 30.000 136.347
0.151 0.187 79.197 91.648 0.016 37.927 4.000 50.000 159.414
0.151 0.186 91.706 109.223 0.016 23.357 5.000 60.000 189.214
0.151 0.187 109.256 137.521 0.016 23.357 7.000 80.000 227.058
0.151 0.186 138.267 205.236 0.016 100.000 4.000 100.000 327.615
0.151 0.187 205.625 275.030 0.010 23.357 20.000 100.000 462.998
0.151 0.187 275.320 354.592 0.016 37.927 20.000 200.000 605.944
0.151 0.187 354.950 458.856 0.010 23.357 20.000 200.000 816.839
0.151 0.187 460.608 631.926 0.010 37.927 30.000 300.000 1054.549
0.151 0.187 632.854 886.613 0.010 61.585 40.000 400.000 1468.383
0.151 0.187 889.082 1415.032 0.010 61.585 40.000 700.000 2180.348
0.151 0.187 1417.938 2404.042 0.010 61.585 70.000 1000.000 3825.246
0.151 0.186 2407.860 3579.987 0.010 100.000 80.000 1000.000 6180.174
0.151 0.186 3586.111 4997.707 0.016 23.357 200.000 1000.000 8560.031
0.187 0.229 2.218 13.733 0.016 23.357 1.000 7.000 18.180
0.187 0.229 13.762 24.817 0.016 23.357 1.000 10.000 36.476
0.187 0.229 24.959 35.845 0.016 23.357 2.000 20.000 55.908
0.187 0.229 35.959 45.819 0.016 37.927 2.000 20.000 73.354
0.187 0.229 45.863 54.600 0.016 37.927 2.000 30.000 90.092
0.187 0.229 54.734 63.520 0.016 23.357 3.000 30.000 101.980
0.187 0.229 63.535 72.970 0.016 23.357 3.000 40.000 118.575
0.187 0.229 72.996 85.192 0.016 23.357 4.000 40.000 136.211
0.187 0.229 85.262 101.394 0.026 23.357 5.000 50.000 161.290
0.187 0.229 101.465 128.731 0.026 23.357 7.000 70.000 206.781
0.187 0.229 129.011 187.665 0.016 23.357 8.000 100.000 285.063
0.187 0.229 187.948 256.019 0.016 14.384 20.000 100.000 401.385
0.187 0.229 256.338 336.541 0.016 23.357 20.000 100.000 544.110
0.187 0.229 336.580 444.626 0.016 23.357 20.000 200.000 699.608
0.187 0.229 444.657 612.322 0.010 37.927 30.000 300.000 969.441
0.187 0.229 613.365 861.945 0.010 23.357 40.000 400.000 1315.472
0.187 0.229 863.450 1393.113 0.016 100.000 40.000 700.000 2060.607
0.187 0.229 1400.933 2393.946 0.016 37.927 70.000 1000.000 3630.609
