Ice-Agg collection for the random orientation.
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Mode from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.423 0.441 3845.983 4999.556 0.010 100.000 40.000 1000.000 0.013
0.441 0.457 2.073 15.603 0.010 37.927 1.000 6.000 -0.233
0.441 0.457 15.603 26.597 0.010 37.927 1.000 10.000 0.004
0.441 0.457 26.597 38.567 0.010 61.585 1.000 10.000 0.027
0.441 0.457 38.567 52.348 0.010 100.000 1.000 20.000 0.007
0.441 0.457 52.348 68.617 0.010 100.000 1.000 30.000 0.003
0.441 0.457 68.617 88.968 0.010 100.000 1.000 30.000 0.004
0.441 0.457 88.968 118.724 0.010 100.000 1.000 50.000 0.000
0.441 0.457 118.724 162.375 0.010 100.000 2.000 70.000 0.006
0.441 0.457 162.375 223.601 0.010 100.000 2.000 90.000 0.002
0.441 0.457 223.601 304.133 0.010 100.000 2.000 100.000 0.001
0.441 0.457 304.133 404.692 0.010 100.000 4.000 100.000 0.003
0.441 0.457 404.692 524.039 0.010 100.000 4.000 200.000 0.012
0.441 0.457 524.039 670.243 0.010 100.000 5.000 200.000 -0.001
0.441 0.457 670.243 858.085 0.010 100.000 7.000 300.000 0.005
0.441 0.457 858.085 1128.769 0.010 100.000 8.000 400.000 0.015
0.441 0.457 1128.769 1541.200 0.010 100.000 9.000 600.000 0.005
0.441 0.457 1541.200 2114.324 0.010 100.000 20.000 900.000 0.010
0.441 0.457 2114.324 2871.485 0.010 100.000 20.000 1000.000 -0.001
0.441 0.457 2871.485 3835.182 0.010 100.000 40.000 1000.000 0.009
0.441 0.457 3835.182 4999.915 0.010 100.000 40.000 1000.000 0.005
0.457 0.473 2.065 15.823 0.010 23.357 1.000 7.000 -0.211
0.457 0.473 15.823 26.658 0.010 100.000 1.000 10.000 -0.040
0.457 0.473 26.658 38.879 0.010 61.585 1.000 10.000 -0.002
0.457 0.473 38.879 52.501 0.010 100.000 1.000 20.000 -0.000
0.457 0.473 52.501 68.327 0.010 100.000 1.000 20.000 0.006
0.457 0.473 68.327 88.614 0.010 100.000 1.000 30.000 0.001
0.457 0.473 88.614 117.263 0.010 100.000 1.000 50.000 0.000
0.457 0.473 117.263 160.078 0.010 100.000 2.000 60.000 0.003
0.457 0.473 160.078 220.967 0.010 100.000 2.000 90.000 0.002
0.457 0.473 220.967 299.748 0.010 100.000 3.000 100.000 0.004
0.457 0.473 299.748 403.075 0.010 100.000 3.000 100.000 -0.005
0.457 0.473 403.075 520.772 0.010 100.000 4.000 200.000 0.015
0.457 0.473 520.772 665.458 0.010 100.000 5.000 200.000 0.011
0.457 0.473 665.458 850.521 0.010 100.000 7.000 300.000 0.006
0.457 0.473 850.521 1111.418 0.010 100.000 8.000 400.000 0.005
0.457 0.473 1111.418 1520.858 0.010 100.000 20.000 500.000 0.003
0.457 0.473 1520.858 2083.577 0.010 100.000 20.000 800.000 0.011
0.457 0.473 2083.577 2865.357 0.010 100.000 20.000 1000.000 0.007
0.457 0.473 2865.357 3822.818 0.010 100.000 30.000 1000.000 0.000
0.457 0.473 3822.818 4999.951 0.010 100.000 40.000 1000.000 -0.000
0.473 0.489 2.128 15.734 0.010 23.357 1.000 6.000 -0.027
0.473 0.489 15.734 26.499 0.010 37.927 1.000 10.000 -0.030
0.473 0.489 26.499 39.000 0.010 61.585 1.000 10.000 0.001
0.473 0.489 39.000 52.782 0.010 100.000 1.000 20.000 0.004
0.473 0.489 52.782 68.854 0.010 100.000 1.000 30.000 0.003
0.473 0.489 68.854 88.258 0.010 100.000 1.000 30.000 0.004
0.473 0.489 88.258 115.900 0.010 100.000 1.000 50.000 0.005
0.473 0.489 115.900 158.736 0.010 100.000 2.000 60.000 0.001
0.473 0.489 158.736 217.855 0.010 100.000 2.000 80.000 0.012
0.473 0.489 217.855 298.485 0.010 100.000 3.000 100.000 0.002
0.473 0.489 298.485 399.766 0.010 100.000 3.000 100.000 0.009
0.473 0.489 399.766 518.525 0.010 100.000 3.000 200.000 0.002
0.473 0.489 518.525 662.692 0.010 100.000 5.000 200.000 0.005
0.473 0.489 662.692 840.755 0.010 100.000 6.000 300.000 0.006
0.473 0.489 840.755 1097.569 0.010 100.000 7.000 400.000 0.002
0.473 0.489 1097.569 1494.319 0.010 100.000 10.000 700.000 0.002
0.473 0.489 1494.319 2050.646 0.010 100.000 20.000 800.000 -0.001
0.473 0.489 2050.646 2814.843 0.010 100.000 30.000 1000.000 0.006
0.473 0.489 2814.843 3804.285 0.010 100.000 30.000 1000.000 -0.000
0.473 0.489 3804.285 4999.515 0.010 100.000 40.000 1000.000 0.013
0.489 0.505 2.133 15.601 0.010 23.357 1.000 6.000 -0.073
0.489 0.505 15.601 26.631 0.010 37.927 1.000 10.000 0.041
0.489 0.505 26.631 39.064 0.010 100.000 1.000 10.000 -0.000
0.489 0.505 39.064 52.671 0.010 61.585 1.000 20.000 -0.003
0.489 0.505 52.671 68.569 0.010 100.000 1.000 30.000 -0.010
0.489 0.505 68.569 88.110 0.010 100.000 1.000 30.000 0.003
0.489 0.505 88.110 115.670 0.010 100.000 1.000 40.000 0.003
0.489 0.505 115.670 158.121 0.010 100.000 2.000 60.000 0.003
