Ice-Agg collection for the random orientation.
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Mode from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.623 0.654 1071.754 1450.233 0.010 100.000 20.000 600.000 0.003
0.623 0.654 1450.233 2023.995 0.010 100.000 20.000 900.000 -0.003
0.623 0.654 2023.995 2832.324 0.010 100.000 20.000 900.000 0.012
0.623 0.654 2832.324 3859.876 0.010 100.000 30.000 1000.000 0.016
0.623 0.654 3859.876 4999.766 0.010 100.000 40.000 1000.000 0.003
0.654 0.701 1.728 17.397 0.010 23.357 1.000 8.000 0.000
0.654 0.701 17.397 29.316 0.010 37.927 1.000 10.000 -0.001
0.654 0.701 29.316 41.780 0.010 37.927 1.000 10.000 -0.002
0.654 0.701 41.780 54.858 0.010 100.000 1.000 10.000 0.010
0.654 0.701 54.858 69.791 0.010 61.585 1.000 20.000 0.008
0.654 0.701 69.791 87.176 0.010 100.000 1.000 30.000 -0.001
0.654 0.701 87.176 113.293 0.010 100.000 1.000 40.000 0.000
0.654 0.701 113.293 155.795 0.010 100.000 2.000 60.000 0.006
0.654 0.701 155.795 217.189 0.010 100.000 2.000 90.000 0.007
0.654 0.701 217.189 307.899 0.010 100.000 2.000 100.000 0.004
0.654 0.701 307.899 415.476 0.010 100.000 3.000 100.000 0.003
0.654 0.701 415.476 533.665 0.010 100.000 5.000 100.000 0.004
0.654 0.701 533.665 669.692 0.010 100.000 5.000 300.000 0.010
0.654 0.701 669.692 829.054 0.010 100.000 6.000 300.000 0.006
0.654 0.701 829.054 1050.558 0.010 100.000 8.000 400.000 0.002
0.654 0.701 1050.558 1422.824 0.010 100.000 9.000 600.000 0.005
0.654 0.701 1422.824 1999.265 0.010 100.000 20.000 1000.000 -0.001
0.654 0.701 1999.265 2826.120 0.010 100.000 30.000 900.000 0.001
0.654 0.701 2826.120 3850.650 0.010 100.000 30.000 1000.000 0.007
0.654 0.701 3850.650 4999.985 0.010 100.000 40.000 1000.000 0.003
0.701 0.973 1.813 17.547 0.010 14.384 1.000 6.000 0.032
0.701 0.973 17.547 29.485 0.010 61.585 1.000 10.000 -0.002
0.701 0.973 29.485 42.070 0.010 61.585 1.000 10.000 -0.003
0.701 0.973 42.070 54.693 0.010 100.000 1.000 20.000 0.008
0.701 0.973 54.693 68.856 0.010 61.585 1.000 20.000 0.016
0.701 0.973 68.856 86.432 0.010 100.000 1.000 30.000 0.004
0.701 0.973 86.432 110.708 0.010 100.000 1.000 30.000 0.008
0.701 0.973 110.708 153.548 0.010 100.000 2.000 50.000 0.004
0.701 0.973 153.548 215.082 0.010 100.000 2.000 90.000 0.006
0.701 0.973 215.082 303.130 0.010 100.000 3.000 100.000 0.003
0.701 0.973 303.130 410.670 0.010 100.000 3.000 100.000 -0.001
0.701 0.973 410.670 528.127 0.010 100.000 5.000 100.000 -0.001
0.701 0.973 528.127 657.337 0.010 100.000 6.000 200.000 0.003
0.701 0.973 657.337 817.302 0.010 100.000 7.000 400.000 0.001
0.701 0.973 817.302 1043.059 0.010 100.000 7.000 400.000 0.003
0.701 0.973 1043.059 1418.950 0.010 100.000 10.000 400.000 -0.002
0.701 0.973 1418.950 1984.089 0.010 100.000 20.000 900.000 0.009
0.701 0.973 1984.089 2823.800 0.010 100.000 30.000 800.000 0.007
0.701 0.973 2823.800 3877.075 0.010 100.000 30.000 1000.000 0.010
0.701 0.973 3877.075 4999.971 0.010 100.000 40.000 1000.000 0.003
