Ice-Agg collection for the random orientation. 
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Mode from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.018 0.272 2.480 13.800 0.010 100.000 1.000 6.000 -0.724 
0.008 0.273 13.871 23.532 0.010 100.000 1.000 10.000 -0.687 
0.009 0.272 23.578 33.675 0.010 100.000 1.000 10.000 -0.649 
0.008 0.273 33.723 46.036 0.010 100.000 1.000 10.000 -0.325 
0.008 0.271 46.066 62.798 0.010 100.000 1.000 20.000 -0.902 
0.007 0.272 62.929 85.507 0.010 100.000 1.000 40.000 -0.558 
0.007 0.272 85.603 117.534 0.010 100.000 2.000 40.000 -0.507 
0.012 0.272 117.962 160.208 0.010 100.000 2.000 70.000 0.011 
0.009 0.272 160.324 215.017 0.010 100.000 2.000 80.000 -0.240 
0.011 0.272 215.488 282.897 0.010 100.000 2.000 100.000 0.029 
0.013 0.273 283.563 370.071 0.010 100.000 3.000 100.000 0.002 
0.011 0.273 371.235 485.673 0.010 100.000 4.000 100.000 0.023 
0.009 0.273 486.152 647.727 0.010 100.000 6.000 200.000 -0.057 
0.010 0.272 648.444 872.702 0.010 100.000 7.000 300.000 -0.003 
0.016 0.272 875.658 1191.246 0.010 100.000 10.000 400.000 0.013 
0.012 0.272 1194.137 1634.643 0.010 100.000 20.000 700.000 -0.283 
0.011 0.273 1636.355 2208.852 0.010 100.000 20.000 900.000 0.013 
0.015 0.273 2212.059 2912.631 0.010 100.000 30.000 1000.000 0.003 
0.010 0.272 2918.520 3818.367 0.010 100.000 30.000 1000.000 0.019 
0.007 0.272 3821.740 4998.927 0.010 100.000 40.000 1000.000 0.022 
0.273 0.326 3.033 16.371 0.010 37.927 1.000 6.000 -0.102 
0.273 0.327 16.464 27.992 0.010 100.000 1.000 10.000 0.021 
0.273 0.327 28.023 40.364 0.010 100.000 1.000 10.000 -0.009 
0.273 0.326 40.413 55.718 0.010 100.000 1.000 20.000 -0.075 
0.273 0.327 55.854 75.439 0.010 100.000 1.000 30.000 0.008 
0.273 0.327 75.699 100.774 0.010 100.000 1.000 40.000 0.008 
0.273 0.327 101.160 136.283 0.010 100.000 2.000 50.000 -0.003 
0.273 0.327 136.467 183.513 0.010 100.000 2.000 70.000 0.013 
0.273 0.326 184.248 243.276 0.010 100.000 2.000 90.000 0.002 
0.273 0.326 243.868 318.830 0.010 100.000 2.000 100.000 0.018 
0.273 0.327 319.033 410.748 0.010 100.000 3.000 100.000 0.005 
0.273 0.327 411.432 528.892 0.010 100.000 4.000 200.000 0.001 
0.273 0.327 530.185 689.248 0.010 100.000 5.000 200.000 0.014 
0.273 0.327 690.624 912.032 0.010 100.000 8.000 300.000 0.002 
0.273 0.327 915.944 1234.196 0.010 100.000 10.000 400.000 0.012 
0.273 0.327 1241.026 1670.354 0.010 100.000 20.000 600.000 0.017 
0.273 0.327 1673.687 2233.429 0.010 100.000 20.000 800.000 0.009 
0.273 0.327 2236.383 2937.070 0.010 100.000 30.000 1000.000 -0.004 
0.273 0.327 2941.365 3861.245 0.010 100.000 30.000 1000.000 0.009 
