Ice-Agg collection for the flat orientation.
Mode from 300 aggregates.
Characteristic value taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.100 0.127 90.133 106.729 0.010 61.585 2.000 60.000 0.003
0.100 0.127 106.729 127.039 0.010 37.927 5.000 70.000 0.004
0.100 0.127 127.039 157.232 0.010 37.927 7.000 90.000 0.001
0.100 0.127 157.232 242.633 0.010 37.927 8.000 100.000 -0.002
0.100 0.127 242.633 314.032 0.010 37.927 20.000 100.000 0.010
0.100 0.127 314.032 407.121 0.010 37.927 20.000 200.000 0.005
0.100 0.127 407.121 515.694 0.010 37.927 30.000 200.000 0.009
0.100 0.127 515.694 700.781 0.010 37.927 30.000 300.000 0.003
0.100 0.127 700.781 992.072 0.010 100.000 40.000 500.000 0.002
0.100 0.127 992.072 1528.877 0.010 100.000 40.000 700.000 0.003
0.100 0.127 1528.877 2473.250 0.010 61.585 60.000 1000.000 0.002
0.100 0.127 2473.250 3604.534 0.010 61.585 90.000 1000.000 0.008
0.100 0.127 3604.534 4999.957 0.010 100.000 100.000 1000.000 0.008
0.127 0.157 1.550 13.707 0.010 37.927 1.000 7.000 0.012
0.127 0.157 13.707 24.907 0.010 37.927 1.000 10.000 0.030
0.127 0.157 24.907 37.230 0.010 37.927 2.000 20.000 0.006
0.127 0.157 37.230 50.752 0.010 37.927 2.000 20.000 0.003
0.127 0.157 50.752 62.500 0.010 37.927 3.000 30.000 0.001
0.127 0.157 62.500 73.135 0.010 100.000 2.000 40.000 0.002
0.127 0.157 73.135 84.885 0.010 100.000 2.000 40.000 0.004
0.127 0.157 84.885 98.536 0.016 100.000 3.000 50.000 -0.027
0.127 0.157 98.536 115.844 0.016 37.927 6.000 50.000 0.000
0.127 0.157 115.844 144.450 0.016 37.927 6.000 80.000 0.004
0.127 0.157 144.450 218.872 0.010 100.000 4.000 100.000 0.006
0.127 0.157 218.872 289.107 0.010 37.927 20.000 100.000 0.005
0.127 0.157 289.107 370.769 0.010 37.927 20.000 200.000 0.007
0.127 0.157 370.769 472.067 0.010 37.927 20.000 200.000 0.006
0.127 0.157 472.067 648.140 0.010 37.927 30.000 300.000 0.008
0.127 0.157 648.140 911.240 0.010 100.000 40.000 500.000 0.007
0.127 0.157 911.240 1427.774 0.010 61.585 50.000 700.000 0.006
0.127 0.157 1427.774 2396.789 0.010 100.000 60.000 1000.000 0.008
0.127 0.157 2396.789 3587.321 0.010 61.585 80.000 1000.000 0.007
0.127 0.157 3587.321 4999.790 0.010 37.927 200.000 1000.000 0.002
0.157 0.193 1.636 13.698 0.016 23.357 1.000 6.000 -0.040
0.157 0.193 13.698 24.672 0.016 37.927 1.000 10.000 0.004
0.157 0.193 24.672 36.820 0.010 37.927 2.000 20.000 0.001
0.157 0.193 36.820 48.021 0.010 37.927 2.000 30.000 -0.003
0.157 0.193 48.021 58.070 0.016 37.927 3.000 30.000 0.006
0.157 0.193 58.070 67.627 0.016 37.927 3.000 40.000 -0.012
0.157 0.193 67.627 77.956 0.010 37.927 4.000 30.000 0.007
0.157 0.193 77.956 90.228 0.016 37.927 4.000 50.000 0.000
0.157 0.193 90.228 107.594 0.016 23.357 5.000 60.000 -0.109
0.157 0.193 107.594 136.578 0.016 23.357 7.000 80.000 0.006
0.157 0.193 136.578 202.737 0.016 100.000 4.000 100.000 -0.001
0.157 0.193 202.737 271.282 0.010 23.357 20.000 100.000 0.007
0.157 0.193 271.282 350.691 0.016 37.927 20.000 200.000 0.004
0.157 0.193 350.691 456.889 0.010 23.357 20.000 200.000 0.001
0.157 0.193 456.889 626.799 0.010 37.927 30.000 300.000 0.011
0.157 0.193 626.799 881.944 0.010 61.585 40.000 400.000 0.011
0.157 0.193 881.944 1419.254 0.010 61.585 40.000 700.000 0.014
0.157 0.193 1419.254 2410.981 0.010 61.585 70.000 1000.000 0.000
0.157 0.193 2410.981 3580.875 0.010 100.000 80.000 1000.000 0.004
0.157 0.193 3580.875 4999.942 0.016 23.357 200.000 1000.000 0.006
0.193 0.235 1.608 13.779 0.016 23.357 1.000 7.000 0.036
0.193 0.235 13.779 24.971 0.016 23.357 1.000 10.000 0.003
0.193 0.235 24.971 35.690 0.016 23.357 2.000 20.000 0.003
0.193 0.235 35.690 45.330 0.016 37.927 2.000 20.000 0.008
0.193 0.235 45.330 54.191 0.016 37.927 2.000 30.000 0.006
0.193 0.235 54.191 62.771 0.016 23.357 3.000 30.000 0.008
0.193 0.235 62.771 72.178 0.016 23.357 3.000 40.000 0.001
0.193 0.235 72.178 84.255 0.016 23.357 4.000 40.000 0.001
0.193 0.235 84.255 100.419 0.026 23.357 5.000 50.000 0.009
0.193 0.235 100.419 127.835 0.026 23.357 7.000 70.000 0.005
0.193 0.235 127.835 185.905 0.016 23.357 8.000 100.000 0.013
0.193 0.235 185.905 254.682 0.016 14.384 20.000 100.000 0.003
0.193 0.235 254.682 335.901 0.016 23.357 20.000 100.000 0.006
0.193 0.235 335.901 444.412 0.016 23.357 20.000 200.000 0.002
0.193 0.235 444.412 611.322 0.010 37.927 30.000 300.000 -0.002
0.193 0.235 611.322 860.143 0.010 23.357 40.000 400.000 0.007
0.193 0.235 860.143 1390.128 0.016 100.000 40.000 700.000 0.005
0.193 0.235 1390.128 2388.861 0.016 37.927 70.000 1000.000 0.003
0.193 0.235 2388.861 3552.538 0.010 61.585 80.000 1000.000 0.002
0.193 0.235 3552.538 4999.933 0.010 23.357 200.000 1000.000 0.008
0.235 0.284 1.584 13.817 0.026 23.357 1.000 6.000 0.035
0.235 0.284 13.817 24.504 0.016 23.357 1.000 10.000 0.001
0.235 0.284 24.504 33.567 0.016 23.357 2.000 10.000 0.003
0.235 0.284 33.567 41.863 0.016 23.357 2.000 20.000 -0.001
0.235 0.284 41.863 50.094 0.026 14.384 3.000 20.000 -0.026
0.235 0.284 50.094 58.660 0.026 23.357 3.000 20.000 -0.028
0.235 0.284 58.660 67.886 0.026 14.384 4.000 40.000 0.007
0.235 0.284 67.886 79.469 0.026 37.927 4.000 40.000 0.006
0.235 0.284 79.469 95.017 0.026 37.927 4.000 40.000 0.002
0.235 0.284 95.017 120.764 0.026 23.357 4.000 70.000 -0.004
0.235 0.284 120.764 174.459 0.026 100.000 3.000 90.000 0.005
0.235 0.284 174.459 240.497 0.026 100.000 4.000 100.000 0.012
0.235 0.284 240.497 323.967 0.026 23.357 20.000 200.000 0.000
0.235 0.284 323.967 431.398 0.016 23.357 20.000 200.000 0.005
0.235 0.284 431.398 597.724 0.016 23.357 30.000 200.000 0.009
0.235 0.284 597.724 843.095 0.016 37.927 40.000 500.000 0.009
0.235 0.284 843.095 1396.535 0.016 37.927 40.000 700.000 0.009
0.235 0.284 1396.535 2413.788 0.026 61.585 60.000 1000.000 0.009
0.235 0.284 2413.788 3567.482 0.016 37.927 100.000 1000.000 0.002
0.235 0.284 3567.482 4999.758 0.016 61.585 90.000 1000.000 -0.002
0.284 0.340 1.709 12.944 0.026 14.384 1.000 7.000 -0.004
0.284 0.340 12.944 22.779 0.026 14.384 1.000 10.000 0.011
0.284 0.340 22.779 30.889 0.026 37.927 1.000 10.000 0.027
0.284 0.340 30.889 38.678 0.026 14.384 2.000 20.000 0.007
0.284 0.340 38.678 46.776 0.026 23.357 2.000 20.000 0.000
0.284 0.340 46.776 55.211 0.026 37.927 2.000 20.000 0.003
0.284 0.340 55.211 64.824 0.026 23.357 2.000 30.000 -0.006
0.284 0.340 64.824 76.362 0.026 61.585 2.000 40.000 0.007
0.284 0.340 76.362 92.103 0.026 23.357 4.000 30.000 0.005
0.284 0.340 92.103 117.298 0.026 23.357 6.000 70.000 0.003
0.284 0.340 117.298 173.707 0.026 37.927 4.000 100.000 0.008
0.284 0.340 173.707 240.314 0.026 14.384 20.000 100.000 0.005
0.284 0.340 240.314 325.206 0.026 14.384 20.000 100.000 0.004
0.284 0.340 325.206 438.062 0.016 14.384 20.000 200.000 -0.000
0.284 0.340 438.062 605.665 0.016 14.384 30.000 300.000 0.008
0.284 0.340 605.665 846.637 0.026 23.357 40.000 400.000 0.007
0.284 0.340 846.637 1428.879 0.016 23.357 50.000 800.000 0.004
0.284 0.340 1428.879 2443.837 0.026 37.927 90.000 1000.000 0.003
0.284 0.340 2443.837 3582.201 0.026 23.357 200.000 1000.000 0.001
0.284 0.340 3582.201 4999.755 0.026 61.585 100.000 1000.000 0.003
0.340 0.398 1.769 12.032 0.026 14.384 1.000 6.000 0.033
0.340 0.398 12.032 20.846 0.026 23.357 1.000 10.000 -0.001
0.340 0.398 20.846 28.486 0.026 14.384 2.000 10.000 0.005
0.340 0.398 28.486 36.401 0.026 14.384 2.000 10.000 0.011
0.340 0.398 36.401 45.051 0.026 23.357 2.000 20.000 0.007
0.340 0.398 45.051 54.494 0.026 14.384 3.000 20.000 0.006
0.340 0.398 54.494 65.416 0.026 14.384 4.000 30.000 0.007
0.340 0.398 65.416 78.862 0.026 14.384 4.000 30.000 0.012
0.340 0.398 78.862 97.366 0.026 14.384 5.000 50.000 0.001
0.340 0.398 97.366 137.088 0.026 37.927 4.000 70.000 -0.003
0.340 0.398 137.088 202.866 0.026 14.384 9.000 100.000 0.006
0.340 0.398 202.866 272.937 0.026 14.384 20.000 100.000 0.001
0.340 0.398 272.937 363.268 0.026 14.384 20.000 100.000 0.000
0.340 0.398 363.268 489.253 0.026 23.357 30.000 200.000 0.005
0.340 0.398 489.253 665.955 0.026 14.384 30.000 300.000 0.000
0.340 0.398 665.955 960.511 0.026 23.357 40.000 500.000 0.006
0.340 0.398 960.511 1685.904 0.026 37.927 50.000 800.000 -0.003
0.340 0.398 1685.904 2604.221 0.026 37.927 90.000 1000.000 0.003
0.340 0.398 2604.221 3658.911 0.026 100.000 40.000 1000.000 0.003
0.340 0.398 3658.911 4999.992 0.026 23.357 200.000 1000.000 0.008
0.398 0.450 1.635 10.392 0.043 8.859 1.000 5.000 0.036
0.398 0.450 10.392 18.025 0.043 23.357 1.000 10.000 -0.000
0.398 0.450 18.025 25.846 0.026 23.357 1.000 10.000 0.000
0.398 0.450 25.846 34.307 0.043 23.357 2.000 10.000 0.002
0.398 0.450 34.307 44.925 0.026 23.357 2.000 10.000 0.011
0.398 0.450 44.925 56.779 0.026 37.927 3.000 30.000 0.000
0.398 0.450 56.779 70.211 0.026 14.384 3.000 30.000 0.004
0.398 0.450 70.211 89.265 0.043 100.000 2.000 40.000 -0.001
0.398 0.450 89.265 129.486 0.043 37.927 4.000 60.000 -0.004
0.398 0.450 129.486 201.124 0.026 14.384 9.000 90.000 0.004
0.398 0.450 201.124 270.725 0.043 14.384 20.000 100.000 0.009
0.398 0.450 270.725 351.950 0.026 14.384 20.000 100.000 0.005
0.398 0.450 351.950 459.210 0.016 14.384 30.000 200.000 0.007
0.398 0.450 459.210 603.224 0.026 14.384 40.000 300.000 0.005
0.398 0.450 603.224 824.024 0.043 23.357 40.000 400.000 0.000
0.398 0.450 824.024 1314.345 0.026 37.927 40.000 600.000 0.008
0.398 0.450 1314.345 2062.497 0.043 23.357 70.000 1000.000 0.012
0.398 0.450 2062.497 2868.833 0.026 100.000 40.000 1000.000 -0.030
0.398 0.450 2868.833 3810.562 0.043 100.000 90.000 1000.000 0.004
0.398 0.450 3810.562 4999.599 0.026 37.927 200.000 1000.000 0.008
0.450 0.495 1.667 9.437 0.043 8.859 1.000 4.000 -0.093
0.450 0.495 9.437 16.637 0.070 14.384 1.000 7.000 -0.078
0.450 0.495 16.637 24.116 0.026 8.859 2.000 10.000 0.004
0.450 0.495 24.116 33.274 0.043 8.859 2.000 10.000 -0.013
0.450 0.495 33.274 45.756 0.043 100.000 1.000 20.000 -0.001
0.450 0.495 45.756 60.522 0.026 14.384 4.000 30.000 -0.059
0.450 0.495 60.522 80.956 0.043 100.000 2.000 30.000 0.001
0.450 0.495 80.956 122.822 0.043 23.357 4.000 60.000 0.000
0.450 0.495 122.822 201.053 0.026 14.384 9.000 100.000 0.016
0.450 0.495 201.053 272.774 0.043 100.000 4.000 100.000 0.001
0.450 0.495 272.774 350.804 0.043 8.859 30.000 200.000 0.004
0.450 0.495 350.804 447.456 0.043 14.384 30.000 200.000 0.012
0.450 0.495 447.456 561.647 0.026 14.384 40.000 200.000 0.000
0.450 0.495 561.647 719.444 0.043 23.357 40.000 400.000 0.011
0.450 0.495 719.444 1005.749 0.043 37.927 50.000 500.000 0.005
0.450 0.495 1005.749 1648.888 0.043 23.357 70.000 900.000 0.009
0.450 0.495 1648.888 2326.778 0.043 37.927 70.000 1000.000 0.006
0.450 0.495 2326.778 3054.588 0.026 14.384 200.000 1000.000 0.006
0.450 0.495 3054.588 3947.057 0.043 14.384 200.000 1000.000 0.001
0.450 0.495 3947.057 4999.954 0.026 37.927 200.000 1000.000 0.003
0.495 0.535 1.719 9.184 0.043 8.859 1.000 4.000 -0.075
0.495 0.535 9.184 16.080 0.043 14.384 1.000 9.000 0.032
0.495 0.535 16.080 23.207 0.070 8.859 2.000 10.000 -0.003
0.495 0.535 23.207 32.608 0.043 14.384 2.000 10.000 0.006
0.495 0.535 32.608 46.562 0.043 14.384 2.000 20.000 -0.001
0.495 0.535 46.562 66.215 0.043 14.384 4.000 30.000 0.008
0.495 0.535 66.215 98.245 0.043 14.384 6.000 50.000 0.005
0.495 0.535 98.245 183.224 0.043 8.859 8.000 90.000 0.007
0.495 0.535 183.224 259.907 0.043 14.384 20.000 100.000 0.017
0.495 0.535 259.907 337.727 0.043 14.384 20.000 100.000 -0.001
0.495 0.535 337.727 423.290 0.043 8.859 30.000 200.000 -0.005
0.495 0.535 423.290 522.235 0.043 8.859 30.000 200.000 0.010
0.495 0.535 522.235 643.035 0.043 23.357 40.000 300.000 0.008
0.495 0.535 643.035 808.512 0.043 23.357 40.000 400.000 0.008
0.495 0.535 808.512 1199.351 0.043 23.357 50.000 600.000 0.007
0.495 0.535 1199.351 1830.973 0.043 23.357 60.000 900.000 -0.005
0.495 0.535 1830.973 2488.161 0.043 8.859 200.000 1000.000 0.003
0.495 0.535 2488.161 3193.542 0.043 37.927 100.000 1000.000 -0.001
0.495 0.535 3193.542 4028.770 0.070 8.859 300.000 1000.000 0.003
0.495 0.535 4028.770 4999.882 0.043 14.384 300.000 1000.000 -0.012
0.535 0.572 1.749 9.180 0.043 5.456 1.000 4.000 -0.087
0.535 0.572 9.180 15.997 0.070 14.384 1.000 8.000 0.004
0.535 0.572 15.997 22.843 0.043 14.384 1.000 10.000 -0.002
0.535 0.572 22.843 32.493 0.070 14.384 2.000 10.000 0.010
0.535 0.572 32.493 48.002 0.043 23.357 2.000 20.000 0.007
0.535 0.572 48.002 71.296 0.043 14.384 3.000 30.000 -0.004
0.535 0.572 71.296 133.024 0.043 37.927 4.000 70.000 0.010
0.535 0.572 133.024 228.428 0.043 100.000 4.000 100.000 0.004
0.535 0.572 228.428 310.373 0.043 8.859 20.000 100.000 0.008
0.535 0.572 310.373 386.934 0.070 14.384 30.000 200.000 -0.002
0.535 0.572 386.934 471.430 0.043 8.859 30.000 200.000 0.008
0.535 0.572 471.430 568.039 0.043 14.384 40.000 200.000 0.001
0.535 0.572 568.039 687.001 0.026 14.384 40.000 300.000 0.005
0.535 0.572 687.001 857.702 0.043 14.384 50.000 400.000 -0.003
0.535 0.572 857.702 1336.082 0.043 37.927 50.000 600.000 -0.000
0.535 0.572 1336.082 1951.718 0.070 23.357 90.000 1000.000 0.018
0.535 0.572 1951.718 2606.033 0.070 8.859 200.000 1000.000 0.002
0.535 0.572 2606.033 3325.925 0.043 14.384 200.000 1000.000 0.002
0.535 0.572 3325.925 4109.893 0.043 100.000 60.000 1000.000 0.000
0.535 0.572 4109.893 4999.966 0.043 23.357 300.000 1000.000 0.001
0.572 0.610 1.779 9.135 0.043 8.859 1.000 4.000 0.034
0.572 0.610 9.135 16.106 0.043 8.859 1.000 8.000 -0.001
0.572 0.610 16.106 22.943 0.070 14.384 1.000 10.000 0.004
0.572 0.610 22.943 32.084 0.043 14.384 2.000 10.000 0.001
0.572 0.610 32.084 48.795 0.043 14.384 3.000 20.000 -0.002
0.572 0.610 48.795 78.233 0.043 14.384 4.000 30.000 -0.001
0.572 0.610 78.233 176.596 0.043 8.859 7.000 90.000 0.007
0.572 0.610 176.596 273.796 0.043 8.859 20.000 100.000 0.011
0.572 0.610 273.796 350.429 0.043 8.859 30.000 100.000 0.006
0.572 0.610 350.429 426.479 0.043 8.859 30.000 200.000 0.002
0.572 0.610 426.479 508.629 0.043 8.859 40.000 200.000 0.006
0.572 0.610 508.629 605.859 0.070 8.859 40.000 300.000 0.005
0.572 0.610 605.859 720.120 0.070 14.384 40.000 300.000 0.005
0.572 0.610 720.120 904.277 0.070 14.384 50.000 400.000 0.000
0.572 0.610 904.277 1482.910 0.070 23.357 80.000 700.000 0.008
0.572 0.610 1482.910 2066.077 0.070 23.357 70.000 900.000 0.003
0.572 0.610 2066.077 2726.587 0.070 8.859 200.000 1000.000 0.004
0.572 0.610 2726.587 3437.421 0.043 61.585 70.000 1000.000 0.002
0.572 0.610 3437.421 4188.157 0.070 14.384 300.000 1000.000 0.004
0.572 0.610 4188.157 4999.755 0.070 14.384 300.000 1000.000 0.009
0.610 0.652 1.753 9.151 0.070 5.456 1.000 4.000 -0.144
0.610 0.652 9.151 16.192 0.070 8.859 1.000 7.000 0.032
0.610 0.652 16.192 23.109 0.070 14.384 1.000 10.000 0.012
0.610 0.652 23.109 32.062 0.070 8.859 2.000 10.000 0.004
0.610 0.652 32.062 48.706 0.043 8.859 3.000 20.000 0.003
0.610 0.652 48.706 85.752 0.043 37.927 3.000 40.000 0.005
0.610 0.652 85.752 213.665 0.043 8.859 6.000 100.000 0.000
0.610 0.652 213.665 305.003 0.070 8.859 20.000 100.000 -0.032
0.610 0.652 305.003 376.364 0.070 8.859 30.000 200.000 -0.004
0.610 0.652 376.364 449.166 0.070 8.859 30.000 200.000 0.007
0.610 0.652 449.166 531.271 0.043 8.859 40.000 200.000 0.004
0.610 0.652 531.271 624.040 0.070 14.384 40.000 300.000 0.003
0.610 0.652 624.040 738.228 0.070 8.859 50.000 300.000 -0.002
0.610 0.652 738.228 922.519 0.043 14.384 60.000 400.000 0.006
0.610 0.652 922.519 1549.727 0.043 23.357 50.000 700.000 0.001
0.610 0.652 1549.727 2144.778 0.043 14.384 100.000 900.000 0.002
0.610 0.652 2144.778 2800.340 0.070 14.384 200.000 1000.000 0.008
0.610 0.652 2800.340 3472.696 0.043 14.384 200.000 1000.000 0.006
0.610 0.652 3472.696 4198.866 0.070 8.859 300.000 1000.000 0.001
0.610 0.652 4198.866 4999.985 0.043 14.384 300.000 1000.000 0.002
0.652 0.707 1.792 9.156 0.043 8.859 1.000 4.000 -0.011
0.652 0.707 9.156 16.218 0.070 8.859 1.000 7.000 -0.001
0.652 0.707 16.218 23.027 0.070 8.859 2.000 10.000 0.001
0.652 0.707 23.027 31.364 0.070 8.859 2.000 9.000 0.003
0.652 0.707 31.364 48.321 0.043 37.927 2.000 20.000 0.009
0.652 0.707 48.321 98.495 0.043 14.384 4.000 40.000 0.001
0.652 0.707 98.495 248.480 0.043 37.927 3.000 100.000 0.004
0.652 0.707 248.480 331.097 0.070 8.859 20.000 100.000 0.006
0.652 0.707 331.097 398.920 0.070 8.859 30.000 100.000 0.002
0.652 0.707 398.920 471.442 0.070 14.384 40.000 200.000 -0.001
0.652 0.707 471.442 552.188 0.070 8.859 40.000 200.000 0.006
0.652 0.707 552.188 643.165 0.070 14.384 50.000 200.000 0.007
