Ice-Agg collection for the random orientation.
Mean value taken from the average across 300 aggregates.
Major axis taken as the largest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.424 0.441 52.479 68.586 0.010 100.000 1.000 30.000 86.735
0.424 0.441 68.871 89.517 0.010 100.000 1.000 30.000 110.597
0.424 0.441 89.755 119.639 0.010 100.000 1.000 50.000 148.086
0.424 0.441 120.019 164.336 0.010 100.000 2.000 70.000 199.484
0.424 0.441 164.655 224.379 0.010 100.000 2.000 90.000 286.479
0.424 0.441 224.691 303.411 0.010 100.000 2.000 100.000 386.988
0.424 0.441 303.675 402.457 0.010 100.000 3.000 100.000 503.461
0.424 0.441 403.126 519.111 0.010 100.000 5.000 200.000 662.433
0.424 0.441 520.377 666.738 0.010 100.000 5.000 200.000 850.439
0.424 0.441 667.181 857.760 0.010 100.000 7.000 300.000 1067.195
0.424 0.441 857.840 1136.854 0.010 100.000 9.000 400.000 1390.961
0.424 0.441 1137.586 1537.119 0.010 100.000 20.000 600.000 1907.470
0.424 0.441 1542.564 2103.480 0.010 100.000 20.000 700.000 2651.515
0.424 0.441 2114.464 2876.303 0.010 100.000 20.000 1000.000 3635.373
0.424 0.441 2880.160 3834.263 0.010 100.000 30.000 1000.000 4861.471
0.424 0.441 3855.693 4999.428 0.010 100.000 40.000 1000.000 6366.326
0.441 0.458 2.365 15.570 0.010 37.927 1.000 6.000 16.020
0.441 0.458 15.654 26.585 0.010 37.927 1.000 10.000 32.315
0.441 0.458 26.627 38.594 0.010 61.585 1.000 10.000 48.442
0.441 0.457 38.669 52.287 0.010 100.000 1.000 20.000 65.158
0.441 0.458 52.410 68.548 0.010 100.000 1.000 30.000 86.843
0.441 0.458 68.647 88.986 0.010 100.000 1.000 30.000 108.507
0.441 0.458 89.100 118.657 0.010 100.000 1.000 50.000 146.023
0.441 0.458 118.921 162.075 0.010 100.000 2.000 70.000 196.852
0.441 0.457 162.449 223.201 0.010 100.000 2.000 90.000 271.590
0.441 0.458 223.848 303.898 0.010 100.000 2.000 100.000 374.298
0.441 0.458 304.371 404.994 0.010 100.000 4.000 100.000 505.498
0.441 0.458 405.547 523.878 0.010 100.000 4.000 200.000 659.769
0.441 0.458 524.236 669.717 0.010 100.000 5.000 200.000 845.941
0.441 0.458 669.951 857.368 0.010 100.000 7.000 300.000 1061.788
0.441 0.458 857.773 1126.432 0.010 100.000 8.000 400.000 1344.467
0.441 0.458 1129.007 1538.182 0.010 100.000 9.000 600.000 1896.900
0.441 0.458 1541.011 2114.052 0.010 100.000 20.000 900.000 2576.372
0.441 0.458 2114.647 2865.767 0.010 100.000 20.000 1000.000 3589.182
0.441 0.458 2874.012 3831.796 0.010 100.000 40.000 1000.000 4817.040
0.441 0.458 3834.485 4995.572 0.010 100.000 40.000 1000.000 6131.660
0.458 0.474 2.363 15.810 0.010 23.357 1.000 7.000 15.372
0.458 0.474 15.912 26.651 0.010 100.000 1.000 10.000 31.348
0.458 0.474 26.685 38.900 0.010 61.585 1.000 10.000 48.026
0.458 0.474 38.922 52.499 0.010 100.000 1.000 20.000 65.764
0.458 0.474 52.613 68.330 0.010 100.000 1.000 20.000 85.447
0.458 0.474 68.461 88.632 0.010 100.000 1.000 30.000 107.905
0.458 0.474 88.700 117.234 0.010 100.000 1.000 50.000 142.410
0.458 0.474 117.288 159.891 0.010 100.000 2.000 60.000 191.875
0.458 0.474 160.432 220.486 0.010 100.000 2.000 90.000 273.736
0.458 0.474 220.952 299.351 0.010 100.000 3.000 100.000 374.936
0.458 0.474 300.690 402.447 0.010 100.000 3.000 100.000 495.882
0.458 0.474 403.572 520.639 0.010 100.000 4.000 200.000 650.267
0.458 0.474 521.537 665.681 0.010 100.000 5.000 200.000 820.762
0.458 0.474 666.320 850.541 0.010 100.000 7.000 300.000 1052.591
