Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.039 0.054 1.724 12.512 0.010 61.585 1.000 7.000 23.318
0.039 0.054 12.558 20.597 0.010 100.000 1.000 10.000 42.667
0.039 0.054 20.661 31.061 0.010 100.000 1.000 10.000 68.416
0.039 0.054 31.118 42.890 0.010 100.000 1.000 20.000 99.165
0.039 0.054 42.986 57.882 0.010 100.000 2.000 30.000 132.016
0.039 0.054 57.996 77.460 0.010 100.000 3.000 40.000 180.296
0.039 0.054 77.531 103.892 0.010 100.000 4.000 60.000 231.955
0.039 0.054 103.946 137.264 0.010 100.000 4.000 80.000 271.955
0.039 0.054 137.395 180.081 0.010 100.000 5.000 100.000 433.489
0.039 0.054 180.523 255.835 0.010 100.000 7.000 100.000 586.674
0.039 0.054 256.071 357.240 0.010 100.000 9.000 200.000 842.094
0.039 0.054 357.425 468.530 0.010 100.000 20.000 300.000 920.354
0.039 0.054 469.861 609.875 0.010 100.000 20.000 300.000 1559.045
0.039 0.054 611.607 796.137 0.010 100.000 30.000 400.000 1981.452
0.039 0.054 796.336 1059.303 0.010 100.000 30.000 600.000 2126.790
0.039 0.054 1063.999 1408.428 0.010 100.000 50.000 700.000 3247.816
0.039 0.054 1409.996 1866.158 0.010 100.000 60.000 1000.000 3688.688
0.039 0.054 1867.751 2696.432 0.010 100.000 50.000 1000.000 6162.535
0.039 0.054 2702.198 3762.816 0.010 100.000 100.000 1000.000 8604.050
0.039 0.054 3773.154 4995.725 0.010 100.000 200.000 1000.000 9984.387
0.054 0.072 1.663 12.095 0.010 37.927 1.000 7.000 19.381
0.054 0.072 12.215 20.314 0.010 61.585 1.000 10.000 39.906
0.054 0.072 20.355 30.117 0.010 100.000 1.000 10.000 57.504
0.054 0.072 30.231 40.445 0.010 100.000 2.000 20.000 84.572
0.054 0.072 40.467 52.668 0.010 100.000 2.000 20.000 115.325
0.054 0.072 53.093 67.760 0.010 61.585 3.000 30.000 143.816
0.054 0.072 67.906 88.175 0.010 100.000 3.000 50.000 183.242
0.054 0.072 88.247 122.029 0.010 100.000 4.000 70.000 245.514
0.054 0.072 122.170 166.142 0.010 100.000 6.000 90.000 297.425
0.054 0.072 166.253 243.811 0.010 100.000 8.000 100.000 407.691
0.054 0.072 244.287 341.064 0.010 100.000 9.000 200.000 599.360
0.054 0.072 342.394 441.862 0.010 61.585 20.000 200.000 821.228
0.054 0.072 442.907 567.588 0.010 100.000 20.000 300.000 1235.824
0.054 0.072 567.595 728.267 0.010 61.585 30.000 400.000 1361.486
0.054 0.072 729.901 992.716 0.010 61.585 40.000 500.000 1750.704
0.054 0.072 994.352 1385.462 0.010 100.000 40.000 700.000 3011.669
0.054 0.072 1387.905 1940.019 0.010 100.000 60.000 1000.000 3342.811
0.054 0.072 1943.488 2844.304 0.010 100.000 60.000 1000.000 6214.337
0.054 0.072 2850.376 3819.642 0.010 61.585 200.000 1000.000 8083.817
