Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.100 0.127 90.133 106.729 0.010 61.585 2.000 60.000 178.187
0.100 0.127 106.729 127.039 0.010 37.927 5.000 70.000 230.528
0.100 0.127 127.039 157.232 0.010 37.927 7.000 90.000 288.966
0.100 0.127 157.232 242.633 0.010 37.927 8.000 100.000 398.258
0.100 0.127 242.633 314.032 0.010 37.927 20.000 100.000 494.773
0.100 0.127 314.032 407.121 0.010 37.927 20.000 200.000 643.902
0.100 0.127 407.121 515.694 0.010 37.927 30.000 200.000 1007.079
0.100 0.127 515.694 700.781 0.010 37.927 30.000 300.000 1091.107
0.100 0.127 700.781 992.072 0.010 100.000 40.000 500.000 1883.820
0.100 0.127 992.072 1528.877 0.010 100.000 40.000 700.000 2679.779
0.100 0.127 1528.877 2473.250 0.010 61.585 60.000 1000.000 3868.215
0.100 0.127 2473.250 3604.534 0.010 61.585 90.000 1000.000 6021.559
0.100 0.127 3604.534 4999.957 0.010 100.000 100.000 1000.000 8751.539
0.127 0.157 1.550 13.707 0.010 37.927 1.000 7.000 16.879
0.127 0.157 13.707 24.907 0.010 37.927 1.000 10.000 33.658
0.127 0.157 24.907 37.230 0.010 37.927 2.000 20.000 57.744
0.127 0.157 37.230 50.752 0.010 37.927 2.000 20.000 82.713
0.127 0.157 50.752 62.500 0.010 37.927 3.000 30.000 106.233
0.127 0.157 62.500 73.135 0.010 100.000 2.000 40.000 112.691
0.127 0.157 73.135 84.885 0.010 100.000 2.000 40.000 145.877
0.127 0.157 84.885 98.536 0.016 100.000 3.000 50.000 180.945
0.127 0.157 98.536 115.844 0.016 37.927 6.000 50.000 180.966
0.127 0.157 115.844 144.450 0.016 37.927 6.000 80.000 212.727
0.127 0.157 144.450 218.872 0.010 100.000 4.000 100.000 269.563
0.127 0.157 218.872 289.107 0.010 37.927 20.000 100.000 509.406
0.127 0.157 289.107 370.769 0.010 37.927 20.000 200.000 667.491
