Agg-Agg collection for the random orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.557 0.576 836.908 1454.607 109.625
0.557 0.576 1458.550 2797.074 161.552
0.557 0.576 2801.819 4992.090 227.858
0.576 0.598 2.077 28.391 288.277
0.576 0.598 28.404 54.238 397.807
0.576 0.598 54.631 88.161 503.579
0.576 0.598 88.265 156.888 675.941
0.576 0.598 156.947 303.817 862.869
0.576 0.598 303.938 529.861 1161.906
0.576 0.598 531.000 842.079 1546.530
0.576 0.598 843.579 1460.468 2005.919
0.576 0.598 1460.844 2813.471 2866.343
0.576 0.598 2817.270 4998.731 3835.500
0.598 0.623 2.314 28.592 9.130
0.598 0.623 28.795 54.493 18.066
0.598 0.623 54.657 87.433 29.302
0.598 0.623 87.488 155.796 36.897
0.598 0.623 156.299 300.530 51.565
0.598 0.623 300.736 524.040 67.217
0.598 0.623 525.880 828.133 85.408
0.598 0.623 829.098 1431.380 116.378
0.598 0.623 1433.717 2820.664 161.547
0.598 0.623 2822.055 4997.134 221.213
0.623 0.655 2.073 29.050 297.410
0.623 0.654 29.194 55.148 401.326
0.623 0.655 55.180 87.213 479.570
0.623 0.655 87.303 154.751 636.219
0.623 0.655 155.061 305.796 803.743
0.623 0.655 306.067 530.747 1119.225
0.623 0.655 532.196 837.543 1454.543
0.623 0.655 839.144 1444.626 2073.986
0.623 0.655 1450.249 2833.042 2685.844
0.623 0.655 2834.965 4997.337 3779.653
0.655 0.701 2.089 29.310 9.027
0.655 0.701 29.372 54.823 18.429
0.655 0.701 54.929 87.094 28.175
0.655 0.701 87.222 155.684 37.171
0.655 0.701 157.225 307.491 52.954
0.655 0.701 307.960 533.165 67.059
0.655 0.701 534.480 828.986 86.197
0.655 0.701 830.874 1421.064 118.338
0.655 0.701 1424.767 2823.606 153.032
0.655 0.701 2826.614 4998.601 220.288
0.701 0.913 2.587 29.467 295.895
0.701 0.924 29.482 54.682 411.626
0.701 0.937 54.695 86.349 503.476
0.701 0.895 86.494 153.399 646.541
