Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.498 0.538 3200.867 4998.494 51.149
0.538 0.576 2.153 15.947 73.200
0.538 0.575 16.005 32.452 101.709
0.538 0.576 32.588 71.982 133.891
0.538 0.576 72.337 232.765 182.628
0.538 0.576 233.325 390.655 244.827
0.538 0.576 391.537 570.741 313.966
0.538 0.576 571.703 861.579 510.434
0.538 0.575 862.035 1964.666 858.127
0.538 0.576 1967.076 3338.334 1286.023
0.538 0.576 3344.844 4999.162 1953.450
0.576 0.613 2.051 16.117 4.527
0.576 0.613 16.147 32.057 9.422
0.576 0.613 32.131 78.370 15.708
0.576 0.613 78.537 275.850 20.350
0.576 0.613 276.416 428.533 24.756
0.576 0.613 429.248 607.684 30.328
0.576 0.613 608.065 906.515 35.314
0.576 0.613 907.821 2076.535 37.798
0.576 0.613 2079.750 3439.069 45.105
0.576 0.613 3444.624 4996.635 55.237
0.614 0.655 2.200 16.143 83.240
0.614 0.655 16.200 32.103 108.067
0.614 0.655 32.135 87.359 155.223
0.614 0.655 87.462 307.635 190.630
0.614 0.655 308.127 451.112 258.564
0.613 0.655 451.596 626.235 358.478
0.614 0.655 627.317 926.765 580.375
0.614 0.655 930.049 2143.083 977.619
0.614 0.655 2151.680 3477.592 1506.448
0.614 0.655 3480.449 4999.624 2032.992
0.655 0.710 2.038 16.233 5.036
0.655 0.710 16.267 31.291 12.494
0.655 0.709 31.313 98.038 18.175
0.655 0.709 98.258 331.396 23.169
0.655 0.710 331.884 471.544 27.634
0.655 0.710 472.295 643.359 30.904
0.655 0.710 643.412 948.207 36.188
0.655 0.709 949.548 2221.491 45.068
0.655 0.710 2224.559 3541.177 50.080
0.656 0.710 3545.756 4999.531 60.874
0.710 0.931 1.773 15.982 91.436
0.710 0.916 16.021 29.976 131.607
0.710 0.918 30.128 118.494 175.198
