Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.441 0.457 15.603 26.597 40.356 
0.441 0.457 26.597 38.567 63.794 
0.441 0.457 38.567 52.348 89.076 
0.441 0.457 52.348 68.617 113.906 
0.441 0.457 68.617 88.968 150.634 
0.441 0.457 88.968 118.724 181.981 
0.441 0.457 118.724 162.375 264.054 
0.441 0.457 162.375 223.601 364.330 
0.441 0.457 223.601 304.133 500.043 
0.441 0.457 304.133 404.692 666.031 
0.441 0.457 404.692 524.039 873.007 
0.441 0.457 524.039 670.243 1130.373 
0.441 0.457 670.243 858.085 1483.179 
0.441 0.457 858.085 1128.769 1954.472 
0.441 0.457 1128.769 1541.200 2522.816 
0.441 0.457 1541.200 2114.324 3652.515 
0.441 0.457 2114.324 2871.485 4485.724 
0.441 0.457 2871.485 3835.182 6324.489 
0.441 0.457 3835.182 4999.915 8308.089 
0.457 0.473 2.065 15.823 18.426 
0.457 0.473 15.823 26.658 40.714 
0.457 0.473 26.658 38.879 58.866 
0.457 0.473 38.879 52.501 90.546 
0.457 0.473 52.501 68.327 119.453 
0.457 0.473 68.327 88.614 149.379 
0.457 0.473 88.614 117.263 190.224 
0.457 0.473 117.263 160.078 256.371 
0.457 0.473 160.078 220.967 376.410 
0.457 0.473 220.967 299.748 507.179 
0.457 0.473 299.748 403.075 703.828 
0.457 0.473 403.075 520.772 878.688 
0.457 0.473 520.772 665.458 1122.076 
0.457 0.473 665.458 850.521 1457.325 
0.457 0.473 850.521 1111.418 1824.026 
0.457 0.473 1111.418 1520.858 2448.597 
0.457 0.473 1520.858 2083.577 3389.233 
0.457 0.473 2083.577 2865.357 4611.398 
0.457 0.473 2865.357 3822.818 6376.236 
0.457 0.473 3822.818 4999.951 8431.706 
0.473 0.489 2.128 15.734 19.032 
0.473 0.489 15.734 26.499 41.018 
0.473 0.489 26.499 39.000 62.052 
0.473 0.489 39.000 52.782 87.356 
0.473 0.489 52.782 68.854 113.934 
0.473 0.489 68.854 88.258 148.645 
0.473 0.489 88.258 115.900 198.772 
0.473 0.489 115.900 158.736 244.076 
0.473 0.489 158.736 217.855 353.090 
0.473 0.489 217.855 298.485 474.380 
0.473 0.489 298.485 399.766 671.492 
0.473 0.489 399.766 518.525 861.548 
0.473 0.489 518.525 662.692 1157.359 
0.473 0.489 662.692 840.755 1391.275 
0.473 0.489 840.755 1097.569 1785.501 
0.473 0.489 1097.569 1494.319 2368.240 
0.473 0.489 1494.319 2050.646 3502.771 
0.473 0.489 2050.646 2814.843 4602.917 
0.473 0.489 2814.843 3804.285 6094.373 
0.473 0.489 3804.285 4999.515 8205.917 
0.489 0.505 2.133 15.601 18.339 
0.489 0.505 15.601 26.631 39.264 
0.489 0.505 26.631 39.064 63.688 
0.489 0.505 39.064 52.671 85.637 
0.489 0.505 52.671 68.569 115.396 
0.489 0.505 68.569 88.110 147.079 
0.489 0.505 88.110 115.670 188.730 
0.489 0.505 115.670 158.121 255.241 
0.489 0.505 158.121 216.661 368.960 
0.489 0.505 216.661 298.244 476.348 
0.489 0.505 298.244 401.098 661.095 
0.489 0.505 401.098 520.265 917.391 
0.489 0.505 520.265 664.727 1160.203 
0.489 0.505 664.727 845.402 1416.625 
0.489 0.505 845.402 1109.888 1850.245 
0.489 0.505 1109.888 1512.244 2379.384 
0.489 0.505 1512.244 2067.710 3518.959 
0.489 0.505 2067.710 2816.416 4593.060 
0.489 0.505 2816.416 3795.783 6113.099 
0.489 0.505 3795.783 4999.953 8094.239 
0.505 0.521 2.068 15.835 19.501 
0.505 0.521 15.835 26.585 39.438 
0.505 0.521 26.585 39.090 60.472 
0.505 0.521 39.090 52.800 87.228 
0.505 0.521 52.800 68.596 118.553 
0.505 0.521 68.596 87.730 143.828 
0.505 0.521 87.730 113.886 185.250 
0.505 0.521 113.886 155.714 250.696 
0.505 0.521 155.714 215.604 344.864 
0.505 0.521 215.604 297.321 479.852 
0.505 0.521 297.321 404.333 645.855 
0.505 0.521 404.333 525.386 917.213 
0.505 0.521 525.386 666.415 1140.582 
0.505 0.521 666.415 844.112 1403.045 
0.505 0.521 844.112 1100.703 1904.943 
0.505 0.521 1100.703 1490.122 2401.432 
0.505 0.521 1490.122 2045.064 3513.971 
0.505 0.521 2045.064 2804.524 4383.021 
0.505 0.521 2804.524 3820.658 6514.607 
0.505 0.521 3820.658 4999.709 8784.312 
0.521 0.538 2.011 15.784 19.822 
0.521 0.538 15.784 26.827 38.871 
0.521 0.538 26.827 39.060 61.218 
0.521 0.538 39.060 52.576 89.699 
0.521 0.538 52.576 68.224 117.745 
0.521 0.538 68.224 87.160 141.390 
0.521 0.538 87.160 114.282 189.884 
0.521 0.538 114.282 155.163 254.391 
0.521 0.538 155.163 213.714 333.338 
0.521 0.538 213.714 296.611 483.633 
0.521 0.538 296.611 402.073 643.365 
0.521 0.538 402.073 520.124 842.353 
0.521 0.538 520.124 660.516 1132.447 
0.521 0.538 660.516 837.053 1375.051 
0.521 0.538 837.053 1085.873 1778.282 
0.521 0.538 1085.873 1479.356 2368.338 
0.521 0.538 1479.356 2027.642 3189.785 
0.521 0.538 2027.642 2800.954 4467.450 
0.521 0.538 2800.954 3824.158 6507.062 
0.521 0.538 3824.158 4999.731 8692.040 
0.538 0.556 1.959 16.035 18.504 
0.538 0.556 16.035 27.261 40.242 
0.538 0.556 27.261 39.707 61.448 
0.538 0.556 39.707 53.309 90.990 
0.538 0.556 53.309 68.910 112.796 
0.538 0.556 68.910 87.528 142.454 
0.538 0.556 87.528 113.734 185.566 
0.538 0.556 113.734 154.443 266.182 
0.538 0.556 154.443 210.985 326.965 
0.538 0.556 210.985 296.495 496.026 
0.538 0.556 296.495 401.600 678.809 
0.538 0.556 401.600 521.571 859.002 
0.538 0.556 521.571 661.582 1175.119 
0.538 0.556 661.582 833.752 1434.399 
0.538 0.556 833.752 1081.348 1783.586 
0.538 0.556 1081.348 1468.501 2359.089 
0.538 0.556 1468.501 2015.895 3290.594 
0.538 0.556 2015.895 2794.352 4514.283 
0.538 0.556 2794.352 3825.022 6183.249 
0.538 0.556 3825.022 4999.915 8073.219 
0.556 0.576 2.057 16.235 19.843 
0.556 0.576 16.235 27.663 40.381 
0.556 0.576 27.663 40.170 65.058 
0.556 0.576 40.170 53.725 88.767 
0.556 0.576 53.725 69.260 120.406 
0.556 0.576 69.260 88.182 145.057 
0.556 0.576 88.182 114.177 197.467 
