Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.498 0.538 1838.222 3197.629 210.863
0.498 0.538 3200.867 4998.494 240.947
0.538 0.576 2.153 15.947 336.021
0.538 0.575 16.005 32.452 520.651
0.538 0.576 32.588 71.982 650.053
0.538 0.576 72.337 232.765 814.099
0.538 0.576 233.325 390.655 1099.348
0.538 0.576 391.537 570.741 1668.175
0.538 0.576 571.703 861.579 2405.836
0.538 0.575 862.035 1964.666 4141.174
0.538 0.576 1967.076 3338.334 6512.075
0.538 0.576 3344.844 4999.162 9245.245
0.576 0.613 2.051 16.117 20.688
0.576 0.613 16.147 32.057 41.828
0.576 0.613 32.131 78.370 62.683
0.576 0.613 78.537 275.850 80.014
0.576 0.613 276.416 428.533 96.487
0.576 0.613 429.248 607.684 113.172
0.576 0.613 608.065 906.515 130.574
0.576 0.613 907.821 2076.535 150.488
0.576 0.613 2079.750 3439.069 171.437
0.576 0.613 3444.624 4996.635 214.506
0.614 0.655 2.200 16.143 291.340
0.614 0.655 16.200 32.103 443.539
0.614 0.655 32.135 87.359 595.515
0.614 0.655 87.462 307.635 740.518
0.614 0.655 308.127 451.112 1007.493
0.613 0.655 451.596 626.235 1484.213
0.614 0.655 627.317 926.765 2095.411
0.614 0.655 930.049 2143.083 3785.799
0.614 0.655 2151.680 3477.592 6103.573
0.614 0.655 3480.449 4999.624 8175.941
0.655 0.710 2.038 16.233 19.488
0.655 0.710 16.267 31.291 38.219
0.655 0.709 31.313 98.038 54.054
0.655 0.709 98.258 331.396 67.985
0.655 0.710 331.884 471.544 82.779
0.655 0.710 472.295 643.359 98.011
0.655 0.710 643.412 948.207 113.708
0.655 0.709 949.548 2221.491 136.598
0.655 0.710 2224.559 3541.177 153.009
0.656 0.710 3545.756 4999.531 184.880
0.710 0.931 1.773 15.982 252.401
0.710 0.916 16.021 29.976 385.050
0.710 0.918 30.128 118.494 497.813
