Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.157 0.193 136.578 202.737 73.200
0.157 0.193 202.737 271.282 101.709
0.157 0.193 271.282 350.691 133.891
0.157 0.193 350.691 456.889 182.628
0.157 0.193 456.889 626.799 244.827
0.157 0.193 626.799 881.944 313.966
0.157 0.193 881.944 1419.254 510.434
0.157 0.193 1419.254 2410.981 858.127
0.157 0.193 2410.981 3580.875 1286.023
0.157 0.193 3580.875 4999.942 1953.450
0.193 0.235 1.608 13.779 4.527
0.193 0.235 13.779 24.971 9.422
0.193 0.235 24.971 35.690 15.708
0.193 0.235 35.690 45.330 20.350
0.193 0.235 45.330 54.191 24.756
0.193 0.235 54.191 62.771 30.328
0.193 0.235 62.771 72.178 35.314
0.193 0.235 72.178 84.255 37.798
0.193 0.235 84.255 100.419 45.105
0.193 0.235 100.419 127.835 55.237
0.193 0.235 127.835 185.905 83.240
0.193 0.235 185.905 254.682 108.067
0.193 0.235 254.682 335.901 155.223
0.193 0.235 335.901 444.412 190.630
0.193 0.235 444.412 611.322 258.564
0.193 0.235 611.322 860.143 358.478
0.193 0.235 860.143 1390.128 580.375
0.193 0.235 1390.128 2388.861 977.619
0.193 0.235 2388.861 3552.538 1506.448
0.193 0.235 3552.538 4999.933 2032.992
0.235 0.284 1.584 13.817 5.036
0.235 0.284 13.817 24.504 12.494
0.235 0.284 24.504 33.567 18.175
0.235 0.284 33.567 41.863 23.169
0.235 0.284 41.863 50.094 27.634
0.235 0.284 50.094 58.660 30.904
0.235 0.284 58.660 67.886 36.188
0.235 0.284 67.886 79.469 45.068
0.235 0.284 79.469 95.017 50.080
0.235 0.284 95.017 120.764 60.874
0.235 0.284 120.764 174.459 91.436
0.235 0.284 174.459 240.497 131.607
0.235 0.284 240.497 323.967 175.198
0.235 0.284 323.967 431.398 222.999
0.235 0.284 431.398 597.724 318.723
0.235 0.284 597.724 843.095 429.962
0.235 0.284 843.095 1396.535 640.026
0.235 0.284 1396.535 2413.788 1126.724
0.235 0.284 2413.788 3567.482 1759.505
0.235 0.284 3567.482 4999.758 2324.781
0.284 0.340 1.709 12.944 5.840
0.284 0.340 12.944 22.779 12.538
0.284 0.340 22.779 30.889 18.678
0.284 0.340 30.889 38.678 24.556
