Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.157 0.193 13.698 24.672 40.693 
0.157 0.193 24.672 36.820 65.882 
0.157 0.193 36.820 48.021 88.964 
0.157 0.193 48.021 58.070 107.208 
0.157 0.193 58.070 67.627 129.713 
0.157 0.193 67.627 77.956 151.325 
0.157 0.193 77.956 90.228 170.850 
0.157 0.193 90.228 107.594 210.863 
0.157 0.193 107.594 136.578 240.947 
0.157 0.193 136.578 202.737 336.021 
0.157 0.193 202.737 271.282 520.651 
0.157 0.193 271.282 350.691 650.053 
0.157 0.193 350.691 456.889 814.099 
0.157 0.193 456.889 626.799 1099.348 
0.157 0.193 626.799 881.944 1668.175 
0.157 0.193 881.944 1419.254 2405.836 
0.157 0.193 1419.254 2410.981 4141.174 
0.157 0.193 2410.981 3580.875 6512.075 
0.157 0.193 3580.875 4999.942 9245.245 
0.193 0.235 1.608 13.779 20.688 
0.193 0.235 13.779 24.971 41.828 
0.193 0.235 24.971 35.690 62.683 
0.193 0.235 35.690 45.330 80.014 
0.193 0.235 45.330 54.191 96.487 
0.193 0.235 54.191 62.771 113.172 
0.193 0.235 62.771 72.178 130.574 
0.193 0.235 72.178 84.255 150.488 
0.193 0.235 84.255 100.419 171.437 
0.193 0.235 100.419 127.835 214.506 
0.193 0.235 127.835 185.905 291.340 
0.193 0.235 185.905 254.682 443.539 
0.193 0.235 254.682 335.901 595.515 
0.193 0.235 335.901 444.412 740.518 
0.193 0.235 444.412 611.322 1007.493 
0.193 0.235 611.322 860.143 1484.213 
0.193 0.235 860.143 1390.128 2095.411 
0.193 0.235 1390.128 2388.861 3785.799 
0.193 0.235 2388.861 3552.538 6103.573 
0.193 0.235 3552.538 4999.933 8175.941 
0.235 0.284 1.584 13.817 19.488 
0.235 0.284 13.817 24.504 38.219 
0.235 0.284 24.504 33.567 54.054 
0.235 0.284 33.567 41.863 67.985 
0.235 0.284 41.863 50.094 82.779 
0.235 0.284 50.094 58.660 98.011 
0.235 0.284 58.660 67.886 113.708 
0.235 0.284 67.886 79.469 136.598 
0.235 0.284 79.469 95.017 153.009 
0.235 0.284 95.017 120.764 184.880 
0.235 0.284 120.764 174.459 252.401 
0.235 0.284 174.459 240.497 385.050 
0.235 0.284 240.497 323.967 497.813 
0.235 0.284 323.967 431.398 662.238 
0.235 0.284 431.398 597.724 972.032 
0.235 0.284 597.724 843.095 1280.116 
0.235 0.284 843.095 1396.535 2122.219 
0.235 0.284 1396.535 2413.788 3589.505 
0.235 0.284 2413.788 3567.482 5313.092 
0.235 0.284 3567.482 4999.758 8186.733 
0.284 0.340 1.709 12.944 15.733 
0.284 0.340 12.944 22.779 31.759 
0.284 0.340 22.779 30.889 47.932 
0.284 0.340 30.889 38.678 61.440 
0.284 0.340 38.678 46.776 76.512 
0.284 0.340 46.776 55.211 90.466 
0.284 0.340 55.211 64.824 101.103 
0.284 0.340 64.824 76.362 117.458 
0.284 0.340 76.362 92.103 148.415 
0.284 0.340 92.103 117.298 169.263 
0.284 0.340 117.298 173.707 252.607 
0.284 0.340 173.707 240.314 367.797 
0.284 0.340 240.314 325.206 468.829 
0.284 0.340 325.206 438.062 665.265 
0.284 0.340 438.062 605.665 871.142 
0.284 0.340 605.665 846.637 1292.804 
0.284 0.340 846.637 1428.879 1906.446 
0.284 0.340 1428.879 2443.837 3633.756 
0.284 0.340 2443.837 3582.201 5448.765 
0.284 0.340 3582.201 4999.755 7490.415 
0.340 0.398 1.769 12.032 13.934 
0.340 0.398 12.032 20.846 29.789 
0.340 0.398 20.846 28.486 42.169 
0.340 0.398 28.486 36.401 56.208 
0.340 0.398 36.401 45.051 64.892 
0.340 0.398 45.051 54.494 85.333 
0.340 0.398 54.494 65.416 93.907 
0.340 0.398 65.416 78.862 114.090 
0.340 0.398 78.862 97.366 147.186 
0.340 0.398 97.366 137.088 194.183 
0.340 0.398 137.088 202.866 280.562 
0.340 0.398 202.866 272.937 404.705 
0.340 0.398 272.937 363.268 542.838 
0.340 0.398 363.268 489.253 735.699 
0.340 0.398 489.253 665.955 948.527 
0.340 0.398 665.955 960.511 1330.052 
0.340 0.398 960.511 1685.904 2167.804 
0.340 0.398 1685.904 2604.221 3719.941 
0.340 0.398 2604.221 3658.911 5247.024 
0.340 0.398 3658.911 4999.992 6832.889 
0.398 0.450 1.635 10.392 11.384 
0.398 0.450 10.392 18.025 24.934 
0.398 0.450 18.025 25.846 36.572 
0.398 0.450 25.846 34.307 49.437 
0.398 0.450 34.307 44.925 64.266 
0.398 0.450 44.925 56.779 83.570 
0.398 0.450 56.779 70.211 104.414 
0.398 0.450 70.211 89.265 131.264 
0.398 0.450 89.265 129.486 176.262 
0.398 0.450 129.486 201.124 293.529 
0.398 0.450 201.124 270.725 383.465 
0.398 0.450 270.725 351.950 533.273 
0.398 0.450 351.950 459.210 677.795 
0.398 0.450 459.210 603.224 901.383 
0.398 0.450 603.224 824.024 1151.683 
0.398 0.450 824.024 1314.345 1821.487 
0.398 0.450 1314.345 2062.497 2813.262 
0.398 0.450 2062.497 2868.833 4318.400 
0.398 0.450 2868.833 3810.562 5603.995 
0.398 0.450 3810.562 4999.599 7333.559 
0.450 0.495 1.667 9.437 11.898 
0.450 0.495 9.437 16.637 23.011 
0.450 0.495 16.637 24.116 35.389 
0.450 0.495 24.116 33.274 46.388 
0.450 0.495 33.274 45.756 64.010 
0.450 0.495 45.756 60.522 91.389 
0.450 0.495 60.522 80.956 122.642 
0.450 0.495 80.956 122.822 171.069 
0.450 0.495 122.822 201.053 279.201 
0.450 0.495 201.053 272.774 426.682 
0.450 0.495 272.774 350.804 558.182 
0.450 0.495 350.804 447.456 664.480 
0.450 0.495 447.456 561.647 844.066 
0.450 0.495 561.647 719.444 1090.653 
0.450 0.495 719.444 1005.749 1381.359 
0.450 0.495 1005.749 1648.888 2289.076 
0.450 0.495 1648.888 2326.778 3306.702 
0.450 0.495 2326.778 3054.588 4797.268 
0.450 0.495 3054.588 3947.057 6146.131 
0.450 0.495 3947.057 4999.954 7561.603 
0.495 0.535 1.719 9.184 11.942 
0.495 0.535 9.184 16.080 21.812 
0.495 0.535 16.080 23.207 34.209 
0.495 0.535 23.207 32.608 45.891 
0.495 0.535 32.608 46.562 68.749 
0.495 0.535 46.562 66.215 94.873 
0.495 0.535 66.215 98.245 136.204 
0.495 0.535 98.245 183.224 253.978 
0.495 0.535 183.224 259.907 399.460 
0.495 0.535 259.907 337.727 529.714 
0.495 0.535 337.727 423.290 670.875 
0.495 0.535 423.290 522.235 821.436 
0.495 0.535 522.235 643.035 1012.814 
0.495 0.535 643.035 808.512 1288.606 
0.495 0.535 808.512 1199.351 1697.908 
0.495 0.535 1199.351 1830.973 2784.645 
0.495 0.535 1830.973 2488.161 3860.580 
0.495 0.535 2488.161 3193.542 5305.422 
0.495 0.535 3193.542 4028.770 6072.748 
0.495 0.535 4028.770 4999.882 7505.376 
0.535 0.572 1.749 9.180 12.038 
0.535 0.572 9.180 15.997 21.935 
0.535 0.572 15.997 22.843 32.891 
0.535 0.572 22.843 32.493 48.036 
0.535 0.572 32.493 48.002 68.466 
0.535 0.572 48.002 71.296 109.506 
0.535 0.572 71.296 133.024 166.010 
0.535 0.572 133.024 228.428 328.302 
0.535 0.572 228.428 310.373 482.355 
0.535 0.572 310.373 386.934 621.184 
0.535 0.572 386.934 471.430 775.256 
0.535 0.572 471.430 568.039 931.043 
0.535 0.572 568.039 687.001 1130.782 
0.535 0.572 687.001 857.702 1417.212 
0.535 0.572 857.702 1336.082 1732.455 
0.535 0.572 1336.082 1951.718 3005.373 
0.535 0.572 1951.718 2606.033 4146.237 
0.535 0.572 2606.033 3325.925 5242.226 
0.535 0.572 3325.925 4109.893 6639.180 
0.535 0.572 4109.893 4999.966 7705.562 
0.572 0.610 1.779 9.135 11.804 
0.572 0.610 9.135 16.106 21.501 
0.572 0.610 16.106 22.943 34.231 
0.572 0.610 22.943 32.084 50.377 
0.572 0.610 32.084 48.795 67.233 
0.572 0.610 48.795 78.233 113.820 
0.572 0.610 78.233 176.596 214.028 
0.572 0.610 176.596 273.796 402.941 
0.572 0.610 273.796 350.429 571.412 
0.572 0.610 350.429 426.479 702.987 
0.572 0.610 426.479 508.629 893.638 
0.572 0.610 508.629 605.859 1004.011 
0.572 0.610 605.859 720.120 1213.560 
0.572 0.610 720.120 904.277 1471.375 
0.572 0.610 904.277 1482.910 2024.476 
0.572 0.610 1482.910 2066.077 3326.059 
0.572 0.610 2066.077 2726.587 4329.055 
0.572 0.610 2726.587 3437.421 5493.122 
0.572 0.610 3437.421 4188.157 6873.847 
0.572 0.610 4188.157 4999.755 8749.367 
0.610 0.652 1.753 9.151 12.199 
0.610 0.652 9.151 16.192 22.772 
0.610 0.652 16.192 23.109 35.101 
0.610 0.652 23.109 32.062 50.459 
0.610 0.652 32.062 48.706 71.178 
0.610 0.652 48.706 85.752 115.645 
0.610 0.652 85.752 213.665 261.224 
0.610 0.652 213.665 305.003 489.191 
0.610 0.652 305.003 376.364 640.783 
0.610 0.652 376.364 449.166 764.471 
0.610 0.652 449.166 531.271 928.319 
