Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.610 0.652 531.271 624.040 1092.835 
0.610 0.652 624.040 738.228 1244.246 
0.610 0.652 738.228 922.519 1521.879 
0.610 0.652 922.519 1549.727 2092.151 
0.610 0.652 1549.727 2144.778 3314.021 
0.610 0.652 2144.778 2800.340 4413.512 
0.610 0.652 2800.340 3472.696 5973.032 
0.610 0.652 3472.696 4198.866 7142.949 
0.610 0.652 4198.866 4999.985 8468.169 
0.652 0.707 1.792 9.156 12.707 
0.652 0.707 9.156 16.218 23.187 
0.652 0.707 16.218 23.027 35.201 
0.652 0.707 23.027 31.364 50.418 
0.652 0.707 31.364 48.321 68.338 
0.652 0.707 48.321 98.495 124.530 
0.652 0.707 98.495 248.480 320.710 
0.652 0.707 248.480 331.097 560.814 
0.652 0.707 331.097 398.920 686.904 
0.652 0.707 398.920 471.442 814.012 
0.652 0.707 471.442 552.188 939.572 
0.652 0.707 552.188 643.165 1138.811 
0.652 0.707 643.165 756.003 1307.451 
0.652 0.707 756.003 949.802 1534.059 
0.652 0.707 949.802 1603.359 2336.988 
0.652 0.707 1603.359 2220.500 3545.149 
0.652 0.707 2220.500 2856.873 4729.807 
0.652 0.707 2856.873 3543.600 5913.139 
0.652 0.707 3543.600 4259.175 7162.398 
0.652 0.707 4259.175 4999.898 8445.288 
0.707 0.965 1.710 9.069 12.797 
0.707 0.965 9.069 16.011 23.077 
0.707 0.965 16.011 22.534 36.629 
0.707 0.965 22.534 30.083 50.582 
0.707 0.965 30.083 46.160 67.859 
0.707 0.965 46.160 119.312 122.037 
0.707 0.965 119.312 273.554 398.341 
0.707 0.965 273.554 347.769 595.865 
0.707 0.965 347.769 418.028 736.251 
0.707 0.965 418.028 489.677 869.215 
0.707 0.965 489.677 567.773 1027.342 
0.707 0.965 567.773 657.198 1175.645 
0.707 0.965 657.198 764.855 1365.268 
0.707 0.965 764.855 953.648 1578.475 
0.707 0.965 953.648 1631.679 2427.653 
0.707 0.965 1631.679 2279.315 3642.183 
0.707 0.965 2279.315 2918.405 4912.196 
0.707 0.965 2918.405 3591.220 6311.166 
0.707 0.965 3591.220 4268.814 7551.165 
0.707 0.965 4268.814 4999.994 9009.569 
