Agg-Agg collection for the random orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.557 0.576 1458.550 2797.074 364.330
0.557 0.576 2801.819 4992.090 500.043
0.576 0.598 2.077 28.391 666.031
0.576 0.598 28.404 54.238 873.007
0.576 0.598 54.631 88.161 1130.373
0.576 0.598 88.265 156.888 1483.179
0.576 0.598 156.947 303.817 1954.472
0.576 0.598 303.938 529.861 2522.816
0.576 0.598 531.000 842.079 3652.515
0.576 0.598 843.579 1460.468 4485.724
0.576 0.598 1460.844 2813.471 6324.489
0.576 0.598 2817.270 4998.731 8308.089
0.598 0.623 2.314 28.592 18.426
0.598 0.623 28.795 54.493 40.714
0.598 0.623 54.657 87.433 58.866
0.598 0.623 87.488 155.796 90.546
0.598 0.623 156.299 300.530 119.453
0.598 0.623 300.736 524.040 149.379
0.598 0.623 525.880 828.133 190.224
0.598 0.623 829.098 1431.380 256.371
0.598 0.623 1433.717 2820.664 376.410
0.598 0.623 2822.055 4997.134 507.179
0.623 0.655 2.073 29.050 703.828
0.623 0.654 29.194 55.148 878.688
0.623 0.655 55.180 87.213 1122.076
0.623 0.655 87.303 154.751 1457.325
0.623 0.655 155.061 305.796 1824.026
0.623 0.655 306.067 530.747 2448.597
0.623 0.655 532.196 837.543 3389.233
0.623 0.655 839.144 1444.626 4611.398
0.623 0.655 1450.249 2833.042 6376.236
0.623 0.655 2834.965 4997.337 8431.706
0.655 0.701 2.089 29.310 19.032
0.655 0.701 29.372 54.823 41.018
0.655 0.701 54.929 87.094 62.052
0.655 0.701 87.222 155.684 87.356
0.655 0.701 157.225 307.491 113.934
0.655 0.701 307.960 533.165 148.645
0.655 0.701 534.480 828.986 198.772
0.655 0.701 830.874 1421.064 244.076
0.655 0.701 1424.767 2823.606 353.090
0.655 0.701 2826.614 4998.601 474.380
0.701 0.913 2.587 29.467 671.492
0.701 0.924 29.482 54.682 861.548
0.701 0.937 54.695 86.349 1157.359
0.701 0.895 86.494 153.399 1391.275
0.701 0.909 153.826 303.164 1785.501
0.701 0.897 303.532 527.463 2368.240
0.701 0.928 528.370 817.149 3502.771
0.701 0.900 818.022 1417.663 4602.917
0.701 0.927 1420.498 2821.741 6094.373
0.701 0.934 2824.115 4999.959 8205.917
0.008 0.273 2.400 23.545 18.339
0.008 0.273 23.552 45.987 39.264
0.007 0.272 46.216 85.503 63.688
0.007 0.273 85.603 160.197 85.637
0.009 0.272 160.554 282.975 115.396
0.010 0.273 283.455 485.591 147.079
0.006 0.272 485.791 872.279 188.730
0.010 0.272 875.361 1633.155 255.241
0.006 0.273 1640.237 2912.794 368.960
0.010 0.272 2915.609 4995.076 476.348
0.273 0.327 2.341 27.914 661.095
0.273 0.327 28.079 55.774 917.391
0.273 0.327 55.898 101.031 1160.203
