Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.557 0.576 2.134 27.724 16.284 
0.557 0.576 27.768 53.702 37.780 
0.557 0.576 53.739 88.181 59.955 
0.557 0.576 88.231 155.533 87.930 
0.557 0.576 155.616 298.845 102.990 
0.557 0.576 299.361 528.120 142.592 
0.557 0.576 528.631 836.037 192.076 
0.557 0.576 837.077 1456.982 253.796 
0.557 0.576 1458.273 2796.591 339.442 
0.557 0.576 2799.318 4981.228 459.555 
0.576 0.598 2.227 28.386 631.116 
0.576 0.598 28.496 54.462 829.579 
0.576 0.598 54.563 88.124 1062.853 
0.576 0.598 88.249 156.888 1445.469 
0.576 0.598 157.113 303.523 1807.530 
0.576 0.598 304.108 530.017 2357.377 
0.576 0.598 530.378 842.565 3221.734 
0.576 0.598 843.864 1460.214 4659.725 
0.576 0.598 1461.504 2815.261 5779.030 
0.576 0.598 2816.035 4998.977 8414.807 
0.598 0.623 2.457 28.636 17.863 
0.598 0.623 28.840 54.598 36.341 
0.598 0.623 54.721 87.425 60.427 
0.598 0.623 87.782 155.720 79.877 
0.598 0.623 156.054 300.591 114.669 
0.598 0.623 300.663 524.555 147.926 
0.598 0.623 526.145 828.113 178.992 
0.598 0.623 828.283 1432.331 239.559 
0.598 0.623 1432.563 2821.238 344.576 
0.598 0.623 2827.694 4995.503 481.910 
0.623 0.655 2.948 29.089 618.608 
0.623 0.655 29.199 55.160 889.283 
0.623 0.655 55.190 87.249 1036.786 
0.623 0.655 87.330 154.468 1351.253 
0.623 0.655 155.099 304.753 1707.403 
0.623 0.655 306.294 531.573 2458.279 
0.623 0.654 532.668 837.930 3376.337 
0.623 0.655 838.839 1448.672 4526.711 
0.623 0.655 1449.978 2828.501 6186.900 
0.623 0.655 2834.369 4996.315 8341.921 
0.655 0.701 2.110 29.326 17.951 
0.655 0.701 29.351 54.858 39.474 
0.655 0.701 54.929 87.126 60.864 
0.655 0.701 87.197 155.608 80.164 
0.655 0.701 155.798 307.491 106.604 
0.655 0.701 307.924 533.342 148.493 
0.655 0.701 534.250 829.019 193.152 
0.655 0.701 829.806 1420.980 254.379 
0.655 0.701 1424.614 2820.550 353.242 
0.655 0.701 2828.959 4999.591 483.303 
0.701 0.920 2.780 29.395 643.879 
0.701 0.962 29.573 54.687 873.385 
0.701 0.898 54.719 86.377 1120.875 
0.701 0.921 86.490 152.960 1312.468 
0.701 0.906 153.621 303.273 1822.180 
0.701 0.907 303.900 527.527 2411.722 
0.701 0.920 528.373 816.950 3085.024 
0.701 0.941 818.500 1414.893 4274.425 
0.701 0.906 1420.436 2823.581 6137.245 
0.701 0.912 2831.200 4998.141 7904.952 
0.007 0.273 2.429 23.542 18.754 
0.010 0.272 23.548 46.036 37.874 
0.009 0.273 46.066 85.507 60.340 
0.006 0.273 85.537 160.284 86.923 
0.011 0.272 160.360 282.792 114.241 
0.006 0.272 283.462 484.730 145.757 
0.009 0.273 486.413 873.102 179.642 
0.013 0.272 874.936 1635.567 248.472 
0.010 0.273 1636.893 2914.562 341.265 
0.007 0.272 2915.301 4995.076 474.812 
0.273 0.327 2.328 27.987 617.360 
0.273 0.327 28.028 55.807 836.705 
0.273 0.327 55.898 101.024 1110.424 
0.273 0.327 101.073 183.817 1386.586 
0.273 0.327 184.267 318.493 1715.892 
0.273 0.327 318.964 529.816 2332.082 
0.273 0.327 530.226 912.403 3348.347 
0.273 0.327 913.155 1672.561 4605.775 
0.273 0.327 1673.659 2940.853 5775.706 
0.273 0.327 2941.569 4999.783 7563.687 
0.327 0.359 2.463 28.055 18.389 
0.327 0.359 28.239 54.531 38.493 
0.327 0.359 54.736 96.192 56.596 
0.327 0.359 96.537 178.158 82.886 
0.327 0.359 178.557 318.465 110.141 
0.327 0.359 318.846 528.921 135.621 
0.327 0.359 529.454 890.698 186.359 
0.327 0.359 892.367 1614.746 244.907 
0.327 0.359 1616.877 2927.727 338.374 
0.327 0.359 2935.663 4999.408 473.671 
0.359 0.384 2.198 27.665 613.519 
0.359 0.384 27.744 54.242 852.031 
0.359 0.384 54.380 94.915 1091.661 
0.359 0.384 94.964 174.060 1343.472 
0.359 0.384 174.180 314.253 1692.626 
0.359 0.384 314.579 528.502 2338.110 
0.359 0.384 530.193 894.360 3311.606 
0.359 0.384 895.054 1623.026 4551.084 
0.359 0.384 1628.587 2957.371 6175.765 
0.359 0.384 2958.035 4996.694 8430.039 
0.384 0.405 2.518 27.112 18.108 
0.384 0.405 27.149 53.256 38.013 
0.384 0.405 53.362 93.352 60.211 
0.384 0.405 93.390 171.166 84.771 
0.384 0.405 172.650 310.480 111.676 
0.384 0.405 310.986 528.077 137.715 
0.384 0.405 528.824 884.944 176.285 
0.384 0.405 886.693 1602.005 238.278 
0.384 0.405 1606.927 2924.663 342.968 
0.384 0.405 2927.802 4998.663 456.516 
0.405 0.424 2.667 27.035 619.964 
0.405 0.424 27.059 53.155 861.261 
0.405 0.424 53.189 91.802 1104.586 
0.405 0.423 91.849 170.412 1385.729 
0.405 0.424 170.963 312.791 1710.427 
0.405 0.423 312.899 531.459 2354.329 
0.405 0.424 532.191 875.968 3210.014 
0.405 0.424 877.750 1570.344 4457.158 
0.405 0.424 1570.741 2866.375 6245.464 
0.405 0.424 2867.239 4999.310 8118.668 
0.424 0.441 2.614 26.657 18.782 
0.424 0.441 26.700 52.308 38.255 
0.424 0.441 52.400 89.550 58.757 
0.424 0.441 89.656 164.268 83.048 
0.424 0.441 164.479 302.963 116.369 
0.424 0.441 303.636 520.160 138.777 
0.424 0.441 520.623 857.691 173.386 
0.424 0.441 858.982 1536.120 239.158 
0.424 0.441 1543.654 2876.307 343.850 
0.424 0.441 2884.558 4999.428 465.064 
0.441 0.458 2.287 26.568 647.920 
0.441 0.458 26.639 52.398 866.129 
0.441 0.458 52.426 89.007 1148.834 
0.441 0.458 89.248 162.263 1371.186 
0.441 0.458 162.714 304.141 1736.743 
0.441 0.458 304.608 523.778 2244.598 
0.441 0.458 525.263 857.556 3202.861 
0.441 0.458 857.693 1539.428 4059.965 
0.441 0.458 1543.882 2859.107 5952.262 
0.441 0.458 2873.278 4994.033 8235.214 
0.458 0.474 2.337 26.550 18.199 
0.458 0.474 26.684 52.515 37.510 
0.458 0.474 52.705 88.612 57.340 
0.458 0.474 88.664 159.904 86.640 
0.458 0.474 160.076 299.166 107.267 
0.458 0.474 299.547 520.794 136.374 
0.458 0.474 521.482 850.216 180.167 
0.458 0.474 851.707 1518.743 227.792 
0.458 0.474 1520.942 2860.303 339.337 
0.458 0.474 2866.814 4999.790 463.229 
