Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.498 0.538 32.578 66.378 13.460 
0.498 0.538 66.615 185.794 20.207 
0.498 0.538 186.710 341.585 22.592 
0.498 0.538 342.009 526.292 28.401 
0.498 0.538 526.444 809.584 29.408 
0.498 0.538 811.899 1836.156 36.737 
0.498 0.538 1838.500 3197.701 39.691 
0.498 0.538 3199.185 4998.677 54.427 
0.538 0.576 1.857 15.958 77.904 
0.538 0.576 15.996 32.444 106.818 
0.538 0.576 32.496 72.117 132.107 
0.538 0.576 72.198 232.811 165.760 
0.538 0.576 232.944 391.451 234.198 
0.538 0.576 391.725 570.921 340.733 
0.538 0.576 572.211 861.442 499.141 
0.538 0.576 862.411 1962.398 824.280 
0.538 0.576 1966.749 3340.267 1340.226 
0.538 0.576 3344.934 4996.847 1995.918 
0.576 0.613 1.836 16.136 4.382 
0.576 0.613 16.162 32.048 9.704 
0.576 0.613 32.128 78.380 17.189 
0.576 0.613 78.489 275.993 21.088 
0.576 0.613 276.359 428.690 25.196 
0.576 0.613 428.773 607.606 31.794 
0.576 0.613 608.723 905.691 31.644 
0.576 0.613 906.719 2070.766 36.723 
0.576 0.613 2079.530 3441.138 44.601 
0.576 0.613 3447.557 4999.704 55.366 
0.614 0.655 2.013 16.172 81.767 
0.614 0.655 16.221 32.077 115.737 
0.613 0.655 32.122 87.333 151.469 
0.614 0.655 87.454 307.829 203.771 
0.614 0.655 308.195 451.066 263.757 
0.614 0.655 451.167 626.351 362.544 
0.614 0.655 627.600 927.239 527.639 
0.614 0.655 928.867 2147.933 969.343 
0.614 0.655 2149.229 3475.386 1419.602 
0.614 0.655 3483.008 4993.575 2179.054 
0.655 0.710 2.782 16.231 5.579 
0.655 0.709 16.281 31.260 11.649 
0.656 0.709 31.330 98.038 18.861 
0.655 0.709 99.301 331.732 23.826 
0.655 0.709 332.145 471.429 27.114 
0.655 0.710 472.664 643.286 33.242 
0.655 0.709 644.524 948.279 35.344 
0.655 0.709 948.487 2220.366 44.041 
0.655 0.709 2224.054 3539.895 48.238 
0.655 0.709 3546.847 4998.150 58.333 
0.710 0.942 1.828 15.948 87.628 
0.710 0.938 15.997 29.996 129.103 
0.710 0.919 30.045 119.501 176.020 
0.710 0.929 120.439 347.927 229.640 
0.710 0.917 348.176 489.964 309.635 
0.710 0.937 490.254 656.963 410.108 
0.710 0.939 657.298 953.568 630.126 
0.710 0.911 957.867 2278.533 1104.191 
0.710 0.926 2279.230 3587.928 1696.422 
0.710 0.918 3589.536 4997.289 2646.566 
0.006 0.027 1.724 27.136 6.096 
0.006 0.027 27.322 58.202 13.015 
0.007 0.027 58.304 95.505 19.566 
0.008 0.027 95.636 150.875 23.795 
0.008 0.027 151.113 285.869 31.117 
0.008 0.027 286.760 587.778 34.145 
0.006 0.027 588.381 917.081 41.185 
0.008 0.027 918.765 1391.840 49.424 
0.006 0.027 1394.848 2267.569 56.252 
