Agg-Agg collection for the random orientation. 
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Characteristic value taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.539 0.557 297.035 521.685 -0.053 
0.539 0.557 522.928 833.785 -0.059 
0.539 0.557 834.743 1468.237 -0.060 
0.539 0.557 1471.106 2791.089 -0.052 
0.539 0.557 2797.706 4999.040 -0.134 
0.557 0.576 2.134 27.724 -0.099 
0.557 0.576 27.768 53.702 -0.207 
0.557 0.576 53.739 88.181 -0.051 
0.557 0.576 88.231 155.533 -0.044 
0.557 0.576 155.616 298.845 -0.354 
0.557 0.576 299.361 528.120 -0.051 
0.557 0.576 528.631 836.037 -0.172 
0.557 0.576 837.077 1456.982 -0.174 
0.557 0.576 1458.273 2796.591 -0.251 
0.557 0.576 2799.318 4981.228 -0.039 
0.576 0.598 2.227 28.386 -0.036 
0.576 0.598 28.496 54.462 -0.039 
0.576 0.598 54.563 88.124 -0.032 
0.576 0.598 88.249 156.888 -0.206 
0.576 0.598 157.113 303.523 -0.030 
0.576 0.598 304.108 530.017 -0.267 
0.576 0.598 530.378 842.565 -0.060 
0.576 0.598 843.864 1460.214 -0.064 
0.576 0.598 1461.504 2815.261 -0.053 
0.576 0.598 2816.035 4998.977 -0.140 
0.598 0.623 2.457 28.636 -0.089 
0.598 0.623 28.840 54.598 -0.052 
0.598 0.623 54.721 87.425 -0.046 
0.598 0.623 87.782 155.720 -0.053 
0.598 0.623 156.054 300.591 -0.198 
0.598 0.623 300.663 524.555 -0.177 
0.598 0.623 526.145 828.113 -0.220 
0.598 0.623 828.283 1432.331 -0.186 
0.598 0.623 1432.563 2821.238 -0.040 
0.598 0.623 2827.694 4995.503 -0.035 
0.623 0.655 2.948 29.089 -0.045 
0.623 0.655 29.199 55.160 -0.030 
0.623 0.655 55.190 87.249 -0.010 
0.623 0.655 87.330 154.468 -0.011 
0.623 0.655 155.099 304.753 -0.171 
0.623 0.655 306.294 531.573 -0.007 
0.623 0.654 532.668 837.930 -0.051 
0.623 0.655 838.839 1448.672 -0.048 
0.623 0.655 1449.978 2828.501 -0.048 
0.623 0.655 2834.369 4996.315 -0.029 
0.655 0.701 2.110 29.326 -0.082 
0.655 0.701 29.351 54.858 -0.069 
0.655 0.701 54.929 87.126 -0.056 
0.655 0.701 87.197 155.608 -0.037 
0.655 0.701 155.798 307.491 -0.037 
0.655 0.701 307.924 533.342 -0.203 
0.655 0.701 534.250 829.019 -0.052 
0.655 0.701 829.806 1420.980 -0.177 
0.655 0.701 1424.614 2820.550 -0.257 
0.655 0.701 2828.959 4999.591 -0.014 
0.701 0.920 2.780 29.395 -0.031 
0.701 0.962 29.573 54.687 -0.151 
0.701 0.898 54.719 86.377 -0.039 
0.701 0.921 86.490 152.960 -0.265 
0.701 0.906 153.621 303.273 -0.038 
0.701 0.907 303.900 527.527 -0.027 
0.701 0.920 528.373 816.950 -0.044 
0.701 0.941 818.500 1414.893 -0.056 
0.701 0.906 1420.436 2823.581 -0.032 
0.701 0.912 2831.200 4998.141 -0.036 
