Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.498 0.538 16.126 32.541 40.648 
0.498 0.538 32.578 66.378 66.887 
0.498 0.538 66.615 185.794 94.862 
0.498 0.538 186.710 341.585 105.794 
0.498 0.538 342.009 526.292 129.938 
0.498 0.538 526.444 809.584 157.643 
0.498 0.538 811.899 1836.156 169.561 
0.498 0.538 1838.500 3197.701 210.978 
0.498 0.538 3199.185 4998.677 253.578 
0.538 0.576 1.857 15.958 363.917 
0.538 0.576 15.996 32.444 504.709 
0.538 0.576 32.496 72.117 662.747 
0.538 0.576 72.198 232.811 820.282 
0.538 0.576 232.944 391.451 1176.042 
0.538 0.576 391.725 570.921 1607.860 
0.538 0.576 572.211 861.442 2463.808 
0.538 0.576 862.411 1962.398 3979.344 
0.538 0.576 1966.749 3340.267 6450.228 
0.538 0.576 3344.934 4996.847 8777.033 
0.576 0.613 1.836 16.136 18.499 
0.576 0.613 16.162 32.048 40.390 
0.576 0.613 32.128 78.380 59.357 
0.576 0.613 78.489 275.993 81.072 
0.576 0.613 276.359 428.690 94.423 
0.576 0.613 428.773 607.606 115.608 
0.576 0.613 608.723 905.691 127.009 
0.576 0.613 906.719 2070.766 155.865 
0.576 0.613 2079.530 3441.138 177.899 
0.576 0.613 3447.557 4999.704 212.671 
0.614 0.655 2.013 16.172 314.032 
0.614 0.655 16.221 32.077 445.650 
0.613 0.655 32.122 87.333 584.002 
0.614 0.655 87.454 307.829 771.469 
0.614 0.655 308.195 451.066 1072.844 
0.614 0.655 451.167 626.351 1471.036 
0.614 0.655 627.600 927.239 2271.321 
0.614 0.655 928.867 2147.933 3754.340 
0.614 0.655 2149.229 3475.386 6050.560 
0.614 0.655 3483.008 4993.575 8456.620 
0.655 0.710 2.782 16.231 18.814 
0.655 0.709 16.281 31.260 38.257 
0.656 0.709 31.330 98.038 54.173 
0.655 0.709 99.301 331.732 67.453 
0.655 0.709 332.145 471.429 85.918 
0.655 0.710 472.664 643.286 102.618 
0.655 0.709 644.524 948.279 118.342 
0.655 0.709 948.487 2220.366 129.302 
0.655 0.709 2224.054 3539.895 150.178 
0.655 0.709 3546.847 4998.150 195.204 
0.710 0.942 1.828 15.948 273.120 
0.710 0.938 15.997 29.996 385.726 
0.710 0.919 30.045 119.501 510.758 
0.710 0.929 120.439 347.927 715.418 
0.710 0.917 348.176 489.964 927.272 
0.710 0.937 490.254 656.963 1316.755 
0.710 0.939 657.298 953.568 2026.326 
0.710 0.911 957.867 2278.533 3532.662 
0.710 0.926 2279.230 3587.928 5998.170 
0.710 0.918 3589.536 4997.289 7996.751 
0.006 0.027 1.724 27.136 16.558 
0.006 0.027 27.322 58.202 32.728 
0.007 0.027 58.304 95.505 47.272 
0.008 0.027 95.636 150.875 60.846 
0.008 0.027 151.113 285.869 74.496 
0.008 0.027 286.760 587.778 90.628 
0.006 0.027 588.381 917.081 106.716 
0.008 0.027 918.765 1391.840 123.513 
0.006 0.027 1394.848 2267.569 146.634 
0.006 0.027 2282.742 4996.112 179.337 
0.027 0.039 1.772 24.808 248.491 
0.027 0.039 24.824 54.381 362.299 
0.027 0.039 54.474 97.037 500.228 
0.027 0.039 97.073 149.824 656.126 
0.027 0.039 150.053 253.945 963.455 
0.027 0.039 254.138 515.608 1271.982 
0.027 0.039 516.730 900.263 1934.805 
0.027 0.039 901.709 1427.951 3554.344 
0.027 0.039 1430.147 2396.119 4946.453 
0.027 0.039 2403.774 4992.185 7202.681 
0.039 0.054 1.729 20.611 13.577 
0.039 0.054 20.635 42.941 28.981 
0.039 0.054 42.998 77.442 41.127 
0.039 0.054 77.666 137.247 55.723 
0.039 0.054 137.405 255.815 66.574 
0.039 0.054 256.812 469.415 83.311 
0.039 0.054 469.505 795.378 100.171 
0.039 0.054 796.318 1409.400 117.557 
0.039 0.054 1413.187 2696.748 144.658 
0.039 0.054 2697.018 4984.904 188.710 
0.054 0.072 1.642 20.267 293.709 
0.054 0.072 20.338 40.382 391.824 
0.054 0.072 40.472 67.823 532.606 
0.054 0.072 67.897 122.085 705.560 
0.054 0.072 122.379 243.562 977.326 
0.054 0.072 244.558 442.545 1345.709 
0.054 0.072 443.054 729.542 2332.186 
0.054 0.072 730.958 1386.164 3529.957 
0.054 0.072 1387.056 2841.514 5451.813 
0.054 0.072 2857.975 4999.444 7319.002 
0.072 0.095 1.790 21.350 12.134 
0.072 0.095 21.511 42.124 24.905 
0.072 0.095 42.218 68.924 35.345 
0.072 0.095 68.975 113.174 48.775 
0.072 0.095 113.223 206.019 64.238 
0.072 0.095 206.566 393.251 82.368 
0.072 0.095 393.943 653.649 106.954 
0.072 0.095 655.635 1247.364 129.521 
0.072 0.095 1252.989 2711.470 186.068 
0.072 0.095 2731.105 4992.034 287.961 
0.095 0.121 1.686 23.639 412.986 
0.095 0.121 23.791 47.706 553.677 
0.095 0.121 47.753 75.397 675.545 
0.095 0.121 75.490 108.628 938.212 
0.095 0.121 108.665 162.880 1214.561 
0.095 0.121 163.588 323.495 1759.849 
0.095 0.121 324.026 537.915 2968.085 
0.095 0.121 538.238 1022.573 4346.015 
0.095 0.121 1029.070 2502.504 5583.830 
0.095 0.121 2502.652 4989.861 6864.670 
0.121 0.151 1.793 24.904 10.901 
0.121 0.151 24.998 50.847 21.775 
0.121 0.151 50.921 73.991 37.035 
0.121 0.151 74.101 100.263 49.027 
0.121 0.151 100.407 146.149 66.341 
0.121 0.151 146.585 292.268 86.235 
0.121 0.151 292.725 479.916 120.583 
0.121 0.151 480.926 919.390 171.468 
0.121 0.151 920.686 2391.336 292.344 
0.121 0.151 2406.818 4998.036 414.262 
0.151 0.187 1.738 24.651 555.681 
0.151 0.187 24.683 48.492 704.555 
0.151 0.187 48.556 68.627 891.511 
0.151 0.187 68.739 91.669 1095.965 
0.151 0.187 91.839 137.765 1449.043 
0.151 0.187 138.331 274.650 2351.153 
0.151 0.186 275.851 459.056 3482.196 
0.151 0.187 460.297 885.595 4462.476 
