Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.151 0.187 1.616 13.746 20.894 
0.151 0.187 13.746 24.667 40.648 
0.151 0.187 24.667 36.975 66.887 
0.151 0.187 36.975 48.549 94.862 
0.151 0.187 48.549 58.878 105.794 
0.151 0.187 58.878 68.680 129.938 
0.151 0.187 68.680 79.171 157.643 
0.151 0.187 79.171 91.686 169.561 
0.151 0.187 91.686 109.227 210.978 
0.151 0.187 109.227 138.029 253.578 
0.151 0.187 138.029 205.418 363.917 
0.151 0.187 205.418 275.032 504.709 
0.151 0.187 275.032 354.885 662.747 
0.151 0.187 354.885 459.655 820.282 
0.151 0.187 459.655 632.279 1176.042 
0.151 0.187 632.279 886.663 1607.860 
0.151 0.187 886.663 1416.129 2463.808 
0.151 0.187 1416.129 2404.782 3979.344 
0.151 0.187 2404.782 3584.343 6450.228 
0.151 0.187 3584.343 4999.942 8777.033 
0.187 0.229 1.608 13.744 18.499 
0.187 0.229 13.744 24.957 40.390 
0.187 0.229 24.957 35.932 59.357 
0.187 0.229 35.932 45.829 81.072 
0.187 0.229 45.829 54.678 94.423 
0.187 0.229 54.678 63.523 115.608 
0.187 0.229 63.523 72.976 127.009 
0.187 0.229 72.976 85.223 155.865 
0.187 0.229 85.223 101.434 177.899 
0.187 0.229 101.434 128.832 212.671 
0.187 0.229 128.832 187.922 314.032 
0.187 0.229 187.922 256.108 445.650 
0.187 0.229 256.108 336.577 584.002 
0.187 0.229 336.577 444.633 771.469 
0.187 0.229 444.633 612.349 1072.844 
0.187 0.229 612.349 861.979 1471.036 
0.187 0.229 861.979 1397.652 2271.321 
0.187 0.229 1397.652 2394.414 3754.340 
0.187 0.229 2394.414 3558.914 6050.560 
0.187 0.229 3558.914 4999.933 8456.620 
0.229 0.279 1.584 13.811 18.814 
0.229 0.279 13.811 24.559 38.257 
0.229 0.279 24.559 33.800 54.173 
0.229 0.279 33.800 42.237 67.453 
0.229 0.279 42.237 50.489 85.918 
0.229 0.279 50.489 59.070 102.618 
0.229 0.279 59.070 68.199 118.342 
0.229 0.279 68.199 79.858 129.302 
0.229 0.279 79.858 95.329 150.178 
0.229 0.279 95.329 121.062 195.204 
0.229 0.279 121.062 175.300 273.120 
0.229 0.279 175.300 241.960 385.726 
0.229 0.279 241.960 325.145 510.758 
0.229 0.279 325.145 431.834 715.418 
0.229 0.279 431.834 597.021 927.272 
0.229 0.279 597.021 844.102 1316.755 
0.229 0.279 844.102 1394.013 2026.326 
0.229 0.279 1394.013 2405.345 3532.662 
0.229 0.279 2405.345 3567.553 5998.170 
0.229 0.279 3567.553 4999.758 7996.751 
0.279 0.337 1.709 13.031 16.558 
0.279 0.337 13.031 22.999 32.728 
0.279 0.337 22.999 31.134 47.272 
0.279 0.337 31.134 38.979 60.846 
0.279 0.337 38.979 47.051 74.496 
0.279 0.337 47.051 55.430 90.628 
0.279 0.337 55.430 65.014 106.716 
0.279 0.337 65.014 76.597 123.513 
0.279 0.337 76.597 92.353 146.634 
0.279 0.337 92.353 117.776 179.337 
0.279 0.337 117.776 173.983 248.491 
0.279 0.337 173.983 240.281 362.299 
0.279 0.337 240.281 325.222 500.228 
0.279 0.337 325.222 438.267 656.126 
0.279 0.337 438.267 605.247 963.455 
0.279 0.337 605.247 847.057 1271.982 
0.279 0.337 847.057 1424.939 1934.805 
0.279 0.337 1424.939 2443.670 3554.344 
0.279 0.337 2443.670 3574.252 4946.453 
0.279 0.337 3574.252 4999.755 7202.681 
0.337 0.398 1.769 12.064 13.577 
0.337 0.398 12.064 20.902 28.981 
0.337 0.398 20.902 28.551 41.127 
0.337 0.398 28.551 36.444 55.723 
0.337 0.398 36.444 45.064 66.574 
0.337 0.398 45.064 54.489 83.311 
0.337 0.398 54.489 65.371 100.171 
0.337 0.398 65.371 78.684 117.557 
