Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.441 0.458 2.073 15.599 16.284 
0.441 0.458 15.599 26.599 37.780 
0.441 0.458 26.599 38.628 59.955 
0.441 0.458 38.628 52.408 87.930 
0.441 0.458 52.408 68.646 102.990 
0.441 0.458 68.646 89.015 142.592 
0.441 0.458 89.015 118.670 192.076 
0.441 0.458 118.670 162.293 253.796 
0.441 0.458 162.293 223.568 339.442 
0.441 0.458 223.568 304.308 459.555 
0.441 0.458 304.308 405.203 631.116 
0.441 0.458 405.203 524.061 829.579 
0.441 0.458 524.061 669.908 1062.853 
0.441 0.458 669.908 857.560 1445.469 
0.441 0.458 857.560 1128.734 1807.530 
0.441 0.458 1128.734 1540.761 2357.377 
0.441 0.458 1540.761 2114.377 3221.734 
0.441 0.458 2114.377 2870.332 4659.725 
0.441 0.458 2870.332 3834.171 5779.030 
0.441 0.458 3834.171 4999.915 8414.807 
0.458 0.474 2.065 15.842 17.863 
0.458 0.474 15.842 26.673 36.341 
0.458 0.474 26.673 38.919 60.427 
0.458 0.474 38.919 52.528 79.877 
0.458 0.474 52.528 68.346 114.669 
0.458 0.474 68.346 88.637 147.926 
0.458 0.474 88.637 117.278 178.992 
0.458 0.474 117.278 160.037 239.559 
0.458 0.474 160.037 220.936 344.576 
0.458 0.474 220.936 299.432 481.910 
0.458 0.474 299.432 402.516 618.608 
0.458 0.474 402.516 520.997 889.283 
0.458 0.474 520.997 666.129 1036.786 
0.458 0.474 666.129 850.665 1351.253 
0.458 0.474 850.665 1110.892 1707.403 
0.458 0.474 1110.892 1519.455 2458.279 
0.458 0.474 1519.455 2080.019 3376.337 
0.458 0.474 2080.019 2862.234 4526.711 
0.458 0.474 2862.234 3821.696 6186.900 
0.458 0.474 3821.696 4999.951 8341.921 
0.474 0.490 2.128 15.709 17.951 
0.474 0.490 15.709 26.492 39.474 
0.474 0.490 26.492 38.965 60.864 
0.474 0.490 38.965 52.738 80.164 
0.474 0.490 52.738 68.870 106.604 
0.474 0.490 68.870 88.271 148.493 
0.474 0.490 88.271 115.897 193.152 
0.474 0.490 115.897 158.785 254.379 
0.474 0.490 158.785 217.676 353.242 
0.474 0.490 217.676 298.121 483.303 
0.474 0.490 298.121 399.432 643.879 
0.474 0.490 399.432 518.090 873.385 
0.474 0.490 518.090 661.919 1120.875 
0.474 0.490 661.919 840.030 1312.468 
0.474 0.490 840.030 1097.017 1822.180 
0.474 0.490 1097.017 1494.097 2411.722 
0.474 0.490 1494.097 2050.378 3085.024 
0.474 0.490 2050.378 2814.122 4274.425 
0.474 0.490 2814.122 3806.081 6137.245 
0.474 0.490 3806.081 4999.515 7904.952 
0.490 0.506 2.133 15.630 18.754 
0.490 0.506 15.630 26.636 37.874 
0.490 0.506 26.636 39.046 60.340 
0.490 0.506 39.046 52.692 86.923 
0.490 0.506 52.692 68.547 114.241 
0.490 0.506 68.547 88.060 145.757 
0.490 0.506 88.060 115.650 179.642 
0.490 0.506 115.650 158.111 248.472 
0.490 0.506 158.111 216.720 341.265 
0.490 0.506 216.720 298.157 474.812 
0.490 0.506 298.157 401.089 617.360 
0.490 0.506 401.089 520.806 836.705 
0.490 0.506 520.806 665.741 1110.424 
0.490 0.506 665.741 846.497 1386.586 
0.490 0.506 846.497 1111.342 1715.892 
0.490 0.506 1111.342 1511.254 2332.082 
0.490 0.506 1511.254 2067.967 3348.347 
0.490 0.506 2067.967 2816.271 4605.775 
0.490 0.506 2816.271 3795.551 5775.706 
0.490 0.506 3795.551 4999.953 7563.687 
0.506 0.522 2.068 15.808 18.389 
0.506 0.522 15.808 26.595 38.493 
0.506 0.522 26.595 39.053 56.596 
0.506 0.522 39.053 52.695 82.886 
0.506 0.522 52.695 68.487 110.141 
0.506 0.522 68.487 87.552 135.621 
0.506 0.522 87.552 113.538 186.359 
0.506 0.522 113.538 155.073 244.907 
0.506 0.522 155.073 214.946 338.374 
0.506 0.522 214.946 296.879 473.671 
0.506 0.522 296.879 403.990 613.519 
0.506 0.522 403.990 524.709 852.031 
0.506 0.522 524.709 665.468 1091.661 
0.506 0.522 665.468 843.097 1343.472 
0.506 0.522 843.097 1099.462 1692.626 
0.506 0.522 1099.462 1490.514 2338.110 
0.506 0.522 1490.514 2044.873 3311.606 
0.506 0.522 2044.873 2804.759 4551.084 
0.506 0.522 2804.759 3820.504 6175.765 
0.506 0.522 3820.504 4999.731 8430.039 
0.522 0.539 2.011 15.818 18.108 
0.522 0.539 15.818 26.872 38.013 
0.522 0.539 26.872 39.154 60.211 
0.522 0.539 39.154 52.703 84.771 
0.522 0.539 52.703 68.379 111.676 
0.522 0.539 68.379 87.346 137.715 
0.522 0.539 87.346 114.565 176.285 
0.522 0.539 114.565 155.573 238.278 
0.522 0.539 155.573 214.045 342.968 
0.522 0.539 214.045 297.101 456.516 
0.522 0.539 297.101 402.737 619.964 
0.522 0.539 402.737 520.615 861.261 
0.522 0.539 520.615 660.932 1104.586 
0.522 0.539 660.932 837.338 1385.729 
0.522 0.539 837.338 1085.478 1710.427 
0.522 0.539 1085.478 1480.401 2354.329 
0.522 0.539 1480.401 2028.888 3210.014 
0.522 0.539 2028.888 2802.716 4457.158 
0.522 0.539 2802.716 3825.654 6245.464 
0.522 0.539 3825.654 4999.707 8118.668 
0.539 0.557 1.959 16.001 18.782 
0.539 0.557 16.001 27.185 38.255 
0.539 0.557 27.185 39.680 58.757 
0.539 0.557 39.680 53.266 83.048 
0.539 0.557 53.266 68.876 116.369 
0.539 0.557 68.876 87.484 138.777 
0.539 0.557 87.484 113.729 173.386 
0.539 0.557 113.729 154.716 239.158 
0.539 0.557 154.716 211.433 343.850 
0.539 0.557 211.433 296.934 465.064 
0.539 0.557 296.934 401.937 647.920 
0.539 0.557 401.937 522.250 866.129 
0.539 0.557 522.250 661.821 1148.834 
0.539 0.557 661.821 834.369 1371.186 
0.539 0.557 834.369 1082.727 1736.743 
0.539 0.557 1082.727 1469.820 2244.598 
0.539 0.557 1469.820 2019.045 3202.861 
0.539 0.557 2019.045 2795.866 4059.965 
0.539 0.557 2795.866 3824.914 5952.262 
0.539 0.557 3824.914 4999.915 8235.214 
0.557 0.576 2.057 16.266 18.199 
0.557 0.576 16.266 27.727 37.510 
0.557 0.576 27.727 40.203 57.340 
0.557 0.576 40.203 53.713 86.640 
0.557 0.576 53.713 69.190 107.267 
0.557 0.576 69.190 88.186 136.374 
0.557 0.576 88.186 114.108 180.167 
0.557 0.576 114.108 155.583 227.792 
0.557 0.576 155.583 213.859 339.337 
0.557 0.576 213.859 298.892 463.229 
0.557 0.576 298.892 406.377 620.302 
0.557 0.576 406.377 528.196 897.032 
0.557 0.576 528.196 667.071 1141.746 
0.557 0.576 667.071 836.674 1383.676 
0.557 0.576 836.674 1076.836 1696.831 
0.557 0.576 1076.836 1457.463 2283.195 
0.557 0.576 1457.463 2004.190 2930.727 
0.557 0.576 2004.190 2797.898 4455.974 
0.557 0.576 2797.898 3830.165 6212.112 
0.557 0.576 3830.165 4999.994 8233.569 
0.576 0.598 1.885 16.813 18.401 
0.576 0.598 16.813 28.400 37.959 
0.576 0.598 28.400 40.825 65.774 
0.576 0.598 40.825 54.540 83.537 
0.576 0.598 54.540 70.098 114.922 
0.576 0.598 70.098 88.220 142.827 
0.576 0.598 88.220 114.754 178.947 
0.576 0.598 114.754 156.916 242.879 
0.576 0.598 156.916 216.602 319.079 
0.576 0.598 216.602 303.938 451.516 
0.576 0.598 303.938 408.260 654.972 
0.576 0.598 408.260 530.344 877.760 
0.576 0.598 530.344 669.203 1126.210 
0.576 0.598 669.203 842.689 1379.834 
0.576 0.598 842.689 1078.716 1759.123 
0.576 0.598 1078.716 1460.514 2281.508 
0.576 0.598 1460.514 2018.955 2982.942 
0.576 0.598 2018.955 2815.696 4223.710 
0.576 0.598 2815.696 3847.211 6129.954 
0.576 0.598 3847.211 4999.894 8415.156 
0.598 0.623 2.016 17.116 19.715 
0.598 0.623 17.116 28.640 38.153 
0.598 0.623 28.640 41.184 66.532 
0.598 0.623 41.184 54.631 89.386 
0.598 0.623 54.631 69.523 120.112 
0.598 0.623 69.523 87.447 139.779 
0.598 0.623 87.447 113.513 179.678 
0.598 0.623 113.513 155.808 230.439 
0.598 0.623 155.808 215.460 345.826 
0.598 0.623 215.460 300.619 462.924 
0.598 0.623 300.619 405.819 668.903 
0.598 0.623 405.819 524.708 819.532 
0.598 0.623 524.708 660.886 1133.361 
0.598 0.623 660.886 828.190 1362.339 
0.598 0.623 828.190 1057.510 1631.270 
0.598 0.623 1057.510 1432.556 2184.340 
0.598 0.623 1432.556 1997.260 3031.006 
0.598 0.623 1997.260 2821.448 4460.059 
0.598 0.623 2821.448 3835.954 6127.111 
0.598 0.623 3835.954 4999.871 8002.130 
0.623 0.655 1.941 17.218 18.371 
0.623 0.655 17.218 29.146 41.848 
0.623 0.655 29.146 41.876 62.280 
0.623 0.655 41.876 55.166 86.149 
0.623 0.655 55.166 69.546 117.705 
0.623 0.655 69.546 87.256 145.658 
0.623 0.655 87.256 112.932 180.055 
0.623 0.655 112.932 155.017 240.519 
0.623 0.655 155.017 216.746 340.797 
0.623 0.655 216.746 305.877 469.844 
0.623 0.655 305.877 414.011 651.825 
0.623 0.655 414.011 531.854 896.895 
0.623 0.655 531.854 671.259 1114.049 
0.623 0.655 671.259 838.619 1385.349 
0.623 0.655 838.619 1070.612 1721.144 
0.623 0.655 1070.612 1449.570 2241.928 
0.623 0.655 1449.570 2024.619 3051.985 
0.623 0.655 2024.619 2833.989 4320.238 
0.623 0.655 2833.989 3860.711 6254.123 
0.623 0.655 3860.711 4999.766 8449.741 
0.655 0.701 1.728 17.416 19.868 
0.655 0.701 17.416 29.331 43.513 
0.655 0.701 29.331 41.788 65.582 
0.655 0.701 41.788 54.864 90.098 
0.655 0.701 54.864 69.803 110.955 
0.655 0.701 69.803 87.175 144.202 
0.655 0.701 87.175 113.305 185.105 
0.655 0.701 113.305 155.700 235.479 
0.655 0.701 155.700 217.201 349.861 
0.655 0.701 217.201 307.844 461.805 
0.655 0.701 307.844 415.527 668.372 
0.655 0.701 415.527 534.123 893.955 
0.655 0.701 534.123 670.014 1127.472 
0.655 0.701 670.014 829.634 1348.378 
0.655 0.701 829.634 1051.509 1677.473 
0.655 0.701 1051.509 1423.753 2219.430 
0.655 0.701 1423.753 1999.933 3088.885 
0.655 0.701 1999.933 2826.612 4473.938 
0.655 0.701 2826.612 3851.615 6302.587 
0.655 0.701 3851.615 4999.985 8275.787 
0.701 0.975 1.813 17.529 18.472 
0.701 0.975 17.529 29.477 41.162 
0.701 0.975 29.477 42.071 64.727 
0.701 0.975 42.071 54.691 87.413 
0.701 0.975 54.691 68.859 114.982 
0.701 0.975 68.859 86.435 148.182 
0.701 0.975 86.435 110.730 184.217 
0.701 0.975 110.730 153.595 247.777 
0.701 0.975 153.595 215.188 342.632 
0.701 0.975 215.188 303.315 472.252 
0.701 0.975 303.315 410.812 658.000 
0.701 0.975 410.812 528.159 858.136 
0.701 0.975 528.159 657.419 1084.274 
0.701 0.975 657.419 817.322 1384.206 
0.701 0.975 817.322 1043.064 1705.734 
0.701 0.975 1043.064 1418.899 2289.091 
0.701 0.975 1418.899 1984.068 3023.172 
0.701 0.975 1984.068 2823.781 4476.176 
0.701 0.975 2823.781 3877.262 6396.107 
0.701 0.975 3877.262 4999.971 8087.247 
