Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.151 0.187 24.667 36.975 13.460 
0.151 0.187 36.975 48.549 20.207 
0.151 0.187 48.549 58.878 22.592 
0.151 0.187 58.878 68.680 28.401 
0.151 0.187 68.680 79.171 29.408 
0.151 0.187 79.171 91.686 36.737 
0.151 0.187 91.686 109.227 39.691 
0.151 0.187 109.227 138.029 54.427 
0.151 0.187 138.029 205.418 77.904 
0.151 0.187 205.418 275.032 106.818 
0.151 0.187 275.032 354.885 132.107 
0.151 0.187 354.885 459.655 165.760 
0.151 0.187 459.655 632.279 234.198 
0.151 0.187 632.279 886.663 340.733 
0.151 0.187 886.663 1416.129 499.141 
0.151 0.187 1416.129 2404.782 824.280 
0.151 0.187 2404.782 3584.343 1340.226 
0.151 0.187 3584.343 4999.942 1995.918 
0.187 0.229 1.608 13.744 4.382 
0.187 0.229 13.744 24.957 9.704 
0.187 0.229 24.957 35.932 17.189 
0.187 0.229 35.932 45.829 21.088 
0.187 0.229 45.829 54.678 25.196 
0.187 0.229 54.678 63.523 31.794 
0.187 0.229 63.523 72.976 31.644 
0.187 0.229 72.976 85.223 36.723 
0.187 0.229 85.223 101.434 44.601 
0.187 0.229 101.434 128.832 55.366 
0.187 0.229 128.832 187.922 81.767 
0.187 0.229 187.922 256.108 115.737 
0.187 0.229 256.108 336.577 151.469 
0.187 0.229 336.577 444.633 203.771 
0.187 0.229 444.633 612.349 263.757 
0.187 0.229 612.349 861.979 362.544 
0.187 0.229 861.979 1397.652 527.639 
0.187 0.229 1397.652 2394.414 969.343 
0.187 0.229 2394.414 3558.914 1419.602 
0.187 0.229 3558.914 4999.933 2179.054 
0.229 0.279 1.584 13.811 5.579 
0.229 0.279 13.811 24.559 11.649 
