Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.557 0.576 2.134 27.724 8.093 
0.557 0.576 27.768 53.702 16.903 
0.557 0.576 53.739 88.181 24.967 
0.557 0.576 88.231 155.533 36.185 
0.557 0.576 155.616 298.845 47.694 
0.557 0.576 299.361 528.120 59.753 
0.557 0.576 528.631 836.037 80.775 
0.557 0.576 837.077 1456.982 105.335 
0.557 0.576 1458.273 2796.591 156.788 
0.557 0.576 2799.318 4981.228 212.959 
0.576 0.598 2.227 28.386 268.066 
0.576 0.598 28.496 54.462 380.494 
0.576 0.598 54.563 88.124 500.754 
0.576 0.598 88.249 156.888 621.319 
0.576 0.598 157.113 303.523 788.534 
0.576 0.598 304.108 530.017 1017.558 
0.576 0.598 530.378 842.565 1464.624 
0.576 0.598 843.864 1460.214 1934.062 
0.576 0.598 1461.504 2815.261 2638.890 
0.576 0.598 2816.035 4998.977 3757.372 
0.598 0.623 2.457 28.636 8.538 
0.598 0.623 28.840 54.598 17.600 
0.598 0.623 54.721 87.425 26.451 
0.598 0.623 87.782 155.720 37.157 
0.598 0.623 156.054 300.591 48.701 
0.598 0.623 300.663 524.555 62.210 
0.598 0.623 526.145 828.113 83.967 
0.598 0.623 828.283 1432.331 106.907 
0.598 0.623 1432.563 2821.238 153.272 
0.598 0.623 2827.694 4995.503 205.345 
0.623 0.655 2.948 29.089 297.928 
0.623 0.655 29.199 55.160 361.753 
0.623 0.655 55.190 87.249 446.807 
0.623 0.655 87.330 154.468 636.744 
0.623 0.655 155.099 304.753 775.660 
0.623 0.655 306.294 531.573 1036.114 
0.623 0.654 532.668 837.930 1414.899 
0.623 0.655 838.839 1448.672 1955.183 
0.623 0.655 1449.978 2828.501 2608.647 
0.623 0.655 2834.369 4996.315 3575.803 
0.655 0.701 2.110 29.326 8.852 
0.655 0.701 29.351 54.858 17.360 
0.655 0.701 54.929 87.126 24.514 
0.655 0.701 87.197 155.608 36.751 
0.655 0.701 155.798 307.491 52.188 
0.655 0.701 307.924 533.342 67.174 
0.655 0.701 534.250 829.019 78.750 
0.655 0.701 829.806 1420.980 108.937 
0.655 0.701 1424.614 2820.550 151.012 
0.655 0.701 2828.959 4999.591 207.994 
0.701 0.920 2.780 29.395 279.759 
0.701 0.962 29.573 54.687 366.163 
0.701 0.898 54.719 86.377 511.792 
0.701 0.921 86.490 152.960 646.623 
0.701 0.906 153.621 303.273 821.952 
0.701 0.907 303.900 527.527 1021.971 
0.701 0.920 528.373 816.950 1418.071 
0.701 0.941 818.500 1414.893 1948.423 
0.701 0.906 1420.436 2823.581 2703.040 
0.701 0.912 2831.200 4998.141 3763.457 
0.007 0.273 2.429 23.542 8.963 
0.010 0.272 23.548 46.036 17.921 
0.009 0.273 46.066 85.507 26.813 
0.006 0.273 85.537 160.284 37.920 
0.011 0.272 160.360 282.792 48.489 
0.006 0.272 283.462 484.730 65.397 
0.009 0.273 486.413 873.102 85.430 
0.013 0.272 874.936 1635.567 116.307 
0.010 0.273 1636.893 2914.562 157.070 
0.007 0.272 2915.301 4995.076 224.664 
0.273 0.327 2.328 27.987 281.656 
0.273 0.327 28.028 55.807 371.814 
0.273 0.327 55.898 101.024 510.634 
0.273 0.327 101.073 183.817 610.301 
0.273 0.327 184.267 318.493 819.458 
0.273 0.327 318.964 529.816 1062.170 
0.273 0.327 530.226 912.403 1421.189 
0.273 0.327 913.155 1672.561 2068.981 
0.273 0.327 1673.659 2940.853 2668.495 
0.273 0.327 2941.569 4999.783 3851.747 
0.327 0.359 2.463 28.055 7.652 
0.327 0.359 28.239 54.531 17.659 
0.327 0.359 54.736 96.192 27.438 
0.327 0.359 96.537 178.158 37.686 
0.327 0.359 178.557 318.465 50.408 
0.327 0.359 318.846 528.921 64.796 
0.327 0.359 529.454 890.698 81.883 
0.327 0.359 892.367 1614.746 105.643 
0.327 0.359 1616.877 2927.727 150.113 
0.327 0.359 2935.663 4999.408 211.678 
0.359 0.384 2.198 27.665 289.456 
0.359 0.384 27.744 54.242 405.296 
0.359 0.384 54.380 94.915 517.527 
0.359 0.384 94.964 174.060 633.277 
0.359 0.384 174.180 314.253 775.984 
0.359 0.384 314.579 528.502 1044.447 
0.359 0.384 530.193 894.360 1499.685 
0.359 0.384 895.054 1623.026 2064.417 
0.359 0.384 1628.587 2957.371 2912.984 
0.359 0.384 2958.035 4996.694 3758.640 
0.384 0.405 2.518 27.112 8.336 
0.384 0.405 27.149 53.256 17.307 
0.384 0.405 53.362 93.352 27.620 
0.384 0.405 93.390 171.166 37.782 
0.384 0.405 172.650 310.480 52.882 
0.384 0.405 310.986 528.077 66.956 
0.384 0.405 528.824 884.944 83.889 
0.384 0.405 886.693 1602.005 112.754 
