Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.441 0.458 2.073 15.599 8.093 
0.441 0.458 15.599 26.599 16.903 
0.441 0.458 26.599 38.628 24.967 
0.441 0.458 38.628 52.408 36.185 
0.441 0.458 52.408 68.646 47.694 
0.441 0.458 68.646 89.015 59.753 
0.441 0.458 89.015 118.670 80.775 
0.441 0.458 118.670 162.293 105.335 
0.441 0.458 162.293 223.568 156.788 
0.441 0.458 223.568 304.308 212.959 
0.441 0.458 304.308 405.203 268.066 
0.441 0.458 405.203 524.061 380.494 
0.441 0.458 524.061 669.908 500.754 
0.441 0.458 669.908 857.560 621.319 
0.441 0.458 857.560 1128.734 788.534 
0.441 0.458 1128.734 1540.761 1017.558 
0.441 0.458 1540.761 2114.377 1464.624 
0.441 0.458 2114.377 2870.332 1934.062 
0.441 0.458 2870.332 3834.171 2638.890 
0.441 0.458 3834.171 4999.915 3757.372 
0.458 0.474 2.065 15.842 8.538 
0.458 0.474 15.842 26.673 17.600 
0.458 0.474 26.673 38.919 26.451 
0.458 0.474 38.919 52.528 37.157 
0.458 0.474 52.528 68.346 48.701 
0.458 0.474 68.346 88.637 62.210 
0.458 0.474 88.637 117.278 83.967 
0.458 0.474 117.278 160.037 106.907 
0.458 0.474 160.037 220.936 153.272 
0.458 0.474 220.936 299.432 205.345 
0.458 0.474 299.432 402.516 297.928 
0.458 0.474 402.516 520.997 361.753 
0.458 0.474 520.997 666.129 446.807 
0.458 0.474 666.129 850.665 636.744 
0.458 0.474 850.665 1110.892 775.660 
0.458 0.474 1110.892 1519.455 1036.114 
0.458 0.474 1519.455 2080.019 1414.899 
0.458 0.474 2080.019 2862.234 1955.183 
0.458 0.474 2862.234 3821.696 2608.647 
0.458 0.474 3821.696 4999.951 3575.803 
0.474 0.490 2.128 15.709 8.852 
0.474 0.490 15.709 26.492 17.360 
0.474 0.490 26.492 38.965 24.514 
0.474 0.490 38.965 52.738 36.751 
0.474 0.490 52.738 68.870 52.188 
0.474 0.490 68.870 88.271 67.174 
0.474 0.490 88.271 115.897 78.750 
0.474 0.490 115.897 158.785 108.937 
0.474 0.490 158.785 217.676 151.012 
0.474 0.490 217.676 298.121 207.994 
0.474 0.490 298.121 399.432 279.759 
0.474 0.490 399.432 518.090 366.163 
0.474 0.490 518.090 661.919 511.792 
0.474 0.490 661.919 840.030 646.623 
0.474 0.490 840.030 1097.017 821.952 
0.474 0.490 1097.017 1494.097 1021.971 
0.474 0.490 1494.097 2050.378 1418.071 
0.474 0.490 2050.378 2814.122 1948.423 
0.474 0.490 2814.122 3806.081 2703.040 
0.474 0.490 3806.081 4999.515 3763.457 
0.490 0.506 2.133 15.630 8.963 
0.490 0.506 15.630 26.636 17.921 
0.490 0.506 26.636 39.046 26.813 
0.490 0.506 39.046 52.692 37.920 
0.490 0.506 52.692 68.547 48.489 
0.490 0.506 68.547 88.060 65.397 
0.490 0.506 88.060 115.650 85.430 
0.490 0.506 115.650 158.111 116.307 
0.490 0.506 158.111 216.720 157.070 
0.490 0.506 216.720 298.157 224.664 
0.490 0.506 298.157 401.089 281.656 
0.490 0.506 401.089 520.806 371.814 
0.490 0.506 520.806 665.741 510.634 
0.490 0.506 665.741 846.497 610.301 
0.490 0.506 846.497 1111.342 819.458 
0.490 0.506 1111.342 1511.254 1062.170 
0.490 0.506 1511.254 2067.967 1421.189 
0.490 0.506 2067.967 2816.271 2068.981 
0.490 0.506 2816.271 3795.551 2668.495 
0.490 0.506 3795.551 4999.953 3851.747 
0.506 0.522 2.068 15.808 7.652 
0.506 0.522 15.808 26.595 17.659 
0.506 0.522 26.595 39.053 27.438 
0.506 0.522 39.053 52.695 37.686 
0.506 0.522 52.695 68.487 50.408 
0.506 0.522 68.487 87.552 64.796 
0.506 0.522 87.552 113.538 81.883 
0.506 0.522 113.538 155.073 105.643 
0.506 0.522 155.073 214.946 150.113 
0.506 0.522 214.946 296.879 211.678 
0.506 0.522 296.879 403.990 289.456 
0.506 0.522 403.990 524.709 405.296 
0.506 0.522 524.709 665.468 517.527 
0.506 0.522 665.468 843.097 633.277 
0.506 0.522 843.097 1099.462 775.984 
0.506 0.522 1099.462 1490.514 1044.447 
0.506 0.522 1490.514 2044.873 1499.685 
0.506 0.522 2044.873 2804.759 2064.417 
0.506 0.522 2804.759 3820.504 2912.984 
0.506 0.522 3820.504 4999.731 3758.640 
0.522 0.539 2.011 15.818 8.336 
0.522 0.539 15.818 26.872 17.307 
0.522 0.539 26.872 39.154 27.620 
0.522 0.539 39.154 52.703 37.782 
0.522 0.539 52.703 68.379 52.882 
0.522 0.539 68.379 87.346 66.956 
0.522 0.539 87.346 114.565 83.889 
0.522 0.539 114.565 155.573 112.754 
0.522 0.539 155.573 214.045 155.754 
0.522 0.539 214.045 297.101 205.020 
0.522 0.539 297.101 402.737 287.915 
0.522 0.539 402.737 520.615 397.026 
0.522 0.539 520.615 660.932 485.252 
0.522 0.539 660.932 837.338 621.466 
0.522 0.539 837.338 1085.478 795.730 
0.522 0.539 1085.478 1480.401 1055.078 
0.522 0.539 1480.401 2028.888 1408.460 
0.522 0.539 2028.888 2802.716 1995.461 
0.522 0.539 2802.716 3825.654 2757.418 
0.522 0.539 3825.654 4999.707 3839.104 
0.539 0.557 1.959 16.001 9.212 
0.539 0.557 16.001 27.185 18.762 
0.539 0.557 27.185 39.680 28.001 
0.539 0.557 39.680 53.266 40.855 
0.539 0.557 53.266 68.876 53.381 
0.539 0.557 68.876 87.484 66.672 
0.539 0.557 87.484 113.729 82.337 
0.539 0.557 113.729 154.716 110.749 
0.539 0.557 154.716 211.433 147.087 
0.539 0.557 211.433 296.934 202.633 
0.539 0.557 296.934 401.937 304.068 
0.539 0.557 401.937 522.250 387.774 
0.539 0.557 522.250 661.821 527.166 
0.539 0.557 661.821 834.369 647.054 
0.539 0.557 834.369 1082.727 788.959 
0.539 0.557 1082.727 1469.820 1068.318 
0.539 0.557 1469.820 2019.045 1514.781 
0.539 0.557 2019.045 2795.866 2026.536 
0.539 0.557 2795.866 3824.914 2760.745 
0.539 0.557 3824.914 4999.915 3858.769 
0.557 0.576 2.057 16.266 9.362 
0.557 0.576 16.266 27.727 19.634 
0.557 0.576 27.727 40.203 29.298 
0.557 0.576 40.203 53.713 41.118 
0.557 0.576 53.713 69.190 51.878 
0.557 0.576 69.190 88.186 68.040 
0.557 0.576 88.186 114.108 89.226 
0.557 0.576 114.108 155.583 118.569 
0.557 0.576 155.583 213.859 151.837 
0.557 0.576 213.859 298.892 230.973 
0.557 0.576 298.892 406.377 305.520 
0.557 0.576 406.377 528.196 408.400 
0.557 0.576 528.196 667.071 507.554 
0.557 0.576 667.071 836.674 654.178 
0.557 0.576 836.674 1076.836 840.422 
0.557 0.576 1076.836 1457.463 1121.336 
0.557 0.576 1457.463 2004.190 1533.509 
0.557 0.576 2004.190 2797.898 2056.161 
0.557 0.576 2797.898 3830.165 2806.099 
0.557 0.576 3830.165 4999.994 3818.271 
0.576 0.598 1.885 16.813 9.098 
0.576 0.598 16.813 28.400 19.131 
0.576 0.598 28.400 40.825 29.792 
0.576 0.598 40.825 54.540 42.732 
