Ice-Ice collection (creating the crystals from pt arrays not db) for the flat orientation. 
Characteristic values taken from the peak of a fitted 
gamma distribution from 300 aggregates. 
0.183, 20.00, 72.56 
0.183, 30.00, 109.81 
0.183, 40.00, 146.47 
0.183, 50.00, 183.37 
0.183, 60.00, 218.85 
0.183, 70.00, 255.73 
0.183, 80.00, 290.52 
0.183, 90.00, 326.97 
0.183, 100.00, 364.92 
0.183, 200.00, 733.75 
0.183, 300.00, 1100.93 
0.183, 400.00, 1457.47 
0.183, 500.00, 1824.31 
0.183, 600.00, 2187.64 
0.183, 700.00, 2537.59 
0.183, 800.00, 2905.07 
0.183, 900.00, 3277.60 
0.183, 1000.00, 3660.77 
0.298, 1.00, 3.24 
0.298, 2.00, 6.43 
0.298, 3.00, 9.71 
0.298, 4.00, 13.00 
0.298, 5.00, 16.16 
0.298, 6.00, 19.51 
0.298, 7.00, 22.81 
0.298, 8.00, 26.11 
0.298, 9.00, 29.24 
0.298, 10.00, 32.39 
0.298, 20.00, 65.08 
0.298, 30.00, 96.50 
0.298, 40.00, 129.22 
0.298, 50.00, 161.08 
0.298, 60.00, 193.06 
0.298, 70.00, 227.63 
0.298, 80.00, 259.95 
0.298, 90.00, 291.62 
0.298, 100.00, 321.59 
0.298, 200.00, 647.27 
0.298, 300.00, 967.04 
0.298, 400.00, 1279.63 
0.298, 500.00, 1620.07 
0.298, 600.00, 1954.92 
0.298, 700.00, 2247.58 
0.298, 800.00, 2600.92 
0.298, 900.00, 2897.64 
0.298, 1000.00, 3267.35 
0.483, 1.00, 2.96 
0.483, 2.00, 5.91 
0.483, 3.00, 8.84 
0.483, 4.00, 11.89 
0.483, 5.00, 14.89 
0.483, 6.00, 17.72 
0.483, 7.00, 20.77 
0.483, 8.00, 23.62 
0.483, 9.00, 26.52 
0.483, 10.00, 29.61 
0.483, 20.00, 59.29 
0.483, 30.00, 89.11 
0.483, 40.00, 118.59 
0.483, 50.00, 147.29 
0.483, 60.00, 177.74 
0.483, 70.00, 206.46 
0.483, 80.00, 237.01 
0.483, 90.00, 266.55 
0.483, 100.00, 296.92 
0.483, 200.00, 587.49 
0.483, 300.00, 880.93 
0.483, 400.00, 1188.96 
